Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1957,D,0.752309282314651,0.947368419399458,0.0400470298285793,1,0.7455511804193905,19,2,2,D,C.D,D,1.6732077061581987,D,H,FALSE
1957,H,2.42551698847285,0.0526315806005424,0.0400470298285793,1,0.7455511804193905,19,2,2,H,C.H,H,NA,H,H,TRUE
1958,H,1.00291322526864,1,0.0799026355650596,2,0.9732356838559417,19,1,1,H,C.H,H,NA,H,H,TRUE
1959,H,1.00569907998406,1,0.0952204374989021,3,0.9913986953241817,21,1,1,H,C.H,H,NA,H,H,TRUE
1960,D,0.815493290607171,0.354784057389226,0.0268043925661053,4,1.096037236678748,21,2,2,D,C.D,D,0.42450606978665895,D,D,TRUE
1960,H,1.23999936039383,0.645215942610774,0.0268043925661053,4,1.096037236678748,21,2,2,H,C.H,H,NA,H,H,TRUE
1961,H,0.789268331707845,1,0.0409748808195213,5,0.7730249923648855,22,1,1,H,C.H,H,NA,H,H,TRUE
1962,H,1.04722290149235,1,0.0569524122274722,6,1.046419006642515,24,1,1,H,C.H,H,NA,H,H,TRUE
1963,H,1.04920903018735,1,0.142000030351496,7,1.0143831872879645,24,1,1,H,C.H,H,NA,H,H,TRUE
1964,H,0.924052533015051,1,0.0768712130467159,8,0.9092198805179954,25,1,1,H,C.H,H,NA,H,H,TRUE
1965,D,1.0676639797122,0.393461758483893,0.186316758570839,9,1.1928824867326755,25,2,2,D,C.D,D,0.18347374084729995,D,H,FALSE
1965,H,1.2511377205595,0.606538241516107,0.186316758570839,9,1.1928824867326755,25,2,2,H,C.H,H,NA,H,H,TRUE
1966,H,1.23068878245119,1,0.174692786261734,10,1.2285500539938619,25,1,1,H,C.H,H,NA,H,H,TRUE
1967,H,0.888149209916414,1,0.123331293665302,11,0.8783403876445696,26,1,1,H,C.H,H,NA,H,H,TRUE
1968,H,0.978687738791842,1,0.206758214555172,12,0.9858005950863691,26,1,1,H,C.H,H,NA,H,H,TRUE
1969,H,0.923931400464762,1,0.0794265697097817,13,0.9230277645316197,27,1,1,H,C.H,H,NA,H,H,TRUE
1970,H,1.04714871703319,1,0.160744795996102,14,1.0332340673040592,30,1,1,H,C.H,H,NA,H,H,TRUE
1971,H,1.10248341150376,1,0.278770645910671,15,1.0515329468491406,31,1,1,H,C.H,H,NA,H,H,TRUE
1972,H,1.14981773480667,1,0.273514439337193,16,1.1148972733504783,33,1,1,H,C.H,H,NA,H,H,TRUE
1973,H,0.908257242740986,0.969619645628566,0.170366235253446,17,0.917902699933477,34,2,2,D,C.D,D,2.208977455370204,D,H,FALSE
1973,R,3.11723469811119,0.0303803543714339,0.170366235253446,17,0.917902699933477,34,2,2,H,C.H,H,NA,H,R,FALSE
1974,H,1.08421946302672,1,0.159535757629155,18,1.083503390345327,34,1,1,H,C.H,H,NA,H,H,TRUE
1975,H,0.945012801641927,1,0.0935045866574933,19,0.9425342700737511,34,1,1,H,C.H,H,NA,H,H,TRUE
1976,D,1.0254597536422,0.917744097921577,0.153379239424957,20,1.0949072827615802,34,2,2,D,C.D,D,1.24174381153482,D,H,FALSE
1976,H,2.26720356517702,0.0822559020784231,0.153379239424957,20,1.0949072827615802,34,2,2,H,C.H,H,NA,H,H,TRUE
1977,H,0.973179434624301,1,0.194323642100377,21,0.9673137517560391,34,1,1,H,C.H,H,NA,H,H,TRUE
