Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1932,D,0.377586488612663,0.550427391223218,0.0151613821793605,1,0.5957065671575346,16,2,2,D,C.D,D,0.488994532317668,D,D,TRUE
1932,H,0.866581020930331,0.449572608776783,0.0151613821793605,1,0.5957065671575346,16,2,2,H,C.H,H,NA,H,D,FALSE
1933,H,0.845146181816138,1,0.0759801589608535,2,0.8313499225282476,18,1,1,H,C.H,H,NA,H,H,TRUE
1934,H,0.965573736906007,1,0.163543495888246,3,0.9746659282945137,20,1,1,H,C.H,H,NA,H,H,TRUE
1935,H,0.919386860776199,1,0.116954101134816,4,0.9001333822496772,20,1,1,H,C.H,H,NA,H,H,TRUE
1936,D,0.802773311768984,0.373962277341995,0.0035538717684835,5,0.9818975512820232,22,2,2,D,C.D,D,0.4671376141279159,D,D,TRUE
1936,H,1.2699109258969,0.626037722658005,0.0035538717684835,5,0.9818975512820232,22,2,2,H,C.H,H,NA,H,H,TRUE
1937,H,0.775386078784785,1,0.0363036551927407,6,0.7782679932202067,22,1,1,H,C.H,H,NA,H,H,TRUE
1938,H,0.744562327188758,1,0.0834904063513868,7,0.7109740860714181,23,1,1,H,C.H,H,NA,H,H,TRUE
1939,D,0.373576901421841,0.332507240098937,0.00879292843409742,8,0.7180900842476561,24,3,3,D,C.D,D,0.45765743333690595,D,D,TRUE
1939,H,0.831234334758747,0.58415942656758,0.00879292843409742,8,0.7180900842476561,24,3,3,H,C.H,H,0.905679373526693,H,D,FALSE
1939,R,1.73691370828544,0.0833333333334831,0.00879292843409742,8,0.7180900842476561,24,3,3,R,C.R,R,NA,R,H,FALSE
1940,H,1.06638776091387,1,0.0929697786574669,9,1.0611961541554116,27,1,1,H,C.H,H,NA,H,H,TRUE
1941,H,1.21332912618816,1,0.0924912934226319,10,1.2183344926272586,28,1,1,H,C.H,H,NA,H,H,TRUE
1942,H,1.18681041847281,1,0.0642918298916904,11,1.1854927801268604,29,1,1,H,C.H,H,NA,H,H,TRUE
1943,D,0.901557210861366,0.351367997063742,0.0234881262758722,12,1.2954566933799074,31,2,2,D,C.D,D,0.5887396545010241,D,D,TRUE
1943,H,1.49029686536239,0.648632002936258,0.0234881262758722,12,1.2954566933799074,31,2,2,H,C.H,H,NA,H,H,TRUE
1944,D,0.264150371415949,0.135022581687898,0.00380513908816704,13,1.0252721243608862,36,2,2,D,C.D,D,0.855866699188111,D,D,TRUE
1944,H,1.12001707060406,0.864977418312102,0.00380513908816704,13,1.0252721243608862,36,2,2,H,C.H,H,NA,H,H,TRUE
1945,H,0.850363517335567,1,0.0986253042939868,14,0.8586331223378755,41,1,1,H,C.H,H,NA,H,H,TRUE
1946,H,1.0327688143245,1,0.145229172661953,15,1.0335805748812208,51,1,1,H,C.H,H,NA,H,H,TRUE
1947,H,0.935723140284976,1,0.16157023724459,16,0.9304517191984923,57,1,1,H,C.H,H,NA,H,H,TRUE
1948,H,0.899712844621052,1,0.0855301250600896,17,0.9114346582407067,63,1,1,H,C.H,H,NA,H,H,TRUE
1949,H,1.04456640807094,1,0.178566142511393,18,1.0233793595842615,66,1,1,H,C.H,H,NA,H,H,TRUE
1950,D,0.671968724537494,0.309285788923207,0.0264450546308347,19,1.0903966630077588,69,3,3,D,C.D,D,0.561185966010156,D,D,TRUE
1950,H,1.23315469054765,0.676063827544113,0.0264450546308347,19,1.0903966630077588,69,3,3,H,C.H,H,0.96945312397908,H,H,TRUE
1950,R,2.20260781452673,0.0146503835326804,0.0264450546308347,19,1.0903966630077588,69,3,3,R,C.R,R,NA,R,R,TRUE
1951,D,0.905913110979853,0.25166569777684,0.02225756114807,20,0.937746786670934,70,2,2,D,C.D,D,0.36225285832350695,D,D,TRUE
1951,H,1.26816596930336,0.74833430222316,0.02225756114807,20,0.937746786670934,70,2,2,H,C.H,H,NA,H,H,TRUE
1952,D,0.293485294737896,0.067526757360785,0.0724557341449975,21,1.163201455782668,76,2,2,D,C.D,D,0.9084712858507541,D,D,TRUE
1952,H,1.20195658058865,0.932473242639215,0.0724557341449975,21,1.163201455782668,76,2,2,H,C.H,H,NA,H,H,TRUE
1953,H,1.109705115392,1,0.144646698911065,22,1.1048226907394072,80,1,1,H,C.H,H,NA,H,H,TRUE
1954,D,0.873548371682384,0.742431893173317,0.0353236174874456,23,1.0036444956716113,83,2,2,D,C.D,D,0.6919564048598161,D,H,FALSE
1954,H,1.5655047765422,0.257568106826683,0.0353236174874456,23,1.0036444956716113,83,2,2,H,C.H,H,NA,H,H,TRUE
1955,H,1.0310882278643,0.987260772864143,0.0487911770070414,24,1.0353186345255372,87,2,2,D,C.D,D,1.18116191449673,D,H,FALSE
1955,R,2.21225014236103,0.0127392271358563,0.0487911770070414,24,1.0353186345255372,87,2,2,H,C.H,H,NA,H,R,FALSE
1956,H,1.12069976778066,1,0.119086761267533,25,1.1126034936092122,89,1,1,H,C.H,H,NA,H,H,TRUE
1957,D,1.17648684215266,0.0227978501170083,0.0436395718847658,26,1.1885723330112592,90,2,2,D,C.D,D,1.0957031779848398,D,H,FALSE
1957,H,2.2721900201375,0.977202149882991,0.0436395718847658,26,1.1885723330112592,90,2,2,H,C.H,H,NA,H,H,TRUE
1958,H,1.14259293730825,1,0.101605176560716,27,1.1542034681021032,95,1,1,H,C.H,H,NA,H,H,TRUE
1959,H,0.84319685271562,1,0.0747734759831226,28,0.8440986120581534,99,1,1,H,C.H,H,NA,H,H,TRUE
1960,D,0.819439776568401,0.945784743547214,0.0501543331310695,29,0.8338457959897897,99,2,2,D,C.D,D,0.812566795678139,D,H,FALSE
1960,H,1.63200657224654,0.0542152564527862,0.0501543331310695,29,0.8338457959897897,99,2,2,H,C.H,H,NA,H,H,TRUE
