Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1966,H,0.814544846758611,0.691920682310763,0.0212991412879105,1,1.0364772619947211,13,2,2,D,C.D,D,0.8474894151207589,D,H,FALSE
1966,R,1.66203426187937,0.308079317689237,0.0212991412879105,1,1.0364772619947211,13,2,2,H,C.H,H,NA,H,R,FALSE
1967,H,1.14425902970882,1,0.109195383966004,2,1.1059710123817477,14,1,1,H,C.H,H,NA,H,H,TRUE
1968,D,0.972793964352695,0.643715684313496,0.00743478293695922,3,1.0904866900047918,14,2,2,D,C.D,D,0.37703051137979493,D,H,FALSE
1968,H,1.34982447573249,0.356284315686503,0.00743478293695922,3,1.0904866900047918,14,2,2,H,C.H,H,NA,H,H,TRUE
1969,H,0.897639468906903,0.83727362200085,0.0580710036840169,4,0.9394965063225721,14,2,2,D,C.D,D,0.8346148191145669,D,H,FALSE
1969,R,1.73225428802147,0.16272637799915,0.0580710036840169,4,0.9394965063225721,14,2,2,H,C.H,H,NA,H,R,FALSE
1970,H,1.22346083683787,1,0.146706681492093,5,1.2217619770687904,14,1,1,H,C.H,H,NA,H,H,TRUE
1971,D,0.822190654580523,0.366561183239558,0.0338820712800582,6,1.1920621187817986,14,3,3,D,C.D,D,0.46762686672820697,D,D,TRUE
1971,H,1.28981752130873,0.419170426375557,0.0015730000529399,6,1.1920621187817986,14,3,3,H,C.H,H,0.28676974959685,H,H,TRUE
1971,R,1.57658727090558,0.214268390384885,4.8652693876137e-4,6,1.1920621187817986,14,3,3,R,C.R,R,NA,R,R,TRUE
1972,H,1.06494893051678,1,0.215903067192051,7,1.0673232360620704,14,1,1,H,C.H,H,NA,H,H,TRUE
1973,H,0.887156307475982,1,0.182303505161815,8,0.8845517857698806,14,1,1,H,C.H,H,NA,H,H,TRUE
1974,D,0.972478089996016,0.737362350561715,0.10198556313045,9,1.176555972267551,14,2,2,D,C.D,D,0.829386518635374,D,H,FALSE
1974,H,1.80186460863139,0.262637649438285,0.10198556313045,9,1.176555972267551,14,2,2,H,C.H,H,NA,H,H,TRUE
1975,D,0.702148696831164,0.448381858185695,0.0174638327440959,10,1.052140266700042,14,2,2,D,C.D,D,0.6282330985376859,D,D,TRUE
1975,H,1.33038179536885,0.551618141814305,0.0174638327440959,10,1.052140266700042,14,2,2,H,C.H,H,NA,H,H,TRUE
1976,H,0.867047585232493,1,0.223660094531213,11,0.8555548180120789,14,1,1,H,C.H,H,NA,H,H,TRUE
1977,D,0.591630352702386,0.781739250257015,0.0363667415375129,12,0.7220014523452236,14,2,2,D,C.D,D,0.8228781030039541,D,D,TRUE
1977,H,1.41450845570634,0.218260749742985,0.0363667415375129,12,0.7220014523452236,14,2,2,H,C.H,H,NA,H,H,TRUE
1978,H,0.729267330531513,1,0.277580455218814,13,0.6955502018156267,14,1,1,H,C.H,H,NA,H,H,TRUE
1979,D,0.34109249989149,0.712968790576761,0.0193661282156067,14,0.4733307892968665,14,2,2,D,C.D,D,0.68992670792937,D,D,TRUE
1979,H,1.03101920782086,0.287031209423239,0.0193661282156067,14,0.4733307892968665,14,2,2,H,C.H,H,NA,H,H,TRUE
1980,H,0.739297109788651,1,0.191022818245756,15,0.7278899148005694,14,1,1,H,C.H,H,NA,H,H,TRUE
1981,D,0.247937123445159,0.357142857142857,0.0241572755075528,16,1.448185352891419,14,2,2,D,C.D,D,1.511154997959341,D,D,TRUE
1981,H,1.7590921214045,0.642857142857143,0.0241572755075528,16,1.448185352891419,14,2,2,H,C.H,H,NA,H,H,TRUE
1982,D,0.262987642948364,0.585078701128985,0.04164287065432,17,0.6362538113291923,14,2,2,D,C.D,D,0.9972033312978361,D,D,TRUE
1982,H,1.2601909742462,0.414921298871015,0.04164287065432,17,0.6362538113291923,14,2,2,H,C.H,H,NA,H,H,TRUE
1983,H,1.10446993868146,1,0.557060849104978,18,1.1046130727909953,14,1,1,H,C.H,H,NA,H,H,TRUE
1984,D,0.445977112000659,0.53004708735703,0.202739733861277,19,1.1749845472371656,14,2,2,D,C.D,D,1.6159267870023108,D,D,TRUE
1984,H,2.06190389900297,0.46995291264297,0.202739733861277,19,1.1749845472371656,14,2,2,H,C.H,H,NA,H,H,TRUE
1985,D,0.565511839045657,0.488001853647733,0.100435917930112,20,1.019473501719303,14,2,2,D,C.D,D,0.888586288743753,D,D,TRUE
1985,H,1.45409812778941,0.511998146352267,0.100435917930112,20,1.019473501719303,14,2,2,H,C.H,H,NA,H,H,TRUE
1986,D,0.424632058132328,0.638961853560835,0.0529073835468072,21,0.7367060917439889,14,2,2,D,C.D,D,0.9185917508891521,D,D,TRUE
1986,H,1.34322380902148,0.361038146439165,0.0529073835468072,21,0.7367060917439889,14,2,2,H,C.H,H,NA,H,H,TRUE
1987,D,0.444530150313931,0.723826503400062,0.0613916741965465,22,0.6754525601791525,14,2,2,D,C.D,D,1.083151822675229,D,D,TRUE
1987,H,1.52768197298916,0.276173496599938,0.0613916741965465,22,0.6754525601791525,14,2,2,H,C.H,H,NA,H,R,FALSE
1988,D,0.353269975012492,0.421341359699619,0.0142265403621957,23,0.8697629754171259,14,3,3,D,C.D,D,0.710962431861928,D,D,TRUE
1988,H,1.542199868358775,0.28932932015019053,0.03894577164224097,23,0.8697629754171259,14,3,3,R,C.R,R,NA,R,H,FALSE
1988,H,1.542199868358775,0.28932932015019053,0.03894577164224097,23,0.8697629754171259,14,3,3,H,C.H,H,0.95593492296871,H,H,TRUE
1989,D,1.04937166446888,0.409248371655324,0.278343153482064,24,1.6443233543413887,14,2,2,D,C.D,D,1.0129251936410302,D,H,FALSE
1989,H,2.06229685810991,0.590751628344676,0.278343153482064,24,1.6443233543413887,14,2,2,H,C.H,H,NA,H,H,TRUE
1990,D,0.679603737877849,0.782655036658,0.294407771211282,25,0.907013375680405,14,2,2,D,C.D,D,1.6130534990467111,D,D,TRUE
1990,H,2.29265723692456,0.217344963342,0.294407771211282,25,0.907013375680405,14,2,2,H,C.H,H,NA,H,H,TRUE
1991,D,0.429945455548904,0.216654071176363,0.194378604350561,26,1.948913074458513,14,2,2,D,C.D,D,1.7659681277226862,D,D,TRUE
1991,H,2.19591358327159,0.783345928823637,0.194378604350561,26,1.948913074458513,14,2,2,H,C.H,H,NA,H,H,TRUE
1992,D,0.291498318268068,0.35714285662397305,0.004562593266582352,27,0.4340308376181792,14,3,3,D,C.D,D,0.25785174354415397,D,D,TRUE
1992,D,0.291498318268068,0.35714285662397305,0.004562593266582352,27,0.4340308376181792,14,3,3,H,C.H,H,1.195318547901405,H,D,FALSE
1992,R,1.61574273794155,0.285714286752054,0.0300266647785076,27,0.4340308376181792,14,3,3,R,C.R,R,NA,R,R,TRUE
1993,D,0.322022751270245,0.340785528219098,0.073754213140456,28,1.3142608629804917,14,2,2,D,C.D,D,1.354737808221995,D,D,TRUE
1993,H,1.67676055949224,0.659214471780902,0.073754213140456,28,1.3142608629804917,14,2,2,H,C.H,H,NA,H,H,TRUE
1994,D,0.359945534624295,0.714324384186814,0.12079597677362,29,0.6770995339800264,14,2,2,D,C.D,D,2.032531287572235,D,D,TRUE
1994,H,2.39247682219653,0.285675615813186,0.12079597677362,29,0.6770995339800264,14,2,2,H,C.H,H,NA,H,H,TRUE
1995,D,0.500965097239811,0.525535471270273,0.0219167499335119,30,0.7106115973209927,14,2,2,D,C.D,D,0.441330623911355,D,D,TRUE
1995,H,0.942295721151166,0.474464528729727,0.0219167499335119,30,0.7106115973209927,14,2,2,H,C.H,H,NA,H,H,TRUE
1996,D,0.350653022120441,0.287728569298835,0.0656569552407738,31,1.1684637950351737,14,2,2,D,C.D,D,1.1299891135580888,D,D,TRUE
1996,H,1.48064213567853,0.712271430701165,0.0656569552407738,31,1.1684637950351737,14,2,2,H,C.H,H,NA,H,H,TRUE
1997,H,1.09461730104754,1,0.455689172728375,32,1.0933307206857665,14,1,1,H,C.H,H,NA,H,H,TRUE
1998,D,0.203953107507723,0.357142814051558,0.0117683376205801,33,0.7981473523255725,14,3,3,D,C.D,D,0.742308697644472,D,D,TRUE
1998,H,1.1524947781105925,0.321428592974221,0.0117683376205801,33,0.7981473523255725,14,3,3,R,C.R,R,NA,R,H,FALSE
1998,H,1.1524947781105925,0.321428592974221,0.0117683376205801,33,0.7981473523255725,14,3,3,H,C.H,H,0.41246594591679486,H,H,TRUE
1999,H,0.584968046250397,1,0.048649724014588,34,0.5768358588561965,14,1,1,H,C.H,H,NA,H,H,TRUE
2000,D,0.172549485485995,0.214549784567789,0.0436197840076983,35,1.050346841576803,14,2,2,D,C.D,D,1.0298910267345749,D,D,TRUE
2000,H,1.20244051222057,0.785450215432211,0.0436197840076983,35,1.050346841576803,14,2,2,H,C.H,H,NA,H,H,TRUE
2001,D,0.563482052202898,0.300009368037613,0.0987410470296033,36,1.0435659599997626,14,3,3,D,C.D,D,0.424244318907697,D,D,TRUE
2001,H,1.1939565870623374,0.349995315981193,0.003095472616347987,36,1.0435659599997626,14,3,3,R,C.R,R,NA,R,H,FALSE
2001,H,1.1939565870623374,0.349995315981193,0.003095472616347987,36,1.0435659599997626,14,3,3,H,C.H,H,0.412460431903485,H,H,TRUE
2002,H,0.388409727973514,1,0.0252321518407797,37,0.3803950822797707,14,1,1,H,C.H,H,NA,H,H,TRUE
