Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1943,H,1.24481401090442,1,0.13783488041293,1,1.2498344807355306,16,1,1,H,C.H,H,NA,H,H,TRUE
1944,D,1.09599374671465,0.747002398830653,0.0185348342245794,2,1.2320939684584429,24,2,2,D,C.D,D,0.6781913533436299,D,H,FALSE
1944,H,1.77418510005828,0.252997601169347,0.0185348342245794,2,1.2320939684584429,24,2,2,H,C.H,H,NA,H,H,TRUE
1945,H,1.15237706237609,1,0.174922616078026,3,1.1561106377552555,30,1,1,H,C.H,H,NA,H,H,TRUE
1946,D,1.07327045584882,0.857861062104017,0.0958954730355306,4,1.1623870405692802,38,2,2,D,C.D,D,1.05973521327053,D,H,FALSE
1946,H,2.13300566911935,0.142138937895983,0.0958954730355306,4,1.1623870405692802,38,2,2,H,C.H,H,NA,H,H,TRUE
1947,D,0.983315992117759,0.70013162809408,0.0436724549172653,5,1.15400534262398,46,2,2,D,C.D,D,0.651040244085971,D,H,FALSE
1947,H,1.63435623620373,0.29986837190592,0.0436724549172653,5,1.15400534262398,46,2,2,H,C.H,H,NA,H,H,TRUE
1948,H,1.08870818486057,1,0.0882094471345206,6,1.065699984366549,50,1,1,H,C.H,H,NA,H,H,TRUE
1949,D,0.931108533767182,0.415213253998094,0.0676401459079131,7,1.00364540386781,50,2,2,D,C.D,D,0.11084981318355813,D,D,TRUE
1949,H,1.04195834695074,0.584786746001906,0.0676401459079131,7,1.00364540386781,50,2,2,H,C.H,H,NA,H,H,TRUE
1950,H,0.897031203403073,1,0.0792356031841389,8,0.9199160660704178,52,1,1,H,C.H,H,NA,H,H,TRUE
1951,H,0.961414401780486,1,0.114134851339847,9,0.9769725067450598,55,1,1,H,C.H,H,NA,H,H,TRUE
1952,D,0.970530713711948,0.891277177176343,0.0910605125150798,10,1.0394065583181922,56,2,2,D,C.D,D,0.7052774088205621,D,H,FALSE
1952,H,1.67580812253251,0.108722822823657,0.0910605125150798,10,1.0394065583181922,56,2,2,H,C.H,H,NA,H,H,TRUE
1953,D,0.8626812512954,0.90695663757247,0.0977139483973795,11,0.9332533021949277,56,2,2,D,C.D,D,1.03087129835975,D,H,FALSE
1953,H,1.89355254965515,0.0930433624275298,0.0977139483973795,11,0.9332533021949277,56,2,2,H,C.H,H,NA,H,H,TRUE
1954,D,0.33600163122807303,0.464257055116474,0.0392418951282067,12,0.7381472755620814,56,2,2,D,C.D,D,0.745378835237917,D,D,TRUE
1954,H,1.08138046646599,0.535742944883526,0.0392418951282067,12,0.7381472755620814,56,2,2,H,C.H,H,NA,H,H,TRUE
1955,D,0.427432622411921,0.655740561820169,0.0438646159318496,13,0.6408295642187817,56,2,2,D,C.D,D,0.647618452276169,D,D,TRUE
1955,H,1.07505107468809,0.344259438179831,0.0438646159318496,13,0.6408295642187817,56,2,2,H,C.H,H,NA,H,H,TRUE
1956,D,0.751739901694713,0.922029802258554,0.19023644861765,14,0.8250942470344487,56,2,2,D,C.D,D,1.0761950392510669,D,D,TRUE
1956,H,1.82793494094578,0.0779701977414456,0.19023644861765,14,0.8250942470344487,56,2,2,H,C.H,H,NA,H,H,TRUE
1957,H,1.04335799303209,1,0.248114998298671,15,1.0546289351095501,56,1,1,H,C.H,H,NA,H,H,TRUE
1958,H,0.994418309037875,1,0.0953446990434621,16,0.9991557791684529,56,1,1,H,C.H,H,NA,H,H,TRUE
1959,H,0.884023107122892,1,0.0799189908355347,17,0.8944700200483655,57,1,1,H,C.H,H,NA,H,H,TRUE
1960,H,1.02222005090432,1,0.0635858329889737,18,1.0061720278309985,59,1,1,H,C.H,H,NA,H,H,TRUE
1961,H,0.99283877603132,1,0.11151687818538,19,0.9953762605997071,59,1,1,H,C.H,H,NA,H,H,TRUE
1962,H,0.882854897243141,1,0.172367415718666,20,0.8819851913841592,59,1,1,H,C.H,H,NA,H,H,TRUE
1963,D,0.528195621461236,0.600759573221452,0.0775907076581505,21,0.911474336311528,59,2,2,D,C.D,D,0.988839389994304,D,D,TRUE
1963,H,1.51703501145554,0.399240426778548,0.0775907076581505,21,0.911474336311528,59,2,2,H,C.H,H,NA,H,H,TRUE
