Year,Final.Class,C,P,V,id,std,Sample.depth,G.optimal,G.123,type,Class,Ori.Class,diffinYear,Adj.Class,Pred.Class,Diff
1955,H,1.11598745054586,1,0.0749245743864567,1,1.0569781933520763,20,1,1,H,C.H,H,NA,H,H,TRUE
1956,H,0.717883167618957,1,0.0550695558398212,2,0.703262961894705,22,1,1,H,C.H,H,NA,H,H,TRUE
1957,H,0.857024597075728,1,0.0917151570208665,3,0.852021112532054,24,1,1,H,C.H,H,NA,H,H,TRUE
1958,H,0.817010524722279,1,0.069405674526382,4,0.8091819412516844,26,1,1,H,C.H,H,NA,H,H,TRUE
1959,D,0.713609779802077,0.656292657151758,0.0115740823425337,5,0.8368812548287329,29,2,2,D,C.D,D,0.3918570495717931,D,D,TRUE
1959,H,1.10546682937387,0.343707342848242,0.0115740823425337,5,0.8368812548287329,29,2,2,H,C.H,H,NA,H,H,TRUE
1960,H,0.998614213964072,1,0.0658367670606213,6,0.9994648760142519,35,1,1,H,C.H,H,NA,H,H,TRUE
1961,D,0.599701254043747,0.265113582793542,0.0359062000411647,7,0.9969855295188628,40,2,2,D,C.D,D,0.526557590147483,D,D,TRUE
1961,H,1.12625884419123,0.734886417206458,0.0359062000411647,7,0.9969855295188628,40,2,2,H,C.H,H,NA,H,H,TRUE
1962,H,0.987774678462089,1,0.125418915307631,8,0.9873549600414169,48,1,1,H,C.H,H,NA,H,H,TRUE
1963,H,0.956112258941262,1,0.07545827367539,9,0.9421794858068908,51,1,1,H,C.H,H,NA,H,H,TRUE
1964,H,1.04266099268503,1,0.0508569905262313,10,1.040673517982035,51,1,1,H,C.H,H,NA,H,H,TRUE
1965,H,1.1036171572369,1,0.0595563831591976,11,1.0958330853057145,52,1,1,H,C.H,H,NA,H,H,TRUE
1966,H,1.07483623927763,1,0.107219540610117,12,1.1016107477689525,52,1,1,H,C.H,H,NA,H,H,TRUE
1967,H,0.979467790176012,1,0.0840169205295144,13,0.9826019023211817,53,1,1,H,C.H,H,NA,H,H,TRUE
1968,H,0.899869682409758,1,0.0742621201981955,14,0.9063104263391243,53,1,1,H,C.H,H,NA,H,H,TRUE
1969,H,0.77676509884294,1,0.0733939757282019,15,0.7799936651561175,54,1,1,H,C.H,H,NA,H,H,TRUE
1970,H,1.0429784026032,1,0.150066681987344,16,1.0412889914153534,55,1,1,H,C.H,H,NA,H,H,TRUE
1971,H,0.968673912354592,1,0.130155055556838,17,0.9655597370222888,57,1,1,H,C.H,H,NA,H,H,TRUE
