,WSPRU-WW-10-B,WSPRU-WW-10-A,WSPRU-WW-9-B,WSPRU-WW-9-A,WSPRU-WW-7-B,WSPRU-WW-7-A,WSPRU-WW-4-B,WSPRU-WW-4-A,WSPRU-WW-6-A,WSPRU-WW-6-B,WSPRU-WW-8-A,WSPRU-WW-8-B,WSPRU-WW-3-A,WSPRU-WW-3-B,WSPRU-WW-5-A,WSPRU-WW-5-B,WSPRU-TT-3-A,WSPRU-TT-3-B,WSPRU-TT-7-B,WSPRU-TT-7-A,WSPRU-TT-8-A,WSPRU-TT-8-B,WSPRU-WW-2-B,WSPRU-WW-2-A,WSPRU-TT-6-B,WSPRU-TT-6-A,WSPRU-TT-4-A,WSPRU-TT-4-B,WSPRU-TT-5-B,WSPRU-TT-5-A,WSPRU-VV-10-A,WSPRU-TT-1-A,WSPRU-TT-1-B,WSPRU-TT-9-A,WSPRU-TT-9-B,WSPRU-TT-10-A,WSPRU-TT-10-B,WSPRU-UU-9-B,WSPRU-UU-9-A,WSPRU-VV-4-B,WSPRU-VV-5-B,WSPRU-VV-5-A,WSPRU-WW-1-A,WSPRU-WW-1-B,WSPRU-UU-3-B,WSPRU-UU-3-A,WSPRU-VV-3-A,WSPRU-VV-3-B,WSPRU-UU-6-B,WSPRU-TT-2-B,WSPRU-TT-2-A,WSPRU-UU-2-A,WSPRU-UU-6-A,WSPRU-UU-7-A,WSPRU-UU-7-B,WSPRU-UU-10-A,WSPRU-UU-10-B,WSPRU-VV-4-A,WSPRU-UU-1-A,WSPRU-UU-1-B,WSPRU-UU-2-B,WSPRU-UU-4-B,WSPRU-UU-4-A,WSPRU-UU-5-B,WSPRU-UU-5-A,WSPRU-UU-8-B,WSPRU-UU-8-A,WSPRU-VV-1-B,WSPRU-VV-1-A,WSPRU-VV-6-B,WSPRU-VV-6-A,WSPRU-VV-7-B,WSPRU-VV-7-A,WSPRU-VV-9-A,WSPRU-VV-9-B,WSPRU-VV-8-A,WSPRU-VV-8-B,WSPRU-VV-10-B,WSPRU-VV-2-A,WSPRU-VV-2-B
1997,1.069,1.648,1.515,0.676,2.149,1.677,1.304,1.858,1.837,1.034,1.218,1.232,0.78,0.759,2.774,2.463,0.9,0.963,0.932,1.293,1.205,1.181,2.26,2.707,0.794,1.019,0.746,1.021,1.355,0.93,1.029,0.802,1.077,1.147,1.167,0.651,0.456,1.023,2.297,3.118,0.867,4.214,1.915,2.03,0.845,0.991,0.39,0.47,5.085,0.888,0.952,5.409,5.255,4.846,5.542,1.474,1.19,2.161,3.951,2.729,4.498,1.885,2.071,1.209,1.246,1.486,1.967,0.512,1.344,2.514,0.877,0.952,1.629,0.492,0.933,0.829,0.384,1.2,1.235,0.482
1998,1.557,2.273,1.592,1.001,3.011,1.93,1.423,2.251,1.874,1.033,1.293,1.541,0.793,1.013,3.442,3.232,0.977,0.946,1.369,1.259,2.114,1.95,2.983,3.434,1.11,1.068,0.659,1.06,1.472,1.473,4.325,0.683,1.02,0.996,0.898,0.788,0.291,1.326,2.629,0.389,5.06,4.831,2.351,2.263,0.739,1.208,3.14,0.384,5.545,1.014,1.15,5.423,5.531,5.368,6.044,1.155,1.606,2.231,3.108,2.59,4.678,1.251,1.563,1.157,0.865,1.122,1.05,1.514,0.761,0.736,3.055,0.9,0.624,0.653,0.876,0.52,0.788,1.129,1.041,0.461
1999,0.537,1.54,1.035,0.609,1.903,1.81,0.927,1.542,1.062,0.798,0.993,0.88,0.735,0.907,2.895,2.53,1.025,1.003,1.364,1.258,1.835,1.475,2.165,2.205,0.811,0.908,0.561,1.132,1.131,1.414,4.371,0.925,1.289,0.892,0.87,0.598,0.343,2.448,2.584,2.92,5.166,4.04,2.089,2.071,0.409,0.791,0.469,0.211,4.629,1.299,1.139,3.457,4.489,3.763,3.143,1.273,1.664,2.434,3.699,2.746,4.908,1.421,1.548,2.091,1.639,1.35,0.93,1.903,0.689,0.584,0.882,1.388,0.616,1.56,0.712,0.725,0.828,1.03,1.651,1.342
2000,0.398,1.584,0.987,0.57,2.275,1.929,1.244,2.052,1.112,0.964,0.88,0.79,0.735,0.862,2.972,2.861,0.812,0.695,0.981,1.082,1.544,1.19,2.772,3.183,0.915,1.17,0.646,0.93,0.858,0.991,0.766,1.071,1.064,0.929,0.898,0.697,0.492,0.734,1.286,0.287,0.551,3.451,2.085,1.988,0.463,0.508,2.812,0.171,4.95,1.046,0.88,4.398,5.036,3.882,3.733,0.759,0.644,2.298,3.326,2.185,3.665,0.998,0.955,0.912,0.91,0.313,0.32,1.482,1.586,3.016,3.396,1.77,0.696,0.339,0.46,0.297,0.956,0.926,1.521,0.415
2001,0.412,1.272,0.878,0.473,2.249,1.899,1.165,2.358,1.035,0.773,0.889,0.704,0.568,0.737,3.223,2.741,0.872,0.832,1.66,1.296,2.49,2.21,2.84,2.888,1.407,1.339,0.7,1.056,1.344,0.844,3.19,1.222,0.993,0.75,0.746,0.623,0.744,1.72,1.512,0.153,4.022,0.367,1.933,1.825,0.4,0.494,0.156,0.183,4.28,1.01,0.956,4.501,5.107,3.917,2.955,1.064,1.279,2.081,3.521,3.209,4.534,1.153,1.079,1.17,1.434,0.613,0.294,0.238,0.221,3.618,0.73,1.701,1.788,0.266,0.383,0.955,0.927,0.985,1.63,0.321
2002,0.357,1.134,0.901,0.441,1.142,1.269,0.95,1.868,0.976,0.624,0.872,0.868,0.675,0.614,2.376,2.086,0.873,0.715,1.217,1.095,2.082,1.448,2.243,2.164,1.005,0.754,0.773,0.918,1.218,0.832,0.179,1.128,0.858,0.776,0.811,0.431,1.006,1.474,1.102,1.589,3.921,4.38,1.787,1.685,0.262,0.38,1.571,1.896,3.094,0.975,1.007,2.401,3.85,2.496,2.162,0.836,0.92,1.7,3.076,2.021,4.684,1.134,0.867,1.307,1.477,0.522,0.696,1.46,0.136,2.5,0.498,0.294,0.32,1.165,0.501,0.874,0.925,0.488,1.174,1.156
2003,0.414,1.178,0.691,0.348,1.482,1.454,0.882,1.843,0.948,0.685,0.795,0.623,0.562,0.822,2.008,1.921,0.665,0.408,0.749,0.559,1.289,0.89,2.009,1.229,0.623,0.492,0.493,0.454,0.631,0.51,2.771,0.726,0.527,0.401,0.416,0.191,0.404,1.021,0.807,0.805,0.218,0.154,1.423,1.572,0.311,0.639,0.098,1.634,3.17,0.379,0.353,2.464,4.069,2.95,2.439,0.453,0.429,1.277,2.224,1.707,2.643,1.117,0.68,0.769,1.033,0.393,0.336,2.051,0.065,0.43,2.539,0.294,0.25,1.16,0.382,0.079,1.348,0.22,0.157,0.086
2004,0.7,0.917,0.609,0.327,1.474,1.704,0.752,1.311,0.975,0.819,0.639,0.725,0.463,0.917,1.618,1.771,0.951,0.727,1.239,1.045,1.914,1.295,1.884,1.634,1.158,0.937,1.202,0.973,1.106,0.722,0.164,0.961,1.202,0.682,0.608,0.329,0.792,1.238,1.274,0.665,2.954,3.69,1.57,1.267,0.42,0.842,1.966,1.404,3.171,0.874,0.819,2.508,3.394,2.844,2.839,1.016,1.607,1.39,2.778,2.143,2.878,0.783,0.478,0.811,1.013,0.489,0.494,1.871,0.085,3.485,2.292,0.198,1.386,0.076,NA,1.486,1.346,0.326,2.054,0.969
2005,0.559,1.05,0.579,0.304,1.726,1.629,0.779,1.601,0.818,0.685,0.779,0.791,0.73,0.878,2.012,2.095,1.24,0.927,1.112,0.989,1.127,1.184,2.429,1.964,0.828,1.016,0.96,0.763,1.071,0.581,1.133,0.885,1.004,0.639,0.791,0.421,0.611,1.013,1.024,0.7,3.869,0.081,1.977,1.39,0.281,0.831,2.843,1.218,3.009,0.795,0.934,3.508,3.193,2.698,0.842,0.797,1.647,0.121,2.816,1.718,3.447,0.537,0.401,0.854,1.264,0.35,0.268,2.064,1.964,0.196,0.48,1.143,1.154,1.125,NA,1.606,2.329,0.355,2.632,0.038
2006,0.944,1.239,0.704,0.386,2.28,1.898,1.028,2.34,1.126,0.966,1.002,1.148,0.914,1.517,3.367,3.257,1.233,0.896,1.66,1.448,1.489,1.34,3.439,3.529,1.273,1.089,1.135,1.049,1.486,0.94,3.795,1.139,1.402,0.731,0.813,0.534,0.596,0.468,0.355,0.544,3.744,4.771,2.698,2.893,0.555,0.946,2.362,1.262,2.661,1.002,1.089,3.679,2.946,1.097,1.523,0.739,0.913,0.127,3.612,1.754,3.321,0.52,0.416,1.008,1.067,0.52,0.791,3.353,2.862,3.891,4.057,0.101,1.022,0.944,NA,1.904,2.386,0.136,2.731,1.777
2007,0.397,0.405,0.466,0.41,2.727,1.973,1.092,2.295,1.715,1.104,1.236,1.246,0.663,1.106,3.345,3.272,1.196,0.878,1.249,1.263,1.114,0.953,2.48,2.902,0.96,0.743,1.254,0.957,1.025,0.943,0.562,1.492,1.672,0.747,0.918,0.447,0.605,1.587,0.705,0.751,3.242,4.207,2.188,2.945,0.685,1.189,2.493,1.461,2.749,1.093,1.196,3.58,3.103,1.433,1.651,0.958,1.328,1.49,4.26,2.321,3.382,0.624,0.597,0.592,1.095,0.37,0.81,3.202,2.288,3.134,4.493,1.262,0.975,1.308,NA,2.557,2.444,0.116,2.252,2.134
2008,0.568,0.731,0.468,0.415,2.588,3.731,1.052,1.979,1.586,1.073,1.179,1.339,0.782,0.979,3.649,2.63,1.46,0.745,1.3,1.337,1.334,1.064,2.655,3.294,0.915,0.866,1.288,0.755,0.925,1.051,3.759,1.268,1.614,1.042,1.07,0.443,0.423,1.842,1.508,0.983,1.843,2.709,2.284,2.754,1.13,1.477,3.246,1.616,2.999,1.23,1.344,3.417,3.345,0.956,2.102,1.377,2.018,1.088,3.308,2.448,3.37,0.974,1.161,0.917,1.67,0.508,1.005,2.708,2.509,3.987,3.715,1.009,1.019,0.735,NA,2.62,2.515,NA,3.244,2.263
2009,0.941,1.222,0.478,0.537,2.733,3.946,1.025,1.864,1.808,1.229,1.343,1.587,1.142,0.964,3.311,2.844,1.259,0.825,1.226,1.049,0.957,0.667,2.613,3.112,0.939,0.659,1.315,0.712,1.089,0.78,3.713,1.358,1.193,0.807,0.678,0.217,0.353,1.277,1.302,1.104,1.774,2.833,2.559,2.632,0.8,0.955,3.018,1.671,2.602,1.574,1.375,2.924,2.968,1.285,1.434,1.056,2.009,1.112,3.039,2.12,3.391,1.243,1.372,0.953,1.918,0.406,0.983,NA,2.273,4.923,3.522,1.186,1.219,0.902,NA,2.197,2.427,NA,3.076,2.871
2010,1.288,1.17,0.428,0.852,3.149,3.571,0.958,1.927,1.532,1.016,1.497,1.286,NA,1.404,3.026,2.773,1.378,1.142,1.48,1.29,1.306,0.886,2.444,2.772,1.458,1.267,1.953,0.794,1.452,0.955,3.503,1.698,1.397,0.276,0.243,0.215,0.257,0.868,1.137,NA,2.313,3.105,2.464,2.383,0.598,0.888,1.577,1.068,2.595,1.771,1.381,2.619,3.112,0.861,1.194,1.284,NA,1.023,2.92,1.859,3.592,0.896,0.895,0.525,1.397,0.363,0.96,NA,2.13,4.546,3.725,1.295,1.373,0.454,NA,2.379,2.075,NA,2.783,2.732
