,WSPRU-WW-10-B,WSPRU-WW-10-A,WSPRU-WW-9-B,WSPRU-WW-9-A,WSPRU-WW-7-B,WSPRU-WW-7-A,WSPRU-WW-4-B,WSPRU-WW-4-A,WSPRU-WW-6-A,WSPRU-WW-6-B,WSPRU-WW-8-A,WSPRU-WW-8-B,WSPRU-WW-3-A,WSPRU-WW-3-B,WSPRU-WW-5-A,WSPRU-WW-5-B,WSPRU-TT-3-A,WSPRU-TT-3-B,WSPRU-TT-7-B,WSPRU-TT-7-A,WSPRU-TT-8-A,WSPRU-TT-8-B,WSPRU-WW-2-B,WSPRU-WW-2-A,WSPRU-TT-6-B,WSPRU-TT-6-A,WSPRU-TT-4-A,WSPRU-TT-4-B,WSPRU-TT-5-B,WSPRU-TT-5-A,WSPRU-VV-10-A,WSPRU-TT-1-A,WSPRU-TT-1-B,WSPRU-TT-9-A,WSPRU-TT-9-B,WSPRU-TT-10-A,WSPRU-TT-10-B,WSPRU-UU-9-B,WSPRU-UU-9-A,WSPRU-VV-4-B,WSPRU-VV-5-B,WSPRU-VV-5-A,WSPRU-WW-1-A,WSPRU-WW-1-B,WSPRU-UU-3-B,WSPRU-UU-3-A,WSPRU-VV-3-A,WSPRU-VV-3-B,WSPRU-UU-6-B,WSPRU-TT-2-B,WSPRU-TT-2-A,WSPRU-UU-2-A,WSPRU-UU-6-A,WSPRU-UU-7-A,WSPRU-UU-7-B,WSPRU-UU-10-A,WSPRU-UU-10-B,WSPRU-VV-4-A,WSPRU-UU-1-A,WSPRU-UU-1-B,WSPRU-UU-2-B,WSPRU-UU-4-B,WSPRU-UU-4-A,WSPRU-UU-5-B,WSPRU-UU-5-A,WSPRU-UU-8-B,WSPRU-UU-8-A,WSPRU-VV-1-B,WSPRU-VV-1-A,WSPRU-VV-6-B,WSPRU-VV-6-A,WSPRU-VV-7-B,WSPRU-VV-7-A,WSPRU-VV-9-A,WSPRU-VV-9-B,WSPRU-VV-8-A,WSPRU-VV-8-B,WSPRU-VV-10-B,WSPRU-VV-2-A,WSPRU-VV-2-B
1977,2.127,1.662,1.091,1.212,1.363,1.12,1.042,0.565,0.868,0.747,1.283,1.002,0.483,0.53,1.486,1.485,0.214,0.211,0.377,0.311,0.46,0.509,0.69,0.721,0.404,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,2.416,2.023,1.297,1.07,1.409,1.317,1.018,1.125,1.182,1.031,1.11,0.876,0.422,0.521,1.83,1.992,0.506,0.167,0.393,0.453,0.613,0.734,1.054,1.104,0.327,0.477,0.428,0.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,2.278,1.741,1.064,1.069,1.288,1.264,1.106,1.139,1.292,1.032,0.758,0.824,0.196,0.573,1.731,1.887,0.166,0.619,0.432,0.324,0.734,0.952,1.136,1.228,0.381,0.31,0.518,0.276,0.444,0.432,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,2.83,2.026,1.314,1.337,1.216,1.376,1.264,1.147,1.136,1.127,0.844,1.147,0.422,0.457,2.275,2.421,0.169,0.182,0.308,0.242,0.404,0.476,1.611,1.98,0.308,0.284,0.266,0.212,0.309,0.294,0.707,0.46,0.44,0.654,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,2.295,2.263,1.146,1.062,1.203,1.316,1.273,1.123,0.797,1.066,0.734,0.944,0.355,0.572,2.372,2.166,0.222,0.264,0.497,0.36,0.686,0.651,1.788,1.589,0.45,0.364,0.262,0.229,0.39,0.482,0.635,0.546,0.724,0.394,0.563,0.497,0.541,1.246,1.272,0.308,1.034,1.057,0.723,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,1.907,2.441,1.014,1.039,1.479,1.363,1.44,1.224,1.177,1.231,0.869,1.01,0.463,0.565,2.621,2.786,0.255,0.402,0.471,0.557,0.726,0.679,2.157,1.767,0.291,0.403,0.413,0.217,0.388,0.394,0.966,0.331,0.332,0.803,0.93,0.345,0.27,0.394,0.361,0.272,0.958,0.699,0.775,1.192,0.43,0.414,0.451,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,2.094,2.388,1.297,1.212,1.944,1.545,1.126,1.373,1.207,1.116,0.857,1.07,0.46,0.576,2.834,2.605,0.235,0.457,0.475,0.553,1.209,0.801,2.227,2.084,0.373,0.497,0.388,0.473,0.438,0.488,0.946,0.33,0.392,0.765,0.723,0.417,0.359,0.154,0.208,0.182,1.253,0.96,0.818,1.035,0.431,0.493,0.465,0.35,0.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,1.846,2.035,1.275,1.089,1.75,1.364,1.081,1.128,1.199,1.145,0.872,1.093,0.393,0.345,2.487,1.901,0.363,0.56,0.681,0.592,1.312,1.278,2.173,1.805,0.394,0.613,0.443,0.559,0.583,0.729,1.08,0.336,0.496,0.579,0.585,0.451,0.388,0.467,0.614,0.389,1.573,0.964,1.01,0.969,0.608,0.538,0.455,0.369,0.827,0.443,0.408,0.722,0.466,0.825,0.891,0.283,0.255,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,1.941,2.122,1.022,0.93,1.56,1.315,1.232,1.275,1.417,1.096,1.019,1.439,0.517,0.429,2.456,2.464,0.486,0.611,0.57,0.482,0.977,1.135,2.186,2.166,0.339,0.387,0.397,0.379,0.446,0.553,1.347,0.322,0.369,0.365,0.357,0.309,0.576,0.617,0.826,0.368,1.081,0.782,0.974,0.928,0.763,0.674,0.42,0.292,0.681,0.541,0.49,0.756,0.437,0.55,0.794,0.18,0.253,0.185,1.034,1.013,0.685,0.566,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,1.947,2.818,0.94,0.991,1.93,1.524,1.468,1.343,1.495,1.074,1.041,1.252,0.516,0.476,2.797,3.223,0.536,0.617,0.712,0.604,1.143,1.061,2.157,2.218,0.257,0.464,0.418,0.409,0.404,0.474,1.244,0.296,0.488,0.394,0.413,0.646,0.458,0.627,0.749,0.384,1.284,1.22,1.148,1.028,0.742,0.56,0.44,0.504,1.139,0.609,0.504,1.088,1.063,0.918,1.107,0.147,0.234,0.211,0.927,1.041,0.731,0.429,0.431,0.568,0.615,1.04,1.235,0.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
