"","ASPEN-AA-13-A","ASPEN-AA-12-A","ASPEN-AA-1-B","ASPEN-AA-3-A","ASPEN-AA-12-B","ASPEN-AA-13-B","ASPEN-AA-16-A","ASPEN-AA-8-A","ASPEN-AA-10-C","ASPEN-AA-6-A","ASPEN-AA-1-A","ASPEN-AA-7-B","ASPEN-AA-15-B","ASPEN-AA-14-A","ASPEN-AA-14-B","ASPEN-AA-5-C","ASPEN-AA-9-B","ASPEN-AA-17-A","ASPEN-AA-11-A","ASPEN-AA-11-B","ASPEN-AA-10-A","ASPEN-AA-2-C","ASPEN-AA-15-A","ASPEN-AA-16-B","ASPEN-AA-17-B","ASPEN-AA-18-A","ASPEN-AA-18-B","ASPEN-AA-6-B","ASPEN-AA-7-A","ASPEN-AA-4-A","ASPEN-ZZ-4-A","ASPEN-ZZ-4-B","ASPEN-ZZ-5-A","ASPEN-ZZ-5-B","ASPEN-ZZ-6-A","ASPEN-ZZ-6-B","ASPEN-ZZ-10-A","ASPEN-ZZ-10-B","ASPEN-AA-5-A","ASPEN-ZZ-2-A","ASPEN-ZZ-2-B","ASPEN-ZZ-9-A","ASPEN-ZZ-9-B","ASPEN-AA-4-B","ASPEN-ZZ-7-A","ASPEN-ZZ-7-B","ASPEN-ZZ-8-A","ASPEN-ZZ-8-B","ASPEN-ZZ-19-B","ASPEN-ZZ-1-A","ASPEN-ZZ-15-A","ASPEN-ZZ-1-B","ASPEN-ZZ-16-B","ASPEN-ZZ-15-B","ASPEN-ZZ-20-B","ASPEN-ZZ-3-B","ASPEN-ZZ-11-A","ASPEN-ZZ-11-B","ASPEN-ZZ-12-B","ASPEN-ZZ-16-A","ASPEN-ZZ-18-A","ASPEN-ZZ-18-B","ASPEN-ZZ-14-B","ASPEN-ZZ-12-A","ASPEN-ZZ-13-A","ASPEN-ZZ-13-B","ASPEN-ZZ-14-A","ASPEN-ZZ-3-A"
"1930",1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",0.912,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",0.975,1.064,1.119,1.771,1.409,0.674,1.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",1.769,0.972,1.29,1.992,1.081,0.998,1.18,1.364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934",1.112,0.972,2.986,2.231,1.384,1.042,0.246,1.518,1.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935",1.84,0.537,2.168,2.769,0.784,0.786,1.416,2.334,2.722,2.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",1.299,1.501,1.677,3.113,1.327,1.177,2.151,2.592,2.578,2.264,2.023,1.793,2.439,0.845,1.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937",0.454,1.094,2.478,2.032,1.266,0.857,1.261,1.27,0.788,1.281,1.299,0.599,1.6,0.344,0.251,1.07,1.896,1.001,0.569,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938",1.31,2.334,2.302,2.356,2.01,0.858,1.613,1.767,1.189,1.994,1.517,1.332,2.341,1.554,1.482,2.314,1.377,1.183,1.397,1.499,1.074,2.179,2.323,3.226,1.837,2.216,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939",0.813,2.639,2.157,2.488,2.188,0.798,1.472,1.127,0.938,2.204,2.471,1.144,2.225,0.905,0.749,2.303,1.293,1.143,1.222,1.191,1.24,2.223,2.242,2.776,1.422,1.537,1.721,1.326,1.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940",0.682,2.39,1.514,2.121,1.876,0.588,1.874,1.856,1.847,2.312,2.146,1.604,2.318,1.473,1.196,2.39,1.9,1.224,1.109,1.204,1.118,2.249,2.267,3.056,1.611,1.265,1.777,3.935,1.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1941",0.86,1.807,1.056,1.933,1.736,0.432,1.126,1.276,1.252,1.781,1.888,1.288,2.135,1.578,0.692,1.653,1.388,1.136,1.067,0.998,1.604,1.955,1.952,2.259,1.104,1.374,1.892,1.569,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1942",0.975,1.298,0.751,1.302,1.306,0.85,1.478,1.643,1.541,1.378,1.945,1.494,1.969,1.185,1.023,1.39,2.007,1.111,0.908,0.916,1.046,1.27,1.818,1.86,1.264,1.271,1.509,1.555,1.418,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943",0.276,0.261,0.236,0.581,0.229,0.684,0.228,1.259,0.331,0.478,0.14,0.462,0.229,0.114,0.101,0.812,1.428,0.153,0.047,0.059,1.847,0.403,0.273,0.367,0.292,0.29,0.237,0.56,0.739,1.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",0.268,1.03,1.425,1.445,0.989,0.059,0.883,2.057,1.342,1.313,1.185,1.874,1.409,0.6,0.576,2.065,1.361,0.605,0.322,0.309,0.357,1.303,1.159,1.034,0.638,0.664,0.561,1.161,1.512,2.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",0.701,1.66,1.425,1.556,1.366,0.163,1.446,2.147,1.98,1.944,1.445,1.8,1.376,0.994,0.823,2.364,2.84,1.383,0.65,0.543,0.977,1.632,1.237,0.978,1.03,1.411,0.865,1.963,2.12,2.696,0.831,0.967,1.273,1.419,1.137,0.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",0.394,1.291,1.363,1.12,1.117,0.7,0.915,1.634,1.028,1.112,1.348,1.093,1.469,0.698,0.798,1.729,1.779,1.382,0.847,0.667,2.182,0.976,1.834,0.691,1.01,1.306,0.994,1.474,1.312,2.416,0.167,0.154,0.297,0.286,0.405,0.357,1.303,1.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",0.598,1.535,1.189,1.395,0.96,0.946,1.577,1.593,1.155,1.458,1.365,1.15,1.592,0.94,0.476,1.894,1.883,1.566,0.636,0.334,0.986,1.58,1.759,1.445,1.357,1.921,1.795,1.993,1.2,2.476,0.371,0.339,0.243,0.374,1.035,0.693,0.584,0.55,1.9,0.785,0.803,1.254,1.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",1.015,1.365,1.737,1.642,1.836,0.967,1.677,2.434,2.123,1.905,1.863,1.742,2.264,1.52,1.214,1.773,2.253,1.845,1.265,1.082,1.078,1.733,1.948,1.845,1.668,1.409,1.12,2.126,2.122,2.287,0.494,0.5,0.414,0.553,0.89,0.702,0.676,0.528,1.783,0.373,0.267,0.648,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",0.473,1.022,1.63,1.53,1.19,0.604,0.827,1.255,0.861,2.093,1.747,1.121,1.87,0.856,0.958,1.507,1.921,0.866,0.598,0.736,1.875,1.187,1.274,1.035,0.774,0.726,0.783,1.39,1.563,1.678,0.611,0.568,0.609,0.817,1.247,1.2,0.768,0.622,1.463,0.313,0.242,0.981,1.058,1.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0.65,1.432,1.578,1.525,1.535,0.709,1.038,1.379,1.161,1.495,1.498,1.298,1.765,0.933,0.854,1.649,1.797,1.649,0.638,0.695,0.697,1.036,1.723,1.351,1.58,1.416,1.414,1.574,1.367,1.944,0.938,0.877,0.796,0.955,1.349,1.098,0.549,0.859,1.633,0.3,0.334,1.135,0.846,2.185,1.508,1.492,0.899,0.924,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",1.25,0.84,1.142,1.525,1.21,1.004,0.785,0.975,0.833,0.964,1.273,0.54,1.799,1.092,0.821,0.409,0.955,1.46,0.649,0.663,1.98,1.161,1.695,0.983,1.003,1.521,1.213,0.815,0.805,1.897,0.793,0.648,0.533,0.754,1.185,0.97,0.839,0.94,0.417,0.335,0.268,0.784,0.677,1.513,0.566,0.624,1.28,1.097,1.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",1.531,1.415,1.433,2.049,1.433,1.331,1.09,2.011,1.557,1.318,1.774,1.714,2.051,1.552,1.083,1.129,2.622,1.582,1.089,1.245,1.736,1.236,2.414,1.477,1.093,1.278,1.303,1.281,1.86,2.536,1.241,0.971,0.575,1.189,2.13,1.737,0.635,0.692,1.166,0.481,0.208,0.853,0.913,1.069,0.779,0.769,0.767,0.802,1.044,1.409,1.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",1.007,1.302,1.31,1.663,1.119,0.778,0.986,1.621,1.116,1.128,1.449,1.208,1.453,0.747,0.469,1.146,1.4,1.097,0.569,0.617,1.598,1.07,1.65,1.14,1.031,0.863,1.097,0.994,1.341,2.073,1.075,0.86,0.907,1.348,2.213,1.308,1.327,0.905,1.134,0.751,0.303,0.923,0.603,1.572,1.166,0.708,0.768,0.91,0.95,2.26,1.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",0.584,1.112,1.175,1.558,1.221,0.385,0.427,1.469,1.172,1.302,1.462,1.605,0.85,0.592,0.441,1.2,1.28,1.054,0.66,0.678,1.28,1.214,1.02,0.884,0.887,0.866,0.906,1.367,1.296,1.869,1.119,0.81,0.626,1.252,2.487,1.671,1.87,1.594,1.212,0.756,0.602,1.39,1.254,1.371,1.648,1.163,1.116,1.019,1.538,2.608,2.386,2.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",0.32,0.616,1.026,1.243,0.632,0.214,0.15,1.134,0.806,1.132,1.016,1.087,0.795,0.354,0.101,0.882,1.285,0.831,0.15,0.181,0.676,0.905,0.899,0.355,0.625,0.505,0.619,0.798,1.007,1.504,0.903,0.602,0.958,1.239,1.595,1.064,1.307,2.528,0.866,0.454,0.856,1.747,1.774,1.353,1.21,1.057,1.712,1.488,2.194,2.516,2.668,1.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",0.256,0.699,1.033,1.524,0.8,0.281,0.23,1.253,0.9,1.274,0.998,1.163,0.978,0.396,0.262,0.94,1.552,0.782,0.351,0.191,0.873,0.854,1.19,0.461,0.805,0.686,0.846,0.784,1.21,1.214,1.346,0.871,0.734,0.934,1.62,1.016,1.855,1.485,0.938,0.798,0.466,1.307,1.29,0.643,1.279,1.448,1.348,1.45,1.49,1.604,1.51,1.912,2.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",0.27,0.312,0.95,0.48,0.194,0.253,0.295,0.45,0.43,0.496,0.816,0.469,0.663,0.116,0.114,0.603,0.695,0.255,0.093,0.093,0.311,0.468,0.638,0.301,0.304,0.272,0.405,0.385,0.543,0.467,1.25,1.128,1.039,1.512,2.091,1.639,1.867,2.101,0.629,0.625,0.796,1.809,1.453,0.527,2.222,2.105,1.684,1.989,1.528,1.833,2.192,0.639,2.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.678,0.292,0.192,0.245,0.241,0.543,0.473,0.163,0.14,0.23,0.273,0.093,0.651,0.085,0.09,0.158,0.339,0.139,0.146,0.147,0.107,0.137,1.279,0.442,0.17,0.149,0.222,0.102,0.17,0.288,0.888,0.564,0.778,0.827,1.021,0.975,1.18,2.709,0.157,0.912,0.611,1.555,1.466,0.341,0.927,0.848,0.633,0.87,1.51,0.435,1.954,0.701,2.327,1.924,2.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",0.401,0.098,0.361,0.336,0.088,0.385,0.338,0.529,0.795,0.23,0.337,0.386,0.538,0.039,0.054,0.183,0.68,0.284,0.079,0.062,0.558,0.209,0.958,0.453,0.352,0.374,0.485,0.223,0.415,0.141,1.127,1.067,1.394,1.494,1.693,1.695,1.733,1.96,0.143,1.06,1.053,2.09,1.841,0.381,1.915,1.35,1.585,1.121,2.037,0.549,2.726,1.14,2.591,3.081,2.187,1.149,2.295,2.516,3.294,4.252,2.169,2.24,NA,NA,NA,NA,NA,NA
"1960",0.899,0.486,0.496,0.876,0.349,0.684,0.699,0.613,1.027,0.495,0.4,0.994,1.37,0.054,0.057,0.196,1.212,0.446,0.237,0.168,0.664,0.558,1.55,0.752,0.527,0.38,0.679,0.221,0.76,0.293,1.083,0.963,1.35,1.767,2.038,1.329,1.18,2.913,0.186,1.717,0.938,2.161,1.994,0.458,1.911,1.65,1.411,1.651,1.601,1.256,2.471,1.04,4.278,3.391,2.28,1.059,2.446,2.418,2.921,5.483,2.566,2.709,2.637,NA,NA,NA,NA,NA
"1961",1.24,0.623,0.918,1.343,0.728,1.061,1.336,1.217,1.076,0.978,0.772,1.062,1.868,0.286,0.172,0.719,1.571,0.981,0.595,0.535,1.005,1.148,1.657,1.14,0.982,0.729,0.805,0.792,1.45,1.093,2.221,1.768,1.611,2.039,1.725,1.047,0.934,3.047,0.699,0.948,1.288,2.807,2.517,1.227,1.349,1.602,2.153,2.26,2.605,0.914,2.666,0.6,3.85,3.436,2.818,1.834,2.975,3.504,4.55,4.044,2.704,3.225,3.259,3.03,2.868,2.971,NA,NA
"1962",1.24,0.887,0.945,1.265,1.116,1.035,1.241,1.408,1.184,0.906,0.897,1.02,2.183,0.476,0.281,0.786,1.616,0.837,0.425,0.41,1.239,1.073,2.049,1.373,0.885,0.856,0.851,0.974,1.441,1.075,1.169,0.761,0.871,1.446,1.65,1.062,1.483,2.044,0.821,0.584,0.798,2.008,1.723,1.364,1.69,1.506,1.806,1.964,2.041,0.337,2.138,0.642,5.68,2.89,2.524,1.294,2.538,2.72,3.399,4.657,2.232,2.641,3.106,2.135,1.81,1.997,NA,NA
"1963",0.933,0.763,0.943,1.029,0.867,0.985,0.818,1.201,0.939,0.631,0.565,1.088,1.826,0.285,0.155,0.705,1.277,0.677,0.184,0.209,1.019,0.911,1.634,1.12,0.67,0.566,0.674,0.68,0.952,1.069,0.929,0.969,0.603,0.775,0.725,0.495,1.131,1.409,0.639,1.083,0.847,1.534,1.302,1.413,0.965,0.595,1.378,1.057,1.931,0.675,2.32,0.757,2.942,2.605,2.445,1.072,1.534,2.168,1.824,3.023,2.158,2.237,2.929,1.374,1.875,1.749,NA,NA
"1964",1.133,0.844,1.095,1.49,0.876,1.231,1.236,1.439,1.339,0.98,0.864,1.595,1.974,0.454,0.227,0.735,1.454,0.924,0.37,0.263,1.453,1.338,1.766,1.178,0.676,0.839,0.566,1.085,1.265,1.577,1.555,1.425,1.199,1.355,1.441,0.877,1.179,1.971,0.793,0.491,1.106,2.161,1.839,2.232,1.205,1.147,1.165,1.408,3.071,0.615,2.446,0.726,2.488,3.362,2.655,1.675,2.039,2.504,2.52,2.336,2.546,2.201,3.059,1.989,2.211,1.935,NA,NA
"1965",1.357,0.607,1.357,1.556,0.934,0.99,1.736,1.534,1.284,1.014,0.993,1.264,2.055,0.553,0.272,0.74,1.461,1.242,0.399,0.355,1.09,1.316,1.72,1.874,1.013,0.942,1.055,1.102,1.461,1.964,0.773,0.589,1.182,1.351,1.063,0.696,0.998,1.569,0.748,0.476,0.72,1.65,1.262,2.622,1.115,0.648,1.334,1.587,2.393,0.439,1.831,0.464,3.242,2.375,2.141,0.873,0.888,1.56,1.55,2.384,2.19,2.044,2.046,1.265,1.305,1.333,NA,NA
"1966",0.583,0.528,1.038,1.569,0.656,0.604,0.722,1.359,1.156,0.825,1.266,1.114,1.715,0.511,0.493,0.733,1.5,0.689,0.242,0.348,1.091,0.993,1.293,0.76,0.691,0.573,0.701,0.779,1.263,1.138,0.51,0.664,1.488,1.809,0.733,0.643,0.921,1.2,0.678,0.811,0.869,1.344,0.824,1.748,0.901,0.621,0.902,1.037,2.383,0.26,1.75,0.465,3.125,1.705,1.947,1.22,1.12,1.454,2.121,2.455,1.764,1.972,1.991,2.097,0.903,1.213,NA,NA
"1967",0.927,0.419,1.21,1.388,0.696,0.876,0.966,1.414,1.089,1.158,0.87,1.259,1.503,0.43,0.44,0.954,1.741,0.772,0.368,0.289,1.147,1.08,1.341,0.983,0.886,0.555,0.659,1.07,1.21,1.542,0.949,1.038,2.112,2.427,1.215,0.736,2.178,1.736,0.947,0.285,0.768,1.168,0.769,1.561,1.117,0.799,1.284,1.627,2.929,0.299,1.326,0.694,3.897,0.996,1.781,1.787,2.155,2.177,2.544,2.965,2.425,2.157,2.581,2.754,1.395,1.757,NA,NA
"1968",0.546,0.372,0.554,0.715,0.225,0.559,0.417,0.334,0.243,0.302,1.012,0.398,1.022,0.147,0.145,0.347,0.465,0.507,0.284,0.276,0.229,0.825,1.09,0.75,0.353,0.265,0.319,0.488,0.438,0.556,0.702,0.435,1.952,2.301,1.504,0.829,1.261,1.495,0.366,0.607,0.94,1.094,1.019,0.852,1.135,0.692,1.418,1.741,2.662,0.696,1.851,0.723,4.065,1.702,2.594,1.499,1.676,1.725,2.348,2.896,1.683,2.027,1.831,2.128,1.768,1.998,NA,NA
"1969",0.91,0.367,0.566,0.828,0.374,0.908,0.613,0.321,0.305,0.532,0.374,1.313,1.176,0.135,0.098,0.369,0.53,0.401,0.159,0.158,0.189,0.846,1.508,0.641,0.341,0.294,0.427,0.638,0.349,0.983,0.413,0.351,1.342,1.859,0.755,0.64,0.82,1.276,0.376,0.7,0.408,0.762,0.539,0.967,0.819,0.704,1.137,1.206,1.602,0.806,1.403,0.725,2.244,1.387,1.522,1.012,1.318,1.608,1.813,1.942,2.006,1.818,1.006,2.466,1.895,1.605,NA,NA
