"","ASPEN-Q-1-A","ASPEN-Q-18-A","ASPEN-Q-6-A","ASPEN-Q-12-A","ASPEN-Q-12-B","ASPEN-Q-14-A","ASPEN-Q-14-B","ASPEN-Q-15-A","ASPEN-Q-2-A","ASPEN-Q-5-A","ASPEN-Q-7-A","ASPEN-Q-10-A","ASPEN-Q-10-B","ASPEN-Q-11-B","ASPEN-Q-16-B","ASPEN-Q-1-B","ASPEN-Q-2-B","ASPEN-Q-6-B","ASPEN-Q-8-B","ASPEN-Q-11-A","ASPEN-Q-15-B","ASPEN-Q-17-A","ASPEN-Q-3-B","ASPEN-Q-5-B","ASPEN-Q-16-A","ASPEN-Q-3-A","ASPEN-Q-9-A","ASPEN-Q-17-B","ASPEN-Q-18-B","ASPEN-Q-4-B","ASPEN-X-9-A","ASPEN-X-9-B","ASPEN-Q-13-A","ASPEN-X-13-B","ASPEN-X-8-B","ASPEN-X-11-A","ASPEN-X-11-B","ASPEN-Q-9-B","ASPEN-Q-8-A","ASPEN-Q-13-B","ASPEN-X-7-A","ASPEN-X-7-B","ASPEN-X-4-A","ASPEN-X-8-A","ASPEN-X-10-A","ASPEN-X-10-B","ASPEN-X-12-A","ASPEN-X-12-B","ASPEN-X-5-A","ASPEN-X-4-B","ASPEN-Q-7-B","ASPEN-X-2-A","ASPEN-X-2-B","ASPEN-X-3-A","ASPEN-X-6-A","ASPEN-X-15-A","ASPEN-X-6-B","ASPEN-X-3-B","ASPEN-X-16-A","ASPEN-X-1-A","ASPEN-X-15-B","ASPEN-X-1-B","ASPEN-X-16-B","ASPEN-X-14-A","ASPEN-X-14-B","ASPEN-X-13-A","ASPEN-W-1-A","ASPEN-W-4-B","ASPEN-W-10-A","ASPEN-W-11-B","ASPEN-W-12-A","ASPEN-W-12-B","ASPEN-W-13-A","ASPEN-W-15-A","ASPEN-W-15-B","ASPEN-W-16-A","ASPEN-W-16-B","ASPEN-W-1-B","ASPEN-W-4-A","ASPEN-W-5-A","ASPEN-W-5-B","ASPEN-W-9-A","ASPEN-W-9-B","ASPEN-W-10-B","ASPEN-W-13-B","ASPEN-W-14-A","ASPEN-W-14-B","ASPEN-W-11-A","ASPEN-W-3-B","ASPEN-W-3-A","ASPEN-W-7-B","ASPEN-W-2-B","ASPEN-W-7-A","ASPEN-W-8-B","ASPEN-W-6-A","ASPEN-W-8-A","ASPEN-W-2-A","ASPEN-W-6-B"
"1986",0.418,0.497,2.171,1.388,1.448,0.283,0.22,0.776,2.19,1.936,1.493,1.02,1.272,1.433,1.527,0.198,2.317,1.727,1.077,0.827,0.361,1.377,2.877,2.022,1.213,2.546,1.321,1.261,1.142,1.263,1.613,1.672,1.41,1.119,1.797,2.131,1.245,2.121,0.934,1.322,1.467,1.179,1.681,1.626,0.844,1.501,1.248,1.35,1.515,1.933,1.685,2.141,2.468,1.652,2.275,1.981,1.555,1.971,1.841,1.973,2.11,2.398,2.139,1.497,1.153,0.822,4.257,1.928,2.564,1.68,1.561,1.89,1.656,2.82,2.248,3.839,3.803,3.378,2.358,3.051,3.174,2.511,1.969,2.656,1.921,1.658,1.708,1.821,1.634,1.338,4.169,3.067,3.311,3.507,3.84,3.437,4.831,3.475
"1987",0.705,0.968,2.41,1.8,1.549,0.64,0.672,0.86,2.902,2.149,1.868,1.771,2.235,1.387,2.166,0.673,2.917,2.381,1.323,1.427,0.889,1.846,2.86,1.882,1.855,2.581,2.076,1.725,1.455,1.747,1.029,1.11,1.364,0.743,1.317,0.93,0.458,1.983,1.915,1.42,1.284,0.961,1.317,1.011,0.629,1.021,0.682,0.996,1.268,1.38,2.073,1.977,1.77,1.387,1.172,1.5,1.196,1.482,1.562,2.2,1.922,2.403,1.616,1.693,1.317,0.723,2.943,1.904,2.476,1.303,1.093,1.042,1.056,2.773,1.612,3.863,2.165,2.679,2.404,2.58,2.427,1.771,1.2,2.302,1.068,1.255,1.441,1.677,2.064,1.776,4.981,3.048,4.706,2.151,3.151,3.1,4.205,3.243
"1988",0.547,1.609,1.596,0.874,0.838,0.295,0.257,0.648,2.355,1.097,1.335,1.531,2.188,0.33,1.208,0.623,2.336,1.381,1.569,1.219,0.517,0.699,1.412,1.033,0.697,1.495,1.145,0.614,0.399,2.455,0.692,0.852,1.155,0.255,1.014,0.688,0.478,1.173,1.984,1.866,1.014,0.784,1.112,0.863,0.775,0.701,0.552,0.428,0.377,1.046,1.883,0.787,0.808,1.042,1.68,0.2,1.419,1.185,0.871,1.727,0.702,2.146,0.75,1.204,1.165,0.387,2.387,2.214,2.594,1.754,2.109,1.502,2.271,3.056,2.163,3.063,1.551,3.519,2.228,3.17,2.399,1.341,1.092,2.722,1.493,1.176,2.048,1.692,3.45,2.861,5.277,2.872,4.725,2.804,3.39,3.233,4.955,3.447
"1989",0.166,1.536,0.49,0.296,0.299,0.063,0.126,0.212,2.195,0.136,0.235,0.338,0.477,0.769,0.305,0.162,1.615,0.198,0.445,0.545,0.147,0.149,0.188,0.215,0.179,0.177,0.095,0.156,0.058,0.661,0.171,0.178,0.221,0.242,0.377,0.26,0.183,0.106,0.363,0.186,0.317,0.354,0.256,0.376,0.073,0.162,0.1,0.124,0.235,0.286,0.631,0.204,0.179,0.367,0.677,0.154,0.338,0.137,0.109,0.165,0.244,0.27,0.076,0.169,0.118,0.132,2.725,2.921,2.583,1.944,1.833,1.663,1.919,3.247,2.789,3.258,1.953,2.591,2.865,3.406,2.506,1.598,1.407,2.724,1.711,2.584,2.543,1.795,2.898,3.198,4.946,3.453,5.047,2.63,4.542,3.023,5.77,4.363
"1990",0.164,1.405,1.418,0.211,0.298,0.279,0.35,0.403,0.476,0.232,0.671,0.882,1.435,0.893,0.902,0.138,0.308,0.567,1.152,0.844,0.317,0.188,0.352,0.331,1.128,0.465,0.551,0.17,0.215,0.462,0.369,0.234,0.524,0.281,1.122,0.373,0.205,0.677,1.494,0.539,1.049,1.104,0.608,0.992,0.219,0.118,0.107,0.134,1.974,0.826,1.288,0.497,0.873,0.695,1.1,0.984,0.98,0.474,0.219,0.197,1.457,0.289,0.198,0.76,0.629,0.129,2.93,1.853,2.036,1.118,1.3,0.946,1.209,2.507,2.504,2.151,1.198,2.56,1.858,3.293,2.991,1.065,0.919,1.728,0.933,1.798,1.275,1.378,2.754,3.15,4.678,2.099,4.458,1.912,3.789,2.796,3.639,4.031
"1991",0.071,1.835,1.078,0.219,0.204,0.248,0.343,0.334,0.513,0.595,0.42,1.011,0.806,1.673,1.158,0.067,0.481,0.373,0.898,0.953,0.2,0.556,1.05,0.517,0.767,1.187,0.626,0.221,0.469,0.957,0.63,0.348,0.629,0.516,1.664,1.015,0.313,0.766,0.909,0.925,1.306,1.226,1.256,1.272,0.222,0.186,0.319,0.388,2.275,1.868,0.676,0.983,1.18,1.362,2.708,2.043,1.721,0.929,0.42,1.366,1.827,1.558,1.201,2.015,2.054,0.458,2.32,2.126,1.731,0.714,1.449,1.001,1.461,3.801,2.901,3.238,1.965,1.549,2.042,2.973,2.953,1.415,1.031,1.28,0.913,1.851,1.98,0.763,2.734,3.856,3.772,3.11,3.262,2.424,3.845,3.008,3.684,3.874
"1992",0.308,2.749,1.295,0.582,0.492,0.205,0.146,0.509,1.454,1.08,0.344,1.579,2.113,1.891,1.213,0.16,1.322,0.725,1.038,1.401,0.308,1.007,2.328,1.679,2.007,1.986,0.645,0.899,0.795,1.995,0.63,0.139,1.291,0.599,1.358,0.887,0.292,0.962,1.33,1.49,0.711,0.853,1.116,0.869,0.179,0.216,0.17,0.245,2.105,1.378,0.482,1.458,1.861,0.433,1.672,1.647,1.975,0.113,0.202,0.548,1.782,0.862,0.139,0.573,0.942,0.31,1.579,1.41,1.31,1.107,1.376,0.861,1.383,2.704,1.532,1.832,1.529,0.665,1.216,2.039,2.081,1.245,0.813,1.019,0.81,0.941,1.515,1.029,2.737,2.43,3.298,2.266,2.38,0.984,2.368,1.83,4.027,2.914
"1993",0.58,2.388,1.1,0.8,1.191,0.231,0.308,0.806,2.327,1.381,0.345,1.732,2.519,2.137,1.603,0.44,2.33,0.507,1.639,1.765,0.611,1.604,2.509,2.042,2.141,2.082,1.125,1.389,0.893,1.746,0.895,0.356,1.467,1.262,1.132,0.946,0.226,1.205,2.408,1.245,1.002,0.98,1.089,1.538,0.184,0.245,0.452,0.696,1.625,1.554,0.264,1.371,1.594,2.175,2.123,1.456,1.404,1.15,0.843,2.045,1.659,1.881,0.878,1.214,1.545,1.186,1.725,1.502,1.639,1.289,2.165,1.355,2.312,2.37,2.182,2.583,2.023,1.212,2.552,3.215,2.797,1.292,1.018,1.802,1.373,1.324,2.271,1.145,2.985,1.942,4.226,3.369,2.847,1.769,3.519,2.726,4.778,3.45
"1994",1.186,2.289,1.449,1.123,1.298,0.448,0.585,1.161,2.595,1.101,0.387,2.09,2.364,2.136,2.085,0.716,2.781,0.752,2.349,2.099,0.777,1.924,1.573,1.367,2.391,1.201,1.016,1.693,1.243,1.649,1.296,0.84,1.528,1.209,1.579,0.875,0.328,1.377,1.921,1.62,1.574,1.059,1.251,1.376,0.396,0.677,0.803,0.781,2.065,1.673,0.571,1.237,1.814,2.511,2.067,1.819,1.731,1.867,1.415,2.716,2.704,2.968,0.816,1.502,2.127,1.313,2.281,2.207,2.265,1.403,2.504,2.376,2.426,3.216,2.779,2.541,2.701,1.962,3.256,3.135,3.455,1.599,1.182,2.094,2.532,2.463,3.322,1.224,4.483,4.04,5.671,3.595,4.325,2.068,4.29,3.555,6.12,4.085
"1995",1.052,2.904,1.776,1.567,1.805,0.427,0.509,1.591,2.378,1.716,0.553,2.951,3.134,2.131,2.134,1.177,2.612,1.725,3.541,2.409,0.8,2.037,2.855,2.421,2.404,2.752,1.172,2.089,2.002,2.45,0.776,0.634,2.219,0.842,1.616,0.634,0.349,1.486,2.638,2.231,1.371,1.09,1.148,1.158,0.192,0.302,0.63,0.686,1.467,1.268,0.649,1.102,1.038,1.828,1.551,1.273,1.699,1.504,0.918,1.692,1.388,2.258,0.871,1.267,1.486,0.848,1.52,0.893,1.319,0.828,1.175,0.751,1.125,2.12,1.43,1.501,1.674,1.589,1.821,2.027,2.189,0.998,0.844,1.394,0.773,1.066,1.143,0.896,2.791,2.525,3.022,1.606,2.666,0.941,3.031,1.884,3.1,2.746
"1996",1.225,2.981,1.848,1.944,1.918,0.765,0.829,1.57,2.736,1.942,0.218,1.941,2.588,1.756,2.059,1.296,3.46,1.131,2.355,2.09,0.853,2.064,2.861,1.936,2.373,2.672,1.362,2.114,2.316,2.412,0.527,0.253,1.505,0.507,1.973,0.361,0.221,1.263,2.083,1.883,1.222,1.013,0.769,1.406,0.047,0.146,0.403,0.456,1.219,0.824,1.048,0.429,0.452,1.674,0.912,0.643,0.855,1.02,0.383,1.627,0.809,1.447,0.258,1.265,1.597,0.434,0.656,1.107,1.462,0.62,0.727,0.736,0.782,2.273,0.491,1.315,0.649,0.677,1.212,1.822,1.716,0.622,0.522,1.19,0.755,1.006,0.777,0.747,2.862,3.052,2.944,1.414,2.405,1.586,3.343,1.804,3.453,2.848
"1997",1.199,2.463,0.847,1.848,2.428,0.553,0.597,1.228,2.442,1.894,0.437,1.047,1.727,1.868,2.089,1.59,2.917,0.487,1.497,1.861,0.805,2.203,2.479,2.026,1.796,2.344,1.113,1.97,1.73,1.954,1.142,0.586,0.984,0.834,1.834,0.884,0.184,1.105,1.307,1.312,1.519,1.52,1.145,1.713,0.304,0.575,1.186,1.489,1.981,1.242,0.527,0.649,0.745,2.271,2.42,1.646,1.748,1.617,1.132,1.913,1.754,2.04,1.325,1.739,1.781,0.691,1.381,1.694,1.778,1.009,1.195,0.957,1.17,2.792,2.942,2.237,1.961,2.055,1.828,1.956,2.27,1.466,1.109,1.63,0.953,1.138,1.2,1.376,3.325,3.423,4.71,2.369,3.732,2.405,3.528,3,4.702,3.073
"1998",1.171,2.767,1.805,2.215,2.596,0.739,0.914,1.238,1.835,2.918,0.457,1.691,2.053,2.056,2.272,2.126,2.759,0.925,2.362,2.14,1.182,1.879,2.975,2.034,1.913,2.848,1.33,2.04,2.407,3.017,0.714,0.912,1.782,0.606,1.162,0.854,0.374,1.664,2.371,2.178,0.983,1.117,1.049,0.998,0.24,0.314,1.502,1.378,1.178,1.038,0.963,0.974,1.058,1.948,1.946,1.291,0.921,1.435,1.406,1.857,1.427,1.231,1.186,1.073,1.466,0.435,1.845,1.535,1.373,1.688,1.792,1.223,1.749,2.532,2.387,2.23,2.131,2.224,1.31,1.258,2.428,1.835,1.542,1.481,1.4,1.118,1.139,0.792,3.168,2.901,3.253,1.907,2.531,1.572,3.023,2.206,3.848,2.845
"1999",1.255,1.226,1.826,2.018,2.212,0.965,0.998,1.387,2.598,2.432,0.22,2.639,2.318,1.769,2.373,1.42,3.373,1.006,2.979,2.221,1.86,1.975,2.849,1.85,2.471,2.745,1.621,1.689,2.357,2.804,0.609,0.946,1.932,0.89,1.198,0.578,0.349,1.682,2.505,1.966,0.786,0.842,0.965,1.057,0.159,0.318,0.886,0.849,1.289,0.91,1.391,0.464,0.556,1.51,1.931,1.291,1.045,0.866,0.778,1.514,0.99,1.295,0.505,1.199,1.112,0.516,1.71,1.62,1.746,0.946,1.276,1.572,1.301,1.867,1.727,1.636,2.246,1.754,1.236,1.413,2.304,1.826,1.582,2.05,1.466,1.239,0.773,1.085,3.333,2.68,2.602,1.901,2.003,2.187,2.494,2.455,3.115,2.361
"2000",1.071,1.117,1.51,1.67,1.832,0.58,0.884,0.982,3.066,1.939,0.351,2.258,2.156,1.666,2.646,1.561,2.841,0.815,2.506,1.678,1.33,1.859,2.719,1.749,2.114,2.42,1.302,1.389,1.721,2.563,0.481,0.627,2.022,0.313,1.38,0.652,0.238,1.488,1.977,1.967,0.672,0.642,0.735,0.847,0.141,0.17,0.791,0.614,0.965,0.816,1.135,0.478,0.88,1.484,2.485,0.982,1.11,1.072,0.575,1.522,1.233,1.118,0.49,1.375,1.122,0.309,1.268,1.944,1.209,0.842,0.694,0.938,0.503,1.679,1.277,2.134,1.388,1.519,0.788,1.27,2.711,1.072,1.194,1.731,0.978,1.266,0.427,0.404,2.18,2.817,2.826,2.046,2.32,2.477,2.885,2.44,3.234,2.867
"2001",1.254,0.918,1.408,1.623,2.491,0.426,0.503,0.864,2.001,1.877,0.593,2.633,2.958,1.957,2.507,1.927,2.334,1.383,2.893,1.603,1.468,2.186,3.247,1.581,2.714,2.394,2.041,1.408,2.239,2.673,0.787,0.734,1.827,0.589,1.69,0.419,0.372,1.735,2.704,2.397,0.856,0.854,0.962,0.968,0.2,0.364,0.399,0.441,1.024,0.917,1.063,0.328,0.604,1.369,2.174,1.005,1.393,0.913,0.314,1.602,1.172,0.782,0.334,0.694,0.781,0.398,1.957,2.373,2.182,1.765,1.363,1.337,1.456,2.01,2.374,1.732,1.824,1.536,1.397,1.658,2.275,2.499,2.047,2.358,1.207,1.37,1.168,0.964,2.532,2.974,2.89,1.777,2.641,2.667,3.827,3.012,2.569,3.65
"2002",1.37,1.368,1.52,1.625,2.055,0.922,1.182,1.437,2.835,1.403,0.372,2.4,1.855,1.415,2.88,1.822,2.042,1.62,2.141,2.204,1.442,1.972,2.645,1.537,3.071,2.19,1.658,1.617,1.184,2.276,0.183,0.218,1.559,0.23,1.15,0.207,0.186,1.811,2.472,2.26,0.633,0.894,0.281,0.755,0.124,0.14,0.176,0.089,0.368,0.187,0.924,0.198,0.116,0.271,0.822,0.223,0.381,0.167,0.115,0.214,0.245,0.351,0.076,0.516,0.339,0.225,1.138,1.535,1.184,1.077,0.662,0.793,0.811,1.448,1.613,1.104,1.038,0.808,0.812,1.05,0.99,1.716,1.378,1.48,0.802,0.534,0.752,0.495,1.859,1.57,2.047,1.602,1.8,1.347,2.613,1.99,2.341,2.259
"2003",0.691,1.373,1.259,0.859,1.164,0.875,0.726,0.564,2.205,0.753,0.367,1.253,0.872,1.23,1.039,0.753,2.061,1.111,1.488,1.14,0.682,0.823,1.569,0.724,1.481,1.124,1.195,0.62,0.87,1.712,0.169,0.27,1.385,0.226,1.606,0.129,0.128,0.975,0.721,1.314,0.928,1.079,0.407,1.144,0.091,0.093,0.079,0.119,0.338,0.473,0.895,0.432,0.526,0.318,1.002,0.52,0.753,0.295,0.275,0.489,0.798,0.605,0.188,0.552,0.445,0.197,1.15,1.309,1.33,0.903,0.479,0.381,0.364,1.618,1.087,1.023,0.793,0.922,0.709,1.091,1.406,1.409,1.202,1.315,0.327,0.606,0.337,0.335,2.508,1.682,2.308,1.284,1.343,1.978,2.715,2.232,3.107,2.595
"2004",0.224,1.208,1.198,0.716,1.604,0.508,0.781,0.542,1.364,0.451,0.428,0.929,0.531,1.218,1.642,0.879,1.423,1.159,0.636,1.375,0.522,1.109,1.413,0.994,1.747,1.023,1.765,0.686,0.589,1.084,0.385,0.487,0.984,0.112,2.282,0.228,0.146,0.93,0.749,1.299,0.825,1.048,0.68,0.985,0.073,0.166,0.09,0.155,0.801,0.409,0.892,0.783,0.802,2.053,1.233,0.928,0.723,0.892,0.261,0.636,0.93,1.237,0.227,0.912,0.694,0.218,1.062,1.015,1.557,0.996,0.322,0.318,0.408,1.34,1.042,0.858,0.851,0.563,0.611,1.046,1.468,1.519,1.599,1.353,0.286,0.628,0.446,0.691,2.193,1.573,2.038,0.929,1.678,2.126,3.416,2.833,2.506,3.069
"2005",0.186,0.791,0.975,0.571,1.268,0.463,0.557,0.531,1.203,1.233,0.6,0.95,0.684,2.335,1.784,0.805,1.214,1.276,1.051,1.53,0.289,2.015,1.496,1.305,2.564,1.039,1.54,1.006,1.032,1.374,0.249,0.244,0.779,0.205,2.205,0.127,0.107,1.787,1.359,0.763,1.071,1.582,0.685,1.639,0.137,0.183,0.091,0.152,0.987,0.49,0.754,0.123,0.341,0.765,0.651,0.501,0.369,0.55,0.269,0.577,0.458,1.195,0.348,0.436,0.385,0.145,1.931,1.879,1.97,1.694,0.512,0.559,0.429,2.369,1.392,1.897,1.456,1.085,1.408,1.784,2.215,2.145,1.931,1.79,0.76,0.849,1.364,0.498,3.72,2.571,2.556,2.279,2.38,3.71,3.962,3.456,3.684,3.346
"2006",0.588,1.616,1.799,1.2,1.939,0.722,0.86,1.172,0.842,1.789,0.623,2.356,2.146,2.377,2.641,1.355,1.187,1.994,1.444,2.193,0.984,2.543,2.483,1.543,3.657,1.841,2.607,1.904,1.532,2.474,0.495,0.363,0.958,0.089,1.246,0.145,0.067,1.718,2.194,0.91,0.888,0.943,0.158,1.243,0.053,0.115,0.128,0.061,0.345,0.18,2.098,0.104,0.102,0.666,0.274,0.143,0.162,0.622,0.469,0.866,0.235,1.057,0.379,0.474,0.329,0.17,0.902,1.064,1.26,0.952,0.451,0.594,0.594,1.387,1.075,0.983,0.801,0.494,1.163,0.961,1.248,1.749,1.725,1.409,0.605,0.457,1.109,0.578,2.702,1.503,1.891,1.429,1.867,1.297,2.614,2.167,1.947,2.897
"2007",0.959,1.083,2.009,1.561,2.88,0.436,0.626,0.827,1.338,0.563,0.406,2.671,1.578,0.288,2.275,1.841,1.75,1.486,1.202,2.069,0.599,2.309,0.733,0.616,2.922,0.537,2.431,2.061,0.497,0.65,0.139,0.108,0.529,0.153,1.645,NA,0.067,1.208,1.92,0.355,0.551,0.63,0.057,0.813,0.044,0.182,0.321,0.229,0.124,0.065,1.481,0.51,0.054,1.583,0.178,0.117,0.09,0.426,0.394,0.208,0.143,0.391,0.612,0.362,0.338,0.083,1.095,0.88,0.252,0.185,0.249,0.264,0.195,0.75,1.174,1.385,0.718,0.876,1.107,0.666,1.147,0.419,0.47,0.298,0.25,0.233,0.643,0.099,1.337,0.529,2.57,0.484,1.667,0.533,2.429,1.114,2.921,2.111
"2008",0.183,0.116,1.001,0.387,0.61,0.117,0.155,0.216,0.55,0.062,0.482,0.457,0.442,1.775,0.166,0.136,0.724,0.546,0.39,0.302,0.168,0.232,0.116,0.131,0.212,0.134,0.392,0.206,0.11,0.146,0.481,0.322,0.22,0.301,1.895,NA,NA,0.356,0.322,0.142,1.168,1.416,0.719,1.391,0.079,0.234,0.31,0.466,0.347,0.651,0.774,0.686,0.797,1.868,0.792,0.69,0.924,0.744,0.658,0.671,0.801,1.057,0.935,1.309,0.78,0.236,1.866,1.288,1.075,0.907,1.03,1.092,0.898,1.339,1.878,2.153,1.274,1.361,1.918,1.299,2.153,1.937,1.671,1.089,1.205,0.602,1.195,0.248,1.941,1.314,2.451,1.479,1.981,1.571,3.319,2.042,2.8,2.617
"2009",0.635,0.463,1.345,0.843,2.383,0.23,0.308,0.861,0.67,0.807,0.287,1.044,1.202,2.157,1.242,1.648,0.798,0.757,0.424,1.868,0.625,1.014,0.916,0.872,1.333,1.509,0.652,1.236,0.859,1.237,0.593,0.484,0.816,0.175,1.924,NA,NA,0.707,0.45,0.708,1.084,1.43,0.768,1.445,0.089,NA,NA,0.526,0.726,0.84,1.216,0.701,1.212,1.855,0.776,0.944,0.803,1.197,0.745,1.54,1.7,1.425,0.617,1.19,1.233,0.227,1.514,1.284,0.998,0.734,0.783,0.691,0.885,1.541,1.425,1.431,1.212,1.355,2.07,1.325,1.736,1.77,1.533,0.856,0.737,0.768,0.854,0.32,1.965,1.593,2.115,1.481,1.818,0.89,1.17,2.256,2.484,2.902
"2010",0.902,1.341,1.16,1.76,3.541,0.917,0.481,1.23,1.584,1.562,NA,2.036,2.572,NA,2.356,1.907,1.817,0.74,NA,2.589,0.766,2.269,2.047,1.701,2.577,2.244,1.609,1.798,1.673,2.612,0.318,0.469,1.303,NA,0.796,NA,NA,1.689,1.192,1.227,0.64,0.628,0.216,0.726,0.153,NA,NA,NA,0.315,0.374,1.4,0.136,0.483,0.788,0.426,0.522,0.403,0.704,0.372,0.785,0.716,0.789,0.512,0.503,0.693,NA,0.56,0.566,0.391,0.284,0.257,0.332,0.282,0.604,0.684,0.549,0.503,0.415,0.785,0.676,1.003,0.951,0.692,0.396,0.251,0.294,0.477,0.2,0.832,0.791,1.026,0.637,0.656,0.394,0.52,0.788,0.809,1.363
