"","WSPRU-Q-16-A","WSPRU-X-2-B","WSPRU-X-2-A","WSPRU-X-4-A","WSPRU-X-4-B","WSPRU-X-10-B","WSPRU-Q-9-A","WSPRU-X-11-A","WSPRU-X-6-B","WSPRU-X-6-A","WSPRU-X-10-A","WSPRU-X-3-A","WSPRU-X-3-B","WSPRU-X-1-A","WSPRU-X-1-B","WSPRU-X-5-A","WSPRU-X-5-B","WSPRU-X-9-A","WSPRU-X-12-A","WSPRU-Q-11-A","WSPRU-Q-11-B","WSPRU-X-9-B","WSPRU-X-11-B","WSPRU-X-12-B","WSPRU-X-8-B","WSPRU-X-8-A","WSPRU-X-7-A","WSPRU-Q-13-B","WSPRU-Q-13-A","WSPRU-X-7-B","WSPRU-Q-15-B","WSPRU-Q-15-A","WSPRU-X-14-A","WSPRU-X-5-C","WSPRU-Q-10-B","WSPRU-Q-10-A","WSPRU-X-13-B","WSPRU-X-13-A","WSPRU-W-10-A","WSPRU-W-10-B","WSPRU-W-3-A","WSPRU-W-11-B","WSPRU-W-11-A","WSPRU-W-13-A","WSPRU-W-13-B","WSPRU-W-1-A","WSPRU-W-1-B","WSPRU-W-2-A","WSPRU-W-3-B","WSPRU-W-14-A","WSPRU-W-14-B","WSPRU-W-15-B","WSPRU-W-15-A","WSPRU-W-16-A","WSPRU-W-16-B","WSPRU-W-9-A","WSPRU-W-4-B","WSPRU-W-9-B","WSPRU-Q-12-A","WSPRU-Q-12-B","WSPRU-W-4-A","WSPRU-W-5-A","WSPRU-W-5-B","WSPRU-W-2-B"
"1990",0.884,0.459,1.428,0.489,0.101,0.167,1.338,1.599,0.753,0.819,0.351,2.116,2.713,0.056,0.876,0.22,3.055,1.05,0.444,0.14,0.24,0.722,0.147,1.887,1.454,1.258,1.312,2.201,2.105,1.424,2.203,3.883,5.259,2.478,1.331,1.346,1.763,1.969,0.3,0.564,0.753,0.582,0.697,0.352,1.165,2.133,0.271,1.716,0.581,0.525,0.502,0.4,0.576,0.279,0.291,0.511,0.345,1.175,0.722,1.053,2.89,1.631,2.042,1.579
"1991",0.788,0.694,0.429,0.469,0.28,1.974,1.6,2.473,1.241,1.339,0.216,2.498,1.851,1.429,1.508,0.188,0.146,1.272,1.84,0.289,1.85,0.675,0.307,2.757,3.674,1.515,1.949,2.461,1.706,1.902,2.679,3.144,3.247,3.653,1.386,1.164,2.323,3.098,0.829,0.546,0.973,1.098,1.022,0.429,0.402,2.054,2.068,1.432,0.706,0.473,0.437,0.35,0.474,0.785,0.333,0.825,1.947,0.815,0.578,1.006,0.162,1.389,1.16,1.715
"1992",1.176,1.51,1.557,0.338,0.365,0.301,2.205,0.913,0.761,1.248,2.219,1.856,1.685,1.27,1.21,2.861,0.289,0.46,0.352,0.114,1.794,0.785,1.134,0.298,3.074,1.571,2.068,1.524,1.398,2.054,2.297,2.549,2.396,3.134,1.012,0.917,1.32,2.099,0.51,0.429,0.861,0.77,0.838,0.458,0.672,1.614,1.595,0.59,0.833,0.225,0.426,0.878,0.673,0.213,0.52,1.217,1.597,1.456,0.792,0.932,1.583,0.294,1.591,1.1
"1993",0.419,0.787,0.566,0.449,0.39,2.061,1.696,0.062,0.668,0.713,0.153,1.372,1.399,0.055,1.166,3.466,0.214,0.607,1.593,0.131,0.252,0.694,0.187,1.998,1.717,0.37,1.5,1.332,1.15,1.313,1.682,1.291,2.324,2.887,1.066,0.788,1.057,1.54,0.544,0.843,2.146,0.855,0.8,0.304,0.843,0.265,0.173,1.592,2.674,0.257,0.546,0.764,0.417,1.122,0.273,1.155,2.616,0.752,0.699,0.686,2.925,2.283,1.806,1.952
"1994",0.742,1.237,1.936,0.462,0.543,2.42,2.177,0.068,1.688,1.285,0.357,1.875,1.903,0.053,2.122,2.669,0.328,0.801,2.88,0.194,0.239,1.194,0.229,0.398,0.722,2.515,0.495,2.086,1.747,2.361,3.108,2.812,2.649,2.678,1.295,0.96,1.798,2.358,0.552,0.575,0.72,0.93,0.521,1.241,0.777,0.184,2.032,1.517,1.987,0.781,0.475,0.806,0.705,0.447,0.543,1.027,2.04,0.947,1.269,0.705,0.471,2.052,0.746,1.802
"1995",0.87,0.948,1.217,0.394,0.401,2.586,2.02,0.051,1.199,1.508,0.284,1.337,1.571,0.798,1.46,0.315,2.809,1.2,1.87,0.22,0.164,1.198,2.291,2.088,1.965,0.73,1.707,2.009,1.896,1.533,3.608,3.718,3.18,3.134,1.717,1.213,1.309,2.057,0.651,0.535,0.967,0.539,0.536,0.39,1.22,0.099,2.176,1.941,2.157,0.695,0.667,0.364,0.457,0.597,0.793,0.711,0.292,1.126,1.44,1.14,0.453,2.266,1.264,2.064
"1996",0.774,0.781,1.118,0.591,0.266,0.088,1.576,0.068,1.113,1.455,0.441,1.484,1.704,0.065,1.828,0.209,2.951,1.572,1.715,2.758,2.276,1.14,0.101,0.523,2.148,0.656,0.393,2.847,2.121,1.675,3.592,3.629,2.806,2.549,1.846,1.438,1.527,2.004,0.932,1.374,1.975,0.354,0.499,0.512,0.834,0.068,0.038,2.214,1.21,0.515,1.006,1.072,0.559,0.457,0.776,0.598,0.208,0.939,1.659,1.029,0.366,2.195,0.586,1.888
"1997",0.453,1.117,1.609,0.655,0.319,0.091,1.188,0.065,1.421,1.192,0.211,1.594,1.599,0.052,1.304,0.284,0.158,1.325,2.444,0.284,2.357,0.76,0.139,2.022,0.992,1.799,0.428,2.186,1.584,1.512,2.869,2.465,2.605,2.945,1.89,1.608,1.351,1.775,0.754,0.656,0.941,0.32,0.502,0.335,0.22,1.565,0.052,1.769,1.769,0.9,0.972,0.619,0.633,0.934,0.833,1.021,1.754,0.943,1.051,1.32,1.454,2.303,0.649,1.348
"1998",0.351,1.03,0.703,0.171,0.256,0.211,1.329,0.07,1.436,1.442,0.25,1.256,1.772,0.027,1.255,0.175,2.236,0.776,1.916,0.244,0.14,0.865,0.081,1.904,2.209,0.7,0.314,2.601,1.85,1.411,4.326,3.659,2.983,2.42,1.963,2.204,1.734,2.11,1.043,1.313,1.089,0.47,0.469,0.697,0.944,1.667,1.723,0.15,1.683,0.962,0.834,0.425,0.767,0.451,1.255,0.737,1.996,0.693,1.254,0.893,0.266,0.426,1.154,1.573
"1999",0.154,0.43,0.565,0.54,0.279,1.736,1.115,1.702,1.469,1.147,1.67,1.469,1.933,0.07,1.525,3.076,0.123,1.388,2.008,0.182,0.198,1.149,0.073,1.677,1.177,2.002,0.383,2.585,2.038,1.383,2.108,2.1,3.108,2.519,1.854,1.497,1.554,1.985,1.097,1.445,0.568,0.334,0.266,0.801,0.165,1.483,1.414,1.655,1.067,0.461,0.488,1.185,0.608,1.065,0.432,0.636,0.286,0.667,0.798,1.007,0.245,1.588,0.549,1.706
"2000",0.275,0.673,0.609,0.542,0.337,0.182,1.109,1.342,0.998,0.985,0.268,0.837,1.289,0.88,1.221,0.125,3.181,0.326,2.082,0.268,1.72,0.936,0.119,1.716,1.295,1.818,1.605,1.906,1.395,1.322,1.556,1.468,2.649,2.906,1.284,0.941,1.352,1.762,0.504,0.417,1.441,0.355,0.161,0.675,0.19,1.151,1.143,1.34,0.768,0.514,0.391,0.451,0.407,0.974,0.603,0.531,0.777,0.291,0.839,0.812,0.189,0.133,0.165,1.435
"2001",0.219,0.894,0.682,0.373,0.28,0.109,1.319,0.77,0.484,0.951,0.948,0.618,1.03,0.469,0.525,1.756,1.542,0.233,2.01,2.176,2.399,0.3,1.164,1.061,0.64,0.488,1.039,2.264,1.527,1.065,1.632,1.662,2.169,1.985,1.977,0.953,1.248,1.677,1.55,1.353,1.334,0.176,0.117,0.184,0.221,1.022,1.062,1.139,0.789,0.43,0.588,0.744,0.445,0.919,0.496,0.374,0.887,0.25,1.275,1.06,1.083,0.169,0.266,1.193
"2002",0.071,0.276,0.079,0.275,0.26,0.186,1.081,0.971,0.792,1.166,0.052,0.713,1.126,0.538,0.549,1.964,1.617,0.259,1.587,2.935,0.048,0.308,0.075,0.964,1.319,1.194,0.983,2.71,1.677,1.049,1.198,1.082,1.883,1.853,1.779,1.078,1.57,1.6,1.395,1.156,0.888,0.186,0.297,0.566,0.454,0.897,0.947,0.114,1.037,0.387,0.459,0.318,0.478,0.502,0.243,0.269,0.06,0.226,0.911,1.41,0.863,0.889,0.637,0.822
"2003",0.098,0.108,0.796,0.278,0.209,1.012,0.931,0.774,0.707,0.891,0.702,0.941,1.078,0.357,0.568,0.264,0.17,1.284,2.398,0.061,0.047,0.753,1.262,1.533,0.197,0.21,0.173,0.837,1.193,0.94,0.833,0.603,2.096,1.337,1.075,0.953,1.381,2.297,0.526,1.032,1.051,0.369,0.246,0.899,0.893,1.378,1.432,0.093,1.741,0.6,0.706,1.008,0.188,0.602,0.615,0.398,1.669,0.401,0.97,0.995,1.21,0.09,1.262,1.387
"2004",0.155,0.78,0.853,0.346,0.258,1.068,0.953,1.223,0.928,1.032,0.844,1.078,1.219,0.443,0.636,4.104,3.32,1.616,2.416,0.093,1.662,0.356,0.06,1.837,1.625,0.798,1.29,2.718,1.893,1.392,0.774,0.992,3.525,1.828,1.695,1.188,1.271,2.318,0.537,0.828,1.075,0.401,0.25,0.724,0.746,1.114,1,0.05,0.334,0.4,0.436,0.747,0.546,1.14,0.507,0.237,1.124,0.277,1.518,1.543,0.982,0.97,0.12,1.224
"2005",0.126,0.91,1.046,0.479,0.252,1.551,0.523,2.431,1.335,1.879,1.264,1.111,1.189,0.722,0.975,3.78,3.131,1.574,2.625,3.074,0.054,1.414,2.152,2.476,0.815,1.077,1.46,2.629,1.874,1.586,0.996,0.802,2.58,1.645,1.631,1.225,1.903,2.631,0.783,0.974,1.498,0.348,0.38,1.096,1.007,1.545,1.529,1.297,0.092,0.377,0.878,1.327,0.789,1.227,0.832,0.292,1.561,0.306,1.485,1.39,1.236,1.009,1.255,1.677
"2006",0.133,1.217,1.239,0.388,0.379,1.752,0.536,1.783,1.416,1.773,1.129,0.95,1.463,0.767,1.012,2.311,0.129,2.345,2.475,0.067,2.508,1.352,0.094,2.34,0.855,1.635,1.137,3.423,2.507,1.343,1.287,0.641,3.243,1.526,2.067,1.431,1.822,2.661,0.655,0.472,1.119,0.914,0.568,1.235,1.255,1.147,1.123,1.317,1.487,0.374,0.93,1.628,0.802,1.148,0.942,0.282,0.054,0.289,1.633,1.687,0.994,0.766,1.041,1.409
"2007",0.179,1.307,1.297,0.476,0.394,2.824,1.264,2.332,1.891,2.015,1.8,0.957,1.638,0.856,0.916,0.461,0.168,1.524,2.421,2.831,2.771,0.786,2.244,2.139,1.101,0.647,0.064,3.127,2.826,1.511,0.744,0.589,3.391,1.831,2.236,1.549,2.146,2.786,0.379,0.686,1.388,0.915,0.605,1.366,1.766,1.864,1.719,1.923,2.02,0.958,1.221,1.513,0.838,0.98,0.635,0.223,1.138,0.283,1.723,1.898,0.068,0.236,0.267,1.656
"2008",0.163,1.591,1.32,0.259,0.297,2.073,0.172,2.443,1.543,1.408,1.389,0.451,0.941,0.783,0.734,2.697,3.397,2.247,2.625,3.015,2.102,1.09,2.203,2.678,0.834,0.558,0.952,2.819,2.202,0.892,0.948,0.645,2.935,0.949,1.943,1.217,2.043,2.665,0.624,0.485,1.175,0.826,0.57,1.116,0.977,0.49,1.085,1.312,1.972,0.551,0.87,1.167,0.56,1.135,0.638,0.222,0.858,0.213,0.895,1.099,0.801,1.185,0.406,1.462
"2009",0.072,0.854,0.907,0.498,0.483,2.436,0.774,1.978,1.496,1.646,1.812,0.524,1.071,0.893,0.856,3.002,2.797,0.968,2.676,2.238,1.591,0.775,1.395,2.518,0.526,2.038,0.874,2.273,1.901,1.227,0.541,0.324,1.887,0.838,1.585,1.122,1.953,3.373,0.62,0.42,NA,0.787,0.525,1.043,0.928,NA,NA,1.292,2.113,0.516,0.826,1.882,1.077,1.158,0.703,0.294,0.86,0.147,0.669,0.927,0.079,1.486,0.72,1.453
"2010",NA,0.862,NA,0.256,0.201,1.243,0.237,0.994,0.733,1.103,1.06,0.308,0.474,0.403,0.41,0.948,0.265,0.318,1.335,2.511,2.436,0.375,1.014,NA,NA,1.123,0.549,2.371,2.227,0.785,0.881,0.505,NA,0.328,1.561,1.153,1.176,1.648,0.377,0.284,NA,0.251,0.248,0.468,0.627,NA,NA,0.689,1.069,0.392,0.43,0.812,0.627,0.455,0.325,NA,NA,NA,0.744,1.188,0.719,0.534,0.631,0.866
