"","WSPRU-Q-16-A","WSPRU-X-2-B","WSPRU-X-2-A","WSPRU-X-4-A","WSPRU-X-4-B","WSPRU-X-10-B","WSPRU-Q-9-A","WSPRU-X-11-A","WSPRU-X-6-B","WSPRU-X-6-A","WSPRU-X-10-A","WSPRU-X-3-A","WSPRU-X-3-B","WSPRU-X-1-A","WSPRU-X-1-B","WSPRU-X-5-A","WSPRU-X-5-B","WSPRU-X-9-A","WSPRU-X-12-A","WSPRU-Q-11-A","WSPRU-Q-11-B","WSPRU-X-9-B","WSPRU-X-11-B","WSPRU-X-12-B","WSPRU-X-8-B","WSPRU-X-8-A","WSPRU-X-7-A","WSPRU-Q-13-B","WSPRU-Q-13-A","WSPRU-X-7-B","WSPRU-Q-15-B","WSPRU-Q-15-A","WSPRU-X-14-A","WSPRU-X-5-C","WSPRU-Q-10-B","WSPRU-Q-10-A","WSPRU-X-13-B","WSPRU-X-13-A","WSPRU-W-10-A","WSPRU-W-10-B","WSPRU-W-3-A","WSPRU-W-11-B","WSPRU-W-11-A","WSPRU-W-13-A","WSPRU-W-13-B","WSPRU-W-1-A","WSPRU-W-1-B","WSPRU-W-2-A","WSPRU-W-3-B","WSPRU-W-14-A","WSPRU-W-14-B","WSPRU-W-15-B","WSPRU-W-15-A","WSPRU-W-16-A","WSPRU-W-16-B","WSPRU-W-9-A","WSPRU-W-4-B","WSPRU-W-9-B","WSPRU-Q-12-A","WSPRU-Q-12-B","WSPRU-W-4-A","WSPRU-W-5-A","WSPRU-W-5-B","WSPRU-W-2-B"
"1960",0.788,0.897,1.154,0.833,0.517,0.454,0.677,0.327,0.613,0.675,0.485,0.865,0.82,0.51,0.522,0.544,0.791,2.126,1.045,0.202,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.67,0.678,0.624,0.379,0.177,0.463,0.622,0.372,0.294,0.352,0.268,1.044,1.002,0.524,0.564,0.38,0.476,1.639,1.193,0.115,0.213,1.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.689,1.045,0.73,0.751,0.524,0.619,0.913,0.331,0.397,0.462,0.357,1.713,1.614,0.472,0.841,0.714,0.812,2.197,1.288,0.197,0.278,2.677,0.464,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",1.268,0.947,1.033,0.535,1.051,0.518,0.866,0.476,0.405,0.33,0.401,1.739,1.259,0.386,1.043,0.701,0.85,1.943,1.608,0.194,0.213,1.793,0.469,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",0.41,0.725,0.445,0.792,0.878,0.456,0.53,0.287,0.385,0.343,0.389,2.05,1.838,0.655,0.557,0.754,0.953,1.982,1.844,0.301,0.173,1.77,0.298,1.009,1.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965",0.15,1.667,1.781,0.94,0.451,0.417,0.462,0.418,0.734,0.613,0.48,2.074,2.118,1.183,1.007,0.877,0.991,2.683,2.209,0.393,0.228,2.359,0.344,0.995,2.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",0.282,1.508,0.841,1.083,0.769,0.368,0.621,1.315,0.625,0.802,0.502,1.93,2.36,1.025,0.969,0.917,1.035,2.178,2.334,0.174,0.254,2.319,1.209,0.961,2.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",0.256,0.542,0.512,0.744,0.372,0.384,0.395,0.409,0.543,0.647,0.429,1.821,1.921,1.044,0.691,0.795,0.772,1.669,1.391,0.082,0.295,2.221,1.243,1.327,1.165,0.293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",0.061,1.331,0.804,0.89,0.687,0.368,0.47,1.281,0.468,0.511,1.305,2.14,2.034,0.916,1.06,0.599,0.806,2.126,1.161,0.249,0.227,2.213,0.27,1.88,0.28,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",0.303,1.011,0.647,0.56,0.471,0.445,1.103,0.42,0.463,0.483,0.878,1.473,1.662,0.536,1.028,0.683,0.929,1.651,1.027,0.367,0.519,1.91,0.24,2.308,1.477,0.364,1.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",0.266,1.021,0.415,0.682,0.89,1.127,0.703,0.271,0.465,0.442,0.37,1.667,2.173,0.761,0.844,0.477,0.568,1.532,2.108,0.466,0.547,1.943,0.451,3.238,1.591,1.468,1.508,0.527,0.392,1.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",0.528,1.332,0.473,0.295,0.182,0.259,1.329,0.207,0.442,0.496,1.342,1.736,2.828,0.929,0.627,0.604,0.739,1.809,2.516,1.059,0.746,1.793,0.433,2.79,0.408,2.193,1.626,0.411,0.441,1.567,0.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972",0.582,0.422,1.17,0.84,0.82,0.729,1.014,1.468,0.289,0.482,1.081,1.562,3.232,0.456,0.687,0.447,0.554,1.716,4.722,0.359,0.549,1.741,1.707,2.175,0.309,0.258,1.359,0.79,0.462,1.333,0.458,0.374,2.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
