"","WSPRU-C-17-B","WSPRU-C-19-A","WSPRU-C-16-A","WSPRU-C-16-B","WSPRU-C-18-A","WSPRU-C-18-B","WSPRU-C-19-B","WSPRU-C-17-A","WSPRU-C-15-B","WSPRU-C-15-A","WSPRU-C-13-A","WSPRU-C-13-B","WSPRU-C-12-B","WSPRU-C-12-A","WSPRU-C-14-B","WSPRU-C-14-A","WSPRU-E-15-A","WSPRU-E-15-B","WSPRU-E-14-B","WSPRU-E-8-B","WSPRU-E-8-A","WSPRU-E-11-A","WSPRU-E-14-A","WSPRU-E-13-B","WSPRU-E-9-B","WSPRU-E-10-A","WSPRU-E-11-B","WSPRU-E-12-B","WSPRU-E-13-A","WSPRU-E-10-B","WSPRU-E-12-A","WSPRU-E-7-A","WSPRU-E-9-A","WSPRU-E-7-B"
"1967",0.5,0.866,0.325,0.705,1.139,0.992,0.677,0.31,0.979,0.743,1.106,1.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",0.502,1.099,0.641,1.028,1.753,1.716,1.243,0.447,1.354,1.114,1.29,1.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",0.33,1.017,0.653,0.868,1.396,1.102,0.96,0.37,1.239,1.253,1.074,1.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1970",0.287,0.782,0.709,0.751,1.692,1.593,0.795,0.314,1.121,1.136,1.074,0.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1971",0.341,0.856,0.701,0.783,1.535,1.543,0.878,0.401,1.32,1.298,1.335,1.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1972",0.399,0.787,0.744,0.682,1.32,1.999,0.618,0.513,3.05,0.661,0.992,1.309,1.852,1.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973",0.395,0.326,0.907,0.882,1.798,2.607,0.161,0.286,1.399,0.612,1.154,1.354,2.055,2.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",0.395,0.181,0.903,1.21,2.232,2.888,0.105,0.259,0.828,0.731,1.244,1.475,2.055,2.709,2.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",0.974,0.347,1.122,1.724,2.305,2.68,0.268,0.401,1.005,0.981,1.487,1.303,2.202,2.7,2.991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",1.311,0.789,1.575,2.628,3.291,3.856,0.577,0.677,1.903,1.624,2.082,2.303,2.414,3.714,4.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
