"","ASPEN-SS-20-A","ASPEN-SS-20-B","ASPEN-SS-3-B","ASPEN-SS-2-A","ASPEN-SS-2-B","ASPEN-SS-3-A","ASPEN-SS-4-A","ASPEN-SS-4-B","ASPEN-SS-5-A","ASPEN-SS-5-B","ASPEN-SS-1-A","ASPEN-SS-1-B","ASPEN-SS-6-A","ASPEN-SS-6-B","ASPEN-SS-7-A","ASPEN-SS-7-B","ASPEN-SS-8-A","ASPEN-SS-8-B","ASPEN-SS-9-A","ASPEN-SS-9-B","ASPEN-SS-14-A","ASPEN-SS-16-B","ASPEN-SS-17-A","ASPEN-SS-17-B","ASPEN-SS-13-A","ASPEN-SS-15-A","ASPEN-SS-15-B","ASPEN-SS-19-A","ASPEN-SS-10-A","ASPEN-SS-10-B","ASPEN-SS-12-A","ASPEN-SS-12-B","ASPEN-SS-13-B","ASPEN-SS-16-A","ASPEN-SS-18-B","ASPEN-RR-12-A","ASPEN-RR-12-B","ASPEN-RR-18-A","ASPEN-RR-1-A","ASPEN-RR-1-B","ASPEN-RR-2-A","ASPEN-RR-2-B","ASPEN-RR-3-A","ASPEN-RR-3-B","ASPEN-RR-8-A","ASPEN-RR-8-B","ASPEN-RR-10-A","ASPEN-RR-10-B","ASPEN-SS-14-B","ASPEN-SS-19-B","ASPEN-RR-9-A","ASPEN-RR-9-B","ASPEN-RR-5-A","ASPEN-RR-5-B","ASPEN-RR-7-A","ASPEN-RR-7-B","ASPEN-RR-6-A","ASPEN-RR-6-B","ASPEN-RR-13-A","ASPEN-SS-18-A","ASPEN-RR-14-B","ASPEN-RR-16-A","ASPEN-SS-11-A","ASPEN-RR-11-A","ASPEN-RR-15-B","ASPEN-RR-17-B","ASPEN-RR-19-B","ASPEN-SS-11-B","ASPEN-RR-13-B","ASPEN-RR-11-B","ASPEN-RR-14-A","ASPEN-RR-16-B","ASPEN-RR-20-A","ASPEN-RR-17-A","ASPEN-RR-19-A","ASPEN-RR-15-A","ASPEN-RR-20-B"
"1978",1.935,1.587,1.07,0.964,1.173,1.059,0.869,0.926,0.861,0.889,0.907,1.207,1.145,0.869,0.954,0.848,0.811,1.004,0.829,1.117,1.417,1.3,2.872,3.823,1.105,2.229,2.129,1.621,1.057,0.909,1.533,3.561,1.057,1.657,2.084,3.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1979",1.262,0.469,0.301,0.314,0.423,0.395,0.281,0.067,0.189,0.135,0.378,0.291,0.271,0.316,0.606,0.602,0.227,0.181,0.141,0.16,1.245,0.431,1.171,1.45,0.261,0.851,1.134,0.693,0.869,0.924,0.863,0.312,0.436,0.364,0.601,4.077,4.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1980",1.166,0.539,1.427,1.064,1.356,1.714,0.849,0.857,1.793,1.282,1.079,1.249,1.761,1.141,1.089,0.657,1.913,1.88,0.762,1.111,2.24,1.831,1.626,1.522,1.867,2.908,3.254,2.273,0.637,0.607,1.839,1.612,1.842,2.103,1.931,2.954,3.549,4.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1981",0.609,0.579,0.377,0.259,0.242,0.241,0.342,0.179,0.463,0.289,0.28,0.284,0.295,0.297,0.541,0.324,0.363,1.155,0.223,0.368,0.783,0.894,0.667,0.816,0.631,0.615,0.769,0.633,0.51,0.492,0.622,0.395,0.416,0.549,1.246,4.041,3.41,5.475,1.157,1.246,1.213,1.401,0.885,0.951,1.896,1.818,2.335,1.652,1.02,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1982",0.508,0.93,0.211,0.252,0.236,0.246,0.158,0.173,0.207,0.248,0.051,0.191,0.259,0.16,0.337,0.226,0.265,0.55,0.171,0.27,0.578,0.383,0.523,0.44,0.254,0.404,0.509,0.647,0.515,0.461,0.156,0.244,0.312,0.336,0.446,0.927,1.008,4.605,0.752,0.781,0.756,0.543,0.375,0.252,0.515,0.49,0.34,0.246,0.324,1.024,1.008,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1983",0.518,0.327,0.97,1.326,1.862,0.843,0.862,1.513,1.161,1.167,0.998,0.76,1.465,1.477,1.181,1.37,2.667,1.636,0.939,1.757,2.316,2.154,1.872,1.669,2.201,3.107,3.042,2.307,0.456,0.555,1.193,1.757,1.743,1.985,1.945,1.854,1.555,4.84,1.11,0.79,0.863,0.903,0.388,0.424,1.554,1.333,0.565,0.606,2.824,3.048,1.976,1.735,1.604,1.513,0.813,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1984",0.872,1.326,1.515,2.24,1.859,1.128,2.721,2.388,2.098,1.899,1.309,1.504,1.452,1.641,1.846,1.457,3.23,2.016,1.602,2.386,2.545,2.438,2.488,2.775,3.06,2.912,3.409,2.702,1.074,1.245,1.992,2.113,2.013,2.021,2.757,3.047,3.187,4.351,1.214,0.952,1.174,0.782,0.485,0.537,1.292,1.397,0.807,0.477,3.941,3.393,1.21,1.584,0.679,0.661,0.724,1.125,0.811,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1985",0.98,1.528,1.864,1.993,1.82,1.227,1.989,1.7,1.863,1.397,1.665,1.661,1.97,2.57,2.537,2.554,2.877,2.621,2.349,2.789,2.874,2.244,2.589,3.043,2.166,3.275,3.51,1.756,1.725,1.555,2.618,2.709,2.184,2.517,2.937,2.959,3.45,4.861,0.302,0.389,0.414,0.353,0.236,0.283,1.712,1.462,0.868,0.43,3.189,3.034,0.812,1.017,0.809,0.865,0.235,0.439,0.339,0.674,1.335,3.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1986",1.609,2.43,1.577,1.813,1.979,1.03,2.213,1.834,1.744,2.683,1.359,1.486,1.274,1.908,1.887,2.067,2.106,2.499,1.47,2.081,2.707,2.186,2.697,3.403,1.885,3.072,3.436,2.548,1.921,1.795,2.45,2.386,2.434,2.356,3.016,3.493,4.086,6.214,1.318,1.424,1.206,1.094,0.41,0.286,3.039,2.065,0.581,0.494,3.336,3.674,1.246,1.239,0.495,0.538,1.126,1.192,0.901,0.755,2.518,3.173,4.066,1.003,1.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1987",1.494,2.074,1.469,1.962,1.499,1.019,1.276,1.312,1.226,1.351,1.649,1.413,0.778,1.066,1.489,1.377,1.821,1.695,1.091,2.133,2.747,1.469,1.724,2.458,2.03,2.842,2.921,2.775,0.901,1.097,2.199,2.099,1.918,1.926,2.272,3.793,4.254,4.522,2.243,2.919,2.503,1.873,0.633,0.745,4.135,2.496,0.496,0.378,2.269,2.342,1.156,1.404,1.502,2.098,1.495,1.656,1.268,0.975,3.464,3.264,4.668,2.279,1.327,3.076,4.343,4.881,3.223,1.673,NA,NA,NA,NA,NA,NA,NA,NA,NA
