"","ASPEN-SS-20-A","ASPEN-SS-20-B","ASPEN-SS-3-B","ASPEN-SS-2-A","ASPEN-SS-2-B","ASPEN-SS-3-A","ASPEN-SS-4-A","ASPEN-SS-4-B","ASPEN-SS-5-A","ASPEN-SS-5-B","ASPEN-SS-1-A","ASPEN-SS-1-B","ASPEN-SS-6-A","ASPEN-SS-6-B","ASPEN-SS-7-A","ASPEN-SS-7-B","ASPEN-SS-8-A","ASPEN-SS-8-B","ASPEN-SS-9-A","ASPEN-SS-9-B","ASPEN-SS-14-A","ASPEN-SS-16-B","ASPEN-SS-17-A","ASPEN-SS-17-B","ASPEN-SS-13-A","ASPEN-SS-15-A","ASPEN-SS-15-B","ASPEN-SS-19-A","ASPEN-SS-10-A","ASPEN-SS-10-B","ASPEN-SS-12-A","ASPEN-SS-12-B","ASPEN-SS-13-B","ASPEN-SS-16-A","ASPEN-SS-18-B","ASPEN-RR-12-A","ASPEN-RR-12-B","ASPEN-RR-18-A","ASPEN-RR-1-A","ASPEN-RR-1-B","ASPEN-RR-2-A","ASPEN-RR-2-B","ASPEN-RR-3-A","ASPEN-RR-3-B","ASPEN-RR-8-A","ASPEN-RR-8-B","ASPEN-RR-10-A","ASPEN-RR-10-B","ASPEN-SS-14-B","ASPEN-SS-19-B","ASPEN-RR-9-A","ASPEN-RR-9-B","ASPEN-RR-5-A","ASPEN-RR-5-B","ASPEN-RR-7-A","ASPEN-RR-7-B","ASPEN-RR-6-A","ASPEN-RR-6-B","ASPEN-RR-13-A","ASPEN-SS-18-A","ASPEN-RR-14-B","ASPEN-RR-16-A","ASPEN-SS-11-A","ASPEN-RR-11-A","ASPEN-RR-15-B","ASPEN-RR-17-B","ASPEN-RR-19-B","ASPEN-SS-11-B","ASPEN-RR-13-B","ASPEN-RR-11-B","ASPEN-RR-14-A","ASPEN-RR-16-B","ASPEN-RR-20-A","ASPEN-RR-17-A","ASPEN-RR-19-A","ASPEN-RR-15-A","ASPEN-RR-20-B"
"1998",2.409,4.117,2.529,3.973,2.678,2.816,2.841,4.8,2.283,2.858,3.018,5.004,4.407,3.013,4.072,2.921,2.66,2.701,3.588,2.836,3.554,1.571,3.106,3.019,2.14,3.743,3.887,3.958,1.909,2.333,3.419,4.849,2.934,3.082,6.978,5.235,4.679,3.73,3.576,4.055,3.889,3.679,1.378,2.975,3.695,4.195,1.61,1.296,3.315,4.296,2.314,2.562,5.278,4.579,2.918,2.399,1.622,2.003,3.943,4.802,3.46,4.952,4.504,2.962,4.151,4.891,4.198,3.203,3.96,2.777,4.69,4.726,4.449,5.659,4.127,4.51,4.039
"1999",2.054,2.188,0.78,2.134,1.237,0.885,1.467,2.653,1.157,1.056,1.762,4.006,3.188,1.745,2.698,2.009,1.429,1.423,1.584,1.161,2.767,1.241,1.772,1.167,1.075,2.73,2.801,2.478,0.889,1.318,2.219,2.639,1.564,1.503,3.845,4.149,3.317,2.987,4.347,3.985,3.04,3.054,0.775,2.584,3.634,3.601,1.106,0.507,1.934,2.607,2.509,2.371,4.199,3.805,2.584,2.239,2.08,1.618,4.202,2.601,3.344,3.528,2.77,2.562,3.973,4.015,3.508,1.926,3.925,2.408,3.736,3.531,4.789,4.041,3.539,3.559,3.818
"2000",2.587,1.651,1.982,1.976,1.82,1.86,2.489,5.02,1.947,2.751,1.827,4.458,3.479,2.265,2.918,2.722,2.359,2.484,2.922,2.411,3.974,1.841,2.996,2.354,1.522,3.675,4.018,3.906,1.243,2.182,2.599,2.475,1.78,3.236,3.783,4.026,3.313,3.632,4.507,3.691,3.623,3.289,0.79,1.371,3.801,3.968,1.455,1.001,2.647,3.467,2.375,2.099,4.208,3.88,2.23,2.492,1.923,2.494,4.138,3.238,3.115,3.354,3.08,2.58,4.748,3.61,3.458,2.556,3.879,2.367,3.459,3.39,4.197,3.403,3.884,4.218,3.098
"2001",2.014,1.3,2.36,3.058,3.378,2.776,2.812,5.443,1.933,2.943,2.179,4.13,5.016,3.078,3.508,3.659,2.625,3.142,2.475,3.121,4.871,2.557,3.985,3.368,2.557,4.016,4.56,3.83,1.633,2.007,3.244,3.788,2.377,1.524,3.916,4.721,4.271,3.9,4.515,3.651,4.114,3.433,1.443,1.806,4.392,3.963,2.018,1.406,3.691,3.207,2.08,2.823,5.399,3.871,3.034,3.012,2.014,2.676,3.959,2.911,3.315,3.956,3.199,2.993,5.163,4.636,3.706,3.631,3.793,3.403,3.411,4.904,2.679,4.835,4.215,4.415,3.722
"2002",1.438,1.024,1.075,1.983,2.183,1.079,0.97,2.519,0.906,1.424,1.847,2.898,2.827,2.237,3.287,2.453,1.137,1.435,1.056,1.631,1.776,0.875,1.503,1.845,1.265,2.004,2.358,1.809,0.99,1.227,1.745,1.602,0.797,0.93,3.041,3.499,2.875,4.828,3.113,2.353,2.97,2.785,0.792,0.917,3.169,3.067,1.047,0.902,1.411,2.208,1.665,2.158,4.551,3.171,1.956,2.338,1.428,1.427,3.408,2.254,3.268,3.479,1.961,2.132,4.126,3.523,2.638,1.294,3.052,2.421,2.673,3.558,3.419,3.74,3.491,3.794,4.496
"2003",1.161,1.178,0.353,1.253,1.524,0.351,0.451,1.642,0.389,0.812,0.849,2.203,2.157,1.477,2.668,2.081,0.473,0.649,0.496,1.656,1.079,0.716,1.829,1.757,1.756,0.773,1.127,1.056,0.471,0.44,2.085,1.252,1.049,1.087,2.364,3.564,3.268,2.629,3.334,2.803,2.806,3.026,0.728,0.76,2.773,2.801,0.743,0.51,1.188,2.059,1.735,2.384,4.373,3.586,1.282,1.943,1.314,0.829,3.692,2.352,3.263,3.64,1.247,2.516,4.837,4.297,3.277,0.99,2.895,2.525,2.114,4.175,4.047,3.396,3.405,3.914,3.544
"2004",1.792,1.53,0.948,2.04,2.233,0.89,1.399,2.268,1.012,1.736,1.45,1.69,2.803,3.119,3.518,2.667,1.021,1.354,1.242,1.861,1.281,0.554,1.599,1.764,1.21,0.453,0.657,2.081,1.185,1.248,1.483,1.341,1.061,1.098,2.837,2.145,2.749,2.807,2.371,2.64,2.86,2.15,0.41,0.376,2.837,2.749,0.906,0.685,0.996,2.906,1.433,1.442,3.698,3.466,1.533,2.112,1.008,1.355,3.925,2.689,2.391,2.954,1.881,2.568,3.397,3.846,2.853,1.38,3.439,2.248,1.986,2.866,3.67,4.334,3.707,3.268,3.364
"2005",2.151,1.297,1.919,1.709,2.256,1.385,1.858,2.775,1.488,2.363,1.362,2.085,3.106,2.557,3.175,2.666,1.549,1.76,1.443,1.667,2.554,0.775,2.177,1.377,1.015,NA,0.936,3.053,1.509,1.324,1.955,2.616,1.925,0.604,3.16,1.711,4.562,NA,2.734,2.138,2.591,2.264,0.45,0.472,2.344,2.019,0.955,0.657,2.466,3.759,1.239,1.515,1.207,2.108,2.689,2.331,1.203,1.735,2.503,2.345,1.669,3.339,2.735,2.25,4.106,3.686,2.96,1.964,2.384,1.952,1.217,3.218,2.821,3.174,2.629,3.742,2.708
"2006",1.653,1.982,2.418,2.539,2.467,0.877,1.745,3.083,1.197,2.522,2.286,2.076,3.963,2.345,3.638,2.19,1.755,2.195,1.99,1.128,2.838,1.057,2.049,1.47,1.093,NA,0.934,2.882,1.441,1.967,1.3,2.83,2.343,1.42,3.775,3.343,2.766,NA,3.01,1.907,2.525,2.491,0.373,0.44,2.485,3.077,0.791,0.524,2.563,3.415,1.394,1.773,2.002,2.514,1.992,2.597,1.03,1.027,3.91,2.94,2.32,3.365,2.446,2.429,4.031,2.771,2.694,1.635,3.604,2.545,2.011,3.86,3.234,2.3,3.266,3.722,2.968
"2007",2.978,2.294,2.198,2.336,3.207,1.843,2.144,3.074,1.987,2.512,1.487,2.048,4.01,2.681,3.892,2.888,2.639,2.331,2.453,2.053,3.402,1.605,2.255,3.082,1.435,NA,1.544,3.922,1.776,2.044,1.581,2.899,1.917,2.212,4.155,2.812,2.459,NA,2.34,2.071,2.002,1.767,0.555,0.184,3.047,2.669,0.682,0.506,3.088,6.964,1.156,1.362,2.156,3.256,1.599,1.812,0.992,1.164,3.649,2.87,2.373,3.285,2.294,2.873,3.827,3.17,2.441,1.825,3.565,2.73,2.065,3.573,3.654,3.52,2.966,4.308,3.33
"2008",2.718,1.585,2.308,2.94,3.547,1.979,2.618,3.75,3.026,3.507,2.051,2.4,4.526,3.008,3.512,2.549,2.56,2.73,3.311,3.381,3.284,1.796,2.165,3.008,1.862,NA,1.95,3.948,1.986,2.331,1.757,2.723,2.047,1.734,3.714,2.394,2.759,NA,2.665,1.87,1.993,1.971,0.488,0.142,2.406,2.207,1.117,0.809,3.013,3.108,1.162,1.296,1.77,3.108,1.748,2.037,0.815,1.168,3.148,3.061,2.177,2.813,2.424,2.97,3.539,3.086,2.446,2.21,3.341,2.57,1.556,2.915,NA,3.257,2.867,2.594,2.686
"2009",1.738,1.277,1.783,1.988,2.315,1.315,1.221,2.787,2.115,2.157,1.529,2.09,3.411,2.202,2.352,1.81,2.021,1.597,3.412,2.517,2.824,1.172,1.718,2.346,1.352,NA,1.771,3.306,1.447,2.085,0.884,2.224,1.254,1.221,2.825,2.646,1.461,NA,2.942,3.11,2.266,1.84,0.303,0.174,2.267,2.355,0.813,0.654,2.131,2.346,1.553,2,2.263,3.26,1.762,2.138,1.009,1.521,3.913,1.946,2.667,3.741,2.11,2.653,3.784,3.53,NA,2.024,1.899,2.593,2.09,2.845,NA,2.859,2.756,3.254,3.027
"2010",1.645,0.103,1.692,1.553,2.226,1.088,1.044,2.562,1.907,1.645,1.124,1.162,2.7,1.766,2.194,1.546,1.569,1.513,2.439,2.098,2.263,1.12,0.967,1.399,1.545,NA,1.08,2.609,1.605,1.77,0.882,1.764,0.983,1.005,2.304,1.502,NA,NA,1.548,1.739,1.438,1.146,0.065,0.064,1.673,1.762,0.702,0.405,2.213,0.319,0.874,0.805,1.766,2.664,1.475,1.948,0.732,1.256,2.21,1.87,2.155,1.867,2.156,1.939,2.665,2.54,NA,1.47,NA,1.56,1.851,1.507,NA,2.149,2.348,2.819,2.776
"2011",0.114,NA,0.128,NA,0.173,NA,0.091,0.096,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.151,NA,NA,NA,0.112,NA,NA,0.116,NA,NA,NA,0.129,NA,0.116,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183,NA,NA,0.277,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA,2.448,NA,3.842
