,ASPEN-R-7-A,ASPEN-R-4-A,ASPEN-R-2-B,ASPEN-R-6-B,ASPEN-R-3-A,ASPEN-R-6-A,ASPEN-R-2-A,ASPEN-R-4-B,ASPEN-R-5-A,ASPEN-R-7-B,ASPEN-R-3-B,ASPEN-R-5-B,ASPEN-R-1-A,ASPEN-R-8-B,ASPEN-R-8-A,ASPEN-R-1-B,ASPEN-U-13-B,ASPEN-U-14-B,ASPEN-U-17-A,ASPEN-R-13-A,ASPEN-U-10-A,ASPEN-U-12-B,ASPEN-U-14-A,ASPEN-U-15-A,ASPEN-U-15-B,ASPEN-U-18-A,ASPEN-R-9-B,ASPEN-R-18-B,ASPEN-U-9-B,ASPEN-U-16-A,ASPEN-U-17-B,ASPEN-R-13-B,ASPEN-R-18-A,ASPEN-U-8-B,ASPEN-U-10-B,ASPEN-U-11-B,ASPEN-U-16-B,ASPEN-U-18-B,ASPEN-R-14-B,ASPEN-R-9-A,ASPEN-R-16-B,ASPEN-U-6-A,ASPEN-U-6-B,ASPEN-U-11-A,ASPEN-U-13-A,ASPEN-R-14-A,ASPEN-R-17-A,ASPEN-R-11-A,ASPEN-R-11-B,ASPEN-R-10-B,ASPEN-R-17-B,ASPEN-R-12-B,ASPEN-R-15-A,ASPEN-U-8-A,ASPEN-R-10-A,ASPEN-R-12-A,ASPEN-R-15-B,ASPEN-U-9-A,ASPEN-V-10-A,ASPEN-TAT-3-A,ASPEN-TAT-3-B,ASPEN-TAT-9-A,ASPEN-V-4-A,ASPEN-V-7-B,ASPEN-TAT-9-B,ASPEN-TAT-7-A,ASPEN-TAT-7-B,ASPEN-TAT-1-A,ASPEN-TAT-13-A,ASPEN-V-17-B,ASPEN-TAT-10-A,ASPEN-TAT-10-B,ASPEN-TAT-5-A,ASPEN-TAT-1-B,ASPEN-TAT-17-B,ASPEN-V-3-A,ASPEN-V-3-B,ASPEN-V-15-A,ASPEN-V-16-A,ASPEN-V-16-B,ASPEN-TAT-6-B,ASPEN-TAT-12-B,ASPEN-TAT-16-A,ASPEN-TAT-17-A,ASPEN-V-2-A,ASPEN-V-5-A,ASPEN-V-5-B,ASPEN-V-9-A,ASPEN-V-1-A,ASPEN-V-12-B,ASPEN-V-15-B,ASPEN-TAT-5-B,ASPEN-V-6-A,ASPEN-V-6-B,ASPEN-V-7-A,ASPEN-V-8-B,ASPEN-V-13-B,ASPEN-TAT-4-A,ASPEN-TAT-4-B,ASPEN-TAT-6-A,ASPEN-TAT-12-A,ASPEN-TAT-16-B,ASPEN-V-10-B,ASPEN-V-13-A,ASPEN-V-14-A,ASPEN-TAT-13-B,ASPEN-TAT-18-A,ASPEN-TAT-18-B,ASPEN-V-8-A,ASPEN-TAT-2-A,ASPEN-TAT-11-B,ASPEN-V-11-B,ASPEN-V-11-A,ASPEN-V-12-A,ASPEN-V-17-A,ASPEN-V-18-B,ASPEN-V-18-A,ASPEN-TAT-8-B,ASPEN-V-1-B,ASPEN-V-14-B,ASPEN-TAT-2-B,ASPEN-TAT-11-A,ASPEN-TAT-15-B,ASPEN-TAT-15-A,ASPEN-TAT-14-A,ASPEN-TAT-8-A,ASPEN-TAT-14-B
1945,0.23,0.108,0.457,0.788,0.232,0.89,0.498,0.684,0.149,0.385,0.316,0.073,0.896,0.324,0.356,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,0.477,0.211,0.359,0.373,0.299,0.195,0.764,0.801,0.182,1.044,0.341,0.131,1.246,1.25,1.226,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,0.427,0.487,0.396,0.596,0.192,0.566,0.45,0.6,0.048,1.046,0.149,0.189,0.704,1.589,1.34,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.738,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,0.189,0.467,0.195,0.243,0.239,0.201,0.392,0.509,0.168,1.497,0.226,0.554,1.154,1.65,1.693,1.443,1.933,1.571,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983,1.589,1.135,0.801,0.654,2.368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,0.341,0.814,0.915,1.028,0.519,0.966,1.093,1.096,1.558,1.288,0.568,0.747,1.68,2.103,1.788,1.505,1.699,2.109,2.08,2.648,1.986,1.363,1.125,1.475,1.825,1.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.128,0.832,0.925,0.605,0.549,1.244,0.844,1.102,1.106,1.65,1.183,1.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,0.352,0.735,1.14,1.579,0.667,1.377,1.426,1.071,2.216,1.705,0.836,0.797,2.238,3.151,2.719,1.468,1.21,1.74,2.228,2.255,1.798,1.848,1.009,1.224,2.234,1.591,1.451,2.427,1.714,2.144,2.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,0.938,1.351,0.553,0.424,0.985,1.052,1.152,1.054,2.426,1.502,1.739,1.034,0.46,0.391,2.639,2.983,0.695,0.581,1.231,1.477,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,0.683,1.048,1.386,2.133,1.004,1.401,1.848,1.415,2.721,2.08,1.504,2.529,2.662,2.775,2.63,2.106,1.317,1.405,1.954,2.953,1.804,1.901,1.079,1.759,1.446,1.836,1.766,0.071,0.573,1.739,1.813,3.014,0.301,1.484,1.841,1.588,1.631,1.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238,0.909,1.236,0.633,0.608,1.39,0.672,0.971,0.563,2.196,1.874,0.542,1.178,0.719,0.304,2.169,2.994,0.482,0.511,1.404,1.681,1.561,2.275,2.035,4.04,3.485,1.601,1.526,0.847,0.716,0.741,1.031,1.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,0.647,1.018,0.873,1.949,0.964,1.357,1.24,1.125,1.791,2.162,1.198,0.954,2.461,3.232,3.171,2.327,1.254,0.985,2.086,1.749,1.93,2.081,1.429,2.18,2.157,2.085,1.764,0.39,1.031,2.287,1.73,2.29,0.404,0.855,2.054,1.654,2.565,1.692,2.353,1.526,1.9,1.244,1.07,1.881,1.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.893,2.205,2.298,0.374,0.431,1.194,0.433,1.552,1.018,2.531,2.918,1.538,0.632,0.666,0.463,2.465,3.077,0.701,0.694,1.97,1.716,1.474,1.512,2.633,2.482,2.208,1.11,0.814,1.775,0.817,0.887,0.811,2.212,0.404,0.792,0.768,1.83,1.428,1.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,1.018,0.819,0.854,2.194,1.038,1.191,0.978,1.567,2.12,2.176,1.432,1.506,2.021,3.451,3.254,1.583,1.503,1.906,1.871,2.488,2.042,2.654,1.363,1.901,2.121,2.185,2.012,0.884,1.707,2.383,1.889,2.774,0.467,0.969,2.215,2.071,2.746,2.229,2.078,1.7,1.065,1.372,1.7,2.029,1.666,3.223,0.826,2.186,1.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.561,2.085,2.645,0.451,0.65,1.54,0.403,2.436,2.535,2.016,3.275,1.798,1.105,0.54,0.469,2.014,0.675,0.428,0.4,2.288,1.647,1.285,3.01,4.113,3.727,0.412,0.93,0.519,1.621,1.658,1.014,1.608,2.665,0.457,0.516,0.584,1.289,1.992,1.248,2.79,2.619,2.778,3.915,2.711,1.843,0.597,1.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,1.083,1.168,0.708,1.856,1.375,1.259,1.218,1.357,1.373,1.96,1.463,1.134,1.507,2.696,2.672,2.03,1.432,1.33,1.344,2.718,1.725,2.234,1.068,1.702,1.742,2.094,0.882,0.507,1.51,1.94,1.532,2.986,0.725,1.506,1.652,1.875,2.659,2.264,2.083,0.932,0.876,1.267,1.62,1.772,1.563,2.686,1.562,1.523,1.286,1.411,1.031,0.969,2.897,2.354,NA,NA,NA,NA,0.809,2.439,2.168,0.606,0.618,1.533,0.512,1.919,1.546,1.584,0.22,1.473,0.948,0.612,0.658,1.375,1.071,0.516,0.445,2.1,2.074,1.64,0.289,3.746,0.193,0.634,1.099,0.962,1.695,0.711,0.763,1.3,2.644,0.3,0.417,0.533,1.027,1.831,1.023,2.577,2.087,0.31,3.467,3.285,0.846,0.877,1.486,3.264,1.205,1.572,1.758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,1.326,1.988,1.065,2.342,1.49,2.044,1.857,2.034,1.906,2.736,1.539,1.757,1.965,3.25,2.866,2.459,1.021,1.212,0.706,2.339,1.392,1.578,1.234,1.419,1.633,1.196,1.037,1.203,1.434,1.537,1.04,2.763,1.045,1.512,1.554,1.502,2.247,1.334,2.007,1.202,1.649,0.988,1.378,1.613,1.324,3.404,1.748,2.631,1.071,2.046,1.397,1.707,3.527,1.977,2.169,1.74,2.491,1.159,1.169,1.875,1.674,1.201,0.459,1.548,1.063,1.857,1.903,1.325,1.94,1.492,1.37,0.794,0.252,1.512,0.866,0.45,0.512,1.28,1.642,1.368,0.568,3.14,0.802,0.55,1.181,1.087,0.988,0.337,0.809,1.034,1.473,0.529,0.253,0.361,1.388,1.71,0.911,2.196,0.376,0.657,2.898,0.215,1.192,0.625,1.202,2.321,0.933,0.831,1.646,1.849,1.735,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,1.233,1.62,1.626,1.248,1.889,0.894,1.974,1.808,1.543,2.427,1.617,1.602,2.196,3.335,2.983,2.84,1.437,1.258,1.164,2.223,1.554,1.961,1.584,1.574,2.07,1.967,1.713,1.353,1.507,1.809,1.561,2.692,1.122,1.665,1.854,2.453,2.071,1.729,1.895,1.819,1.341,0.981,1.098,1.739,1.521,3.245,0.904,2.627,2.056,2.264,1.199,1.694,3.183,1.727,2.543,1.98,2.453,1.526,2.122,1.701,1.481,0.818,0.51,2.095,0.782,0.279,0.193,1.726,3.159,1.49,1.492,1.193,0.233,1.266,0.403,0.94,0.784,1.555,1.823,1.505,0.813,2.406,0.685,0.339,1.147,1.157,1.355,1.107,0.712,2.012,1.598,0.462,0.495,0.618,1.569,1.606,0.465,1.702,1.983,0.837,1.993,0.674,2.328,1.471,1.651,2.722,0.804,0.851,1.365,1.839,1.529,1.502,2.299,1.861,1.771,2.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,1.12,1.744,2.01,2.459,2.332,1.686,2.495,2.18,1.215,1.955,2.095,1.162,1.703,3.318,2.849,1.858,1.005,1.132,1.063,2.194,1.403,1.505,1.429,1.297,1.932,1.436,1.39,0.739,1.106,1.058,1.449,2.01,0.709,2.049,1.531,1.634,2.049,1.318,2.127,1.448,1.388,0.969,1.055,1.601,1.233,3.345,1.003,1.572,1.44,1.079,0.845,1.352,2.464,1.984,1.21,1.413,2.098,1.388,1.512,1.383,1.82,0.995,0.826,2.138,0.654,0.481,0.405,1.008,1.961,1.035,1.09,1.278,0.17,1.392,0.501,1.058,0.783,1.884,2.154,2.311,0.63,1.97,0.795,0.389,1.239,0.73,0.662,0.992,0.998,2.135,1.792,0.65,0.621,0.744,1.624,1.363,1.173,1.358,1.891,0.666,1.396,0.637,1.488,1.767,2.233,2.343,1.11,1.129,1.41,1.658,1.716,1.626,2.057,2.207,1.471,2.11,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,0.596,1.096,2.164,1.459,1.631,1.707,1.994,1.666,1.379,2.044,1.604,1.392,1.936,2.281,1.945,2.186,1.295,1.264,1.016,1.986,1.654,1.976,1.411,1.625,2.022,0.952,1.208,1.552,1.483,1.457,1.154,1.845,1.323,1.259,1.671,1.515,1.753,1.313,1.711,1.142,1.015,1.113,1.241,1.258,1.308,2.771,0.936,1.39,0.866,1.605,1.46,0.972,2.37,1.597,2.026,1.094,1.761,1.655,0.905,0.928,0.895,0.827,0.424,1.262,0.637,0.591,0.526,1.588,1.701,0.774,0.898,1.073,0.381,1.363,0.146,1.157,0.719,0.282,1,1.229,0.165,2.073,0.4,0.291,1.383,1.02,0.683,0.612,0.514,1.843,0.317,0.291,0.416,0.543,1.374,0.887,0.336,1.558,1.976,0.137,1.527,0.736,0.941,0.346,0.833,2.1,0.9,1.129,0.773,1.208,1.765,1.238,0.849,2.14,0.735,1.505,1.733,0.783,0.623,1.031,NA,NA,NA,NA,NA,NA,NA
1959,1.198,1.397,1.767,1.408,1.553,1.661,1.662,1.496,1.525,2.894,1.571,1.612,1.471,2.54,2.883,1.939,1.324,1.099,0.826,2.312,1.357,1.718,1.444,0.987,1.89,1.212,1.486,1.471,1.357,1.03,1.034,2.593,1.206,1.422,1.234,0.98,1.45,0.96,2.129,1.36,1.096,0.957,1.276,1.035,1.442,2.899,0.619,1.94,0.885,1.816,1.575,0.844,2.731,1.401,1.784,0.832,2.982,1.454,1.24,1.295,1.406,0.494,0.364,1.352,0.606,0.555,0.599,1.489,2.422,0.7,0.896,0.851,0.369,1.625,0.154,1.16,1.115,0.686,1.208,1.07,1.002,1.7,0.783,0.207,1.396,1.538,1.534,1.1,0.843,1.519,0.489,0.172,0.671,1.011,1.625,0.966,1.032,2.071,2.153,1.098,1.998,0.214,1.147,0.784,1.445,2.529,0.913,0.945,1.08,1.335,1.75,1.354,1.665,1.332,1.299,1.62,1.64,1.047,0.857,1.142,2.01,NA,NA,NA,NA,NA,NA
1960,1.532,1.77,1.567,2.049,1.456,1.263,2.047,1.705,1.891,2.212,1.753,1.821,1.759,2.506,2.702,2.088,1.438,1.215,0.87,2.585,1.534,1.672,1.247,1.548,1.998,1.243,1.805,1.813,1.491,1.349,0.843,2.201,1.698,1.159,1.452,1.507,1.56,1.169,2.557,1.668,0.941,0.826,1.099,1.468,1.354,3.48,0.652,1.734,1.133,1.782,0.974,0.978,2.933,1.321,1.776,0.986,3.048,1.532,1.513,1.009,0.74,0.149,0.604,1.705,0.408,0.35,0.4,1.387,2.466,1.643,0.24,0.619,0.314,1.534,0.784,1.503,1.248,0.891,1.427,1.464,1.65,0.902,1.693,0.824,1.739,1.247,1.254,1.604,1.458,2.025,1.013,0.162,0.802,1.053,1.748,1.064,1.286,2.02,2.279,1.481,1.835,0.545,1.118,1.067,1.762,2.663,1.179,1.65,1.124,1.412,1.883,2.043,1.681,2.064,2.078,2.186,2.073,0.247,0.917,1.976,2.271,1.65,2.082,NA,NA,NA,NA
1961,2.174,1.762,1.103,2.54,1.319,1.484,1.644,2.057,2.045,1.734,1.89,2.065,1.66,2.34,2.442,1.986,1.939,2.011,1.377,2.944,2.011,2.073,2.123,1.826,2.52,1.798,1.58,1.905,1.862,1.714,1.505,2.949,1.618,1.303,1.794,1.631,2.323,1.85,2.749,1.887,1.762,1.129,1.252,1.576,2.098,3.846,0.854,2.252,1.124,2.019,1.308,1.213,2.898,1.565,2.162,1.374,2.73,1.925,1.66,1.501,1.623,0.703,0.803,1.784,1.112,1.083,1.045,1.783,3.11,1.761,0.859,0.148,0.957,1.549,1.365,0.933,0.84,2.161,2.133,1.732,2.722,1.498,2.508,1.144,1.579,1.161,0.959,0.693,1.253,2.451,1.578,0.327,0.605,0.703,0.941,1.376,0.636,2.501,3.1,2.765,2.461,1.352,1.606,0.587,1.686,1.464,2.003,2.157,1.236,1.752,2.71,2.004,2.114,2.459,2.093,2.974,2.264,0.588,1.033,2.366,2.687,1.563,5.817,NA,NA,NA,NA
1962,1.842,1.65,1.355,1.299,1.494,0.965,1.201,1.974,2.349,2.077,2.05,2.357,1.658,2.82,2.729,2.513,1.19,1.047,0.738,2.56,1.132,1.25,1.157,0.954,1.246,1.185,1.927,1.727,0.981,1.142,1.121,2.786,1.766,0.978,0.942,0.835,1.22,1.151,3.242,1.783,1.322,0.476,0.707,0.72,1.736,4.065,1.011,1.663,1.376,2.257,0.961,1.088,3.59,0.895,1.831,1.076,3.731,1.079,1.435,1.657,1.416,1.14,0.462,1.166,1.18,1.373,1.538,0.691,1.631,1.347,1.152,0.688,1.686,1.524,0.711,1.174,1.088,2.293,1.59,1.372,2.107,1.256,2.077,0.925,1.051,1.063,1.218,1.087,0.752,1.185,1.974,0.859,0.659,0.649,1.08,0.877,1.135,1.809,2.019,2,0.992,1.937,1.169,1.367,1.28,1.451,1.596,1.611,0.865,2.359,1.474,2.017,1.699,1.01,1.428,1.201,1.321,1.164,1.093,1.322,1.481,0.885,3.661,2.964,NA,NA,NA
1963,1.159,0.963,1.131,1.505,1.122,1.274,0.765,1.768,2.217,1.423,1.655,1.682,1.004,3.179,3.304,1.558,1.607,1.143,1.042,2.804,1.233,1.593,1.214,1.268,1.458,1.1,1.931,1.477,1.667,1.295,1.251,2.687,2.079,1.406,1.327,1.234,1.391,0.914,2.787,1.642,1.178,0.962,0.918,1.5,0.652,3.112,1.08,1.658,1.24,2.291,0.845,1.148,2.875,1.554,2.074,1.124,1.107,1.43,1.273,0.456,0.357,1.177,0.335,0.223,1.187,1.848,1.234,0.251,0.365,0.713,1.084,1.029,1.278,0.828,0.547,1.103,0.769,2.007,1.001,0.833,0.539,0.693,0.669,0.383,1.212,1.924,1.226,1.166,0.99,1.704,1.942,1.382,0.846,1.022,1.247,0.893,1.285,0.458,0.487,0.431,0.362,1.714,1.209,1.654,1.473,0.258,0.353,0.676,0.888,1.411,0.238,1.398,1.316,1.291,0.74,0.614,0.329,2.038,0.937,1.345,0.352,0.575,1.313,0.997,NA,NA,NA
1964,1.244,1.369,1.211,1.192,1.413,1.155,1.16,3.22,2.318,1.751,1.734,2.094,1.873,2.714,2.639,2.063,2.348,1.798,1.646,3.16,2.148,2.148,1.948,1.494,1.956,1.801,2.141,2.304,2.259,2.041,1.934,2.465,2.045,1.891,1.772,2.069,2.087,1.943,3.475,1.782,1.159,1.484,1.719,2.123,2.573,3.122,0.997,2.085,1.157,2.243,0.892,1.503,3.664,2.188,2.114,1.39,2.96,2.36,1.79,0.097,0.168,1.169,0.686,0.829,1.408,0.871,0.82,0.107,0.167,1.748,0.945,1.18,0.673,0.27,0.342,1.451,1.089,1.63,1.908,1.473,0.168,0.34,0.316,0.202,1.674,1.372,1.364,1.187,1.666,2.131,1.059,1.137,0.809,0.977,1.739,1.481,1.487,0.14,0.111,0.167,0.089,0.495,1.9,1.765,2.161,0.14,0.147,0.169,1.452,0.301,0.087,2.086,2.078,2.083,1.468,1.738,1.677,1.358,1.43,2.26,0.118,1.632,0.637,0.35,0.57,NA,NA
1965,0.93,1.373,1.443,0.934,1.596,1.522,1.231,2.437,1.985,2.563,1.838,1.838,1.721,2.359,2.206,1.879,2.045,1.488,1.546,3.509,2.253,1.953,2.165,1.667,2.141,1.603,2.53,2.191,1.866,1.641,1.69,3.73,2.232,1.602,1.831,2.391,2.308,1.837,3.731,2.245,1.511,1.476,1.461,2.313,2.248,3.067,1.479,2.621,1.432,3.032,0.751,1.478,2.975,2.013,2.74,1.211,2.613,2.006,1.435,0.063,0.121,0.649,0.883,1.333,0.334,0.847,0.434,0.095,0.105,1.649,0.351,0.858,0.653,0.086,0.097,0.89,0.65,2.458,1.421,0.867,0.227,0.31,0.08,0.072,0.872,1.007,0.786,0.704,1.404,2.308,2.164,0.392,0.493,0.638,0.953,1.559,0.64,0.161,0.742,0.044,0.188,0.24,1.537,0.735,2.246,0.071,0.191,0.247,1.682,0.122,0.328,1.458,0.973,2.31,1.919,1.695,1.641,0.839,1.373,2.341,0.06,1.677,0.054,0.07,0.44,NA,NA
1966,1.726,1.877,2.018,2.14,1.884,2.109,1.814,2.686,2.934,2.826,1.988,2.496,1.883,2.438,2.389,2.036,1.678,1.446,1.039,3.473,1.701,1.22,1.825,1.208,1.735,1.113,2.463,1.927,1.409,1.405,1.294,3.318,2.547,1.303,1.289,1.297,1.488,1.365,3.94,2.107,1.745,0.847,0.851,1.639,1.771,2.801,1.534,2.655,2.204,1.96,0.906,1.739,2.92,1.929,2.319,1.577,2.566,1.504,1.232,0.086,0.064,0.105,0.526,1.021,0.091,0.244,0.082,0.435,0.444,1.14,0.139,0.358,0.505,0.252,0.142,0.976,0.705,2.256,1.487,1.003,0.111,0.34,0.201,0.272,0.908,1.419,0.728,0.958,1.12,1.624,1.919,0.391,0.504,0.704,0.124,0.759,0.971,1.081,1.151,0.151,0.75,0.114,1.206,1.048,1.529,0.429,0.174,0.204,1.019,0.422,1.037,2.217,1.571,1.761,1.616,1.019,0.892,0.254,0.978,1.327,0.381,1.486,0.066,0.328,0.897,NA,NA
1967,1.984,1.091,0.975,1.599,1.499,1.582,1.28,1.46,1.647,1.92,1.726,1.414,1.36,2.055,2.02,1.536,1.541,1.212,0.794,2.47,1.548,1.797,1.706,1.172,1.379,1.034,1.664,1.444,1.462,1.141,0.953,2.303,1.406,1.22,1.261,1.311,1.565,0.951,4.629,1.441,1.182,0.9,0.832,1.637,1.691,3.771,1.502,1.857,1.914,1.749,1.38,2.88,1.834,1.544,1.389,2.518,1.991,1.47,1.245,0.276,0.258,0.41,0.444,0.958,0.31,0.183,0.136,0.44,0.791,1.453,0.159,0.103,0.804,0.594,0.125,1.561,1.523,0.921,1.383,0.832,0.067,0.527,0.066,0.142,1.461,1.665,1.459,1.189,0.619,1.304,0.874,1.376,0.921,1.373,0.517,0.923,2.051,1.175,0.566,0.067,0.738,0.079,1.097,2.356,1.628,1.192,0.127,0.109,1.267,0.866,1.598,1.303,1.389,1.505,2.03,1.97,1.893,0.069,0.594,1.397,0.626,1.838,0.384,0.587,0.25,NA,NA
1968,1.925,1.203,1.253,1.51,1.353,1.214,1.586,1.195,1.905,1.408,1.385,1.477,1.235,2.121,2.147,0.851,1.613,1.364,0.905,2.2,1.836,1.411,1.82,1.22,1.498,1.62,1.455,1.127,1.475,1.103,1.391,2.344,0.957,1.008,1.394,1.434,1.388,1.734,3.022,1.577,1.039,0.91,1.152,1.784,1.915,2.296,1.017,1.81,1.446,1.562,1.024,2.669,1.857,1.271,1.57,2.27,1.721,1.629,1.548,0.427,0.382,0.764,0.745,1.28,0.686,0.193,0.26,0.195,0.257,1.551,0.271,0.061,1.23,0.087,0.116,1.38,1.158,1.924,1.88,1.372,0.07,0.134,0.053,0.111,1.461,1.2,1.506,0.913,1.282,1.471,1.532,0.921,1.107,1.27,0.785,1.487,1.583,0.213,0.211,0.071,0.141,0.031,1.289,1.682,2.267,0.259,0.463,0.558,1.286,0.136,0.367,0.879,0.97,2.145,1.895,2.334,2.172,0.113,0.924,2.089,0.126,1.933,0.472,0.218,0.754,0.714,1.93
1969,1.421,1.18,1.076,2.174,1.604,1.473,1.48,1.371,2.254,1.197,1.896,1.693,1.255,2.506,2.271,1.037,1.277,1.02,0.43,2.467,1.68,1.45,1.11,1.26,1.278,1.274,2.097,1.48,1.227,1.313,0.905,2.521,1.818,0.711,1.111,1.264,1.391,1.414,2.603,1.633,1.238,0.384,0.613,1.424,0.995,2.035,1.252,1.915,1.373,2.206,1.468,1.969,1.998,0.765,2.161,1.622,1.927,1.109,0.958,0.074,0.07,0.133,0.616,0.786,0.063,0.125,0.12,0.679,0.764,1.17,0.088,0.357,0.808,0.762,0.312,0.784,0.664,1.758,1.41,1.067,0.307,0.626,0.341,0.516,1.152,0.77,0.673,0.774,0.629,0.884,1.964,0.616,0.453,0.65,0.82,1.286,0.823,1.244,1.506,0.246,0.813,0.339,1.27,1.409,2.092,1.562,0.757,0.806,0.876,0.792,1.738,1.364,1.294,1.649,1.537,1.938,1.754,0.08,0.75,1.975,0.947,1.345,1.035,0.794,0.839,1.115,1.444
