"","WSPRU-AA-8-A","WSPRU-AA-8-B","WSPRU-AA-3-A","WSPRU-AA-4-A","WSPRU-AA-4-B","WSPRU-AA-5-B","WSPRU-AA-5-A","WSPRU-AA-6-B","WSPRU-AA-6-A","WSPRU-AA-7-A","WSPRU-AA-7-B","WSPRU-AA-9-B","WSPRU-AA-9-A","WSPRU-G-5-B","WSPRU-G-5-A","WSPRU-AA-3-B","WSPRU-AA-10-B","WSPRU-AA-10-A","WSPRU-G-1-A","WSPRU-G-1-B","WSPRU-AA-2-B","WSPRU-AA-2-A","WSPRU-ZZ-8-B","WSPRU-ZZ-8-A","WSPRU-AA-1-A","WSPRU-AA-1-B","WSPRU-ZZ-4-B","WSPRU-ZZ-4-A","WSPRU-ZZ-9-A","WSPRU-ZZ-1-A","WSPRU-ZZ-1-B","WSPRU-ZZ-2-A","WSPRU-ZZ-2-B","WSPRU-ZZ-10-B","WSPRU-ZZ-10-A","WSPRU-G-3-A","WSPRU-G-3-B","WSPRU-ZZ-7-A","WSPRU-ZZ-7-B","WSPRU-ZZ-9-B","WSPRU-G-2-A","WSPRU-G-2-B","WSPRU-G-9-B","WSPRU-G-12-A","WSPRU-ZZ-3-B","WSPRU-ZZ-3-A","WSPRU-ZZ-6-A","WSPRU-ZZ-6-B","WSPRU-G-12-B","WSPRU-ZZ-5-A","WSPRU-ZZ-5-B","WSPRU-G-11-B","WSPRU-G-7-B","WSPRU-G-11-A","WSPRU-G-8-B","WSPRU-G-7-A","WSPRU-G-9-A","WSPRU-G-10-A","WSPRU-G-10-B","WSPRU-G-8-A","WSPRU-G-6-B","WSPRU-G-6-A"
"1963",0.527,0.569,0.312,0.687,0.725,1.272,1.461,0.793,0.604,0.535,0.357,0.544,0.387,1.408,1.384,0.914,0.44,0.36,0.567,0.414,0.847,0.763,0.344,0.373,1.032,1.133,0.532,0.818,1.421,0.788,0.907,0.971,0.82,0.812,0.879,0.923,1.075,0.864,0.835,0.804,0.847,0.861,1.975,1.947,0.608,0.704,1.172,1.129,2.364,0.665,0.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",1.195,1.21,0.704,0.67,0.695,1.475,1.316,1.024,0.898,0.344,0.385,0.842,0.653,1.394,1.338,0.628,0.449,0.335,0.542,0.577,0.889,1.066,0.585,0.678,0.961,1.161,0.79,0.623,1.44,1.47,0.969,1.59,1.253,0.801,0.677,1.003,1.174,1.619,1.545,0.822,0.52,0.667,1.896,2.163,0.737,1.036,1.097,1.054,2.85,0.691,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1965",0.766,1.286,0.646,0.801,0.791,1.293,1.768,1.159,0.465,0.72,0.58,0.992,0.798,1.684,1.876,0.598,0.654,0.67,0.648,0.557,0.998,0.371,0.734,1.015,0.861,1.312,0.574,0.852,1.455,1.618,1.435,1.861,1.457,0.839,1.123,0.72,0.738,1.554,1.304,0.914,0.878,1.004,1.873,2.598,0.773,1.228,1.11,1.423,3.5,0.787,0.573,2.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1966",0.564,0.854,0.31,0.678,0.689,1.408,1.282,1.096,0.261,0.324,0.792,1.044,0.903,1.265,1.326,0.742,0.745,0.684,0.46,0.468,0.915,1.055,0.92,1.068,1.155,1.34,1.011,0.78,1.735,1.93,1.455,2.692,2.072,1.143,1.065,0.38,0.366,1.84,1.569,1.173,1.001,1.288,1.626,2.774,1.172,1.845,1.389,1.528,3.47,0.173,0.388,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1967",0.681,0.856,0.304,0.603,0.5,1.18,1.229,1.462,0.145,0.259,0.404,1.114,0.899,1.707,1.453,0.69,0.902,0.609,0.421,0.448,0.852,0.236,1.275,1.497,1.174,1.199,0.782,0.66,0.73,1.949,1.084,1.961,1.82,0.962,0.849,0.677,1.055,1.386,1.132,0.922,1.105,1.61,3.125,2.843,1.036,1.408,1.054,1.249,3.087,0.488,0.686,1.905,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1968",1.333,1.005,0.482,0.214,0.106,1.057,0.3,1.156,0.961,0.436,0.512,0.449,0.727,0.897,1.443,0.628,0.744,0.64,0.408,0.404,0.371,0.948,0.968,1.344,0.993,0.928,0.7,0.6,0.861,1.669,1.577,1.759,2.094,0.973,0.796,0.931,0.923,1.426,1.659,1.116,1.243,1.681,3.691,2.745,0.8,0.915,1.326,1.542,2.914,0.321,0.321,1.819,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1969",0.439,0.732,0.369,0.253,0.378,0.835,1.045,0.104,0.193,0.272,0.463,0.879,0.792,1.49,1.866,0.468,0.396,0.332,0.591,0.676,0.156,0.238,1.064,1.361,0.609,0.714,0.677,0.202,0.901,1.498,1.45,1.608,2.015,0.818,0.811,1.057,1.241,1.71,1.114,0.863,1.262,1.219,2.094,2.892,1.083,1.055,1.086,1.65,2.711,0.246,0.233,2.061,1.597,2.514,NA,NA,NA,NA,NA,NA,NA,NA
"1970",0.399,1.323,0.424,0.292,0.367,0.983,1.637,1.238,1.142,0.249,0.542,1.176,0.806,1.947,2.251,0.617,0.741,0.607,0.796,1.107,0.88,1.638,1.334,1.376,0.962,0.788,0.234,0.069,0.916,2.914,2.934,2.413,2.852,0.986,1.035,1.857,2.152,1.585,1.656,0.813,0.993,1.376,2.251,3.347,1.199,1.157,1.168,2.393,2.399,0.376,0.214,2.994,2.119,2.75,3.447,NA,NA,NA,NA,NA,NA,NA
"1971",0.667,1.527,0.758,0.305,0.373,1.171,1.779,0.304,1.381,0.134,0.316,0.369,0.331,2.035,3.28,0.726,0.911,0.708,0.307,0.443,0.324,1.073,0.898,1.083,1.221,1.091,0.061,0.353,1.297,3.553,3.022,2.942,2.924,0.713,1.256,2.497,2.814,1.243,1.476,0.95,1.967,1.733,2.471,3.805,0.985,0.946,1.122,1.466,3.609,0.53,0.25,1.702,1.766,2.903,2.667,2.412,4.42,NA,NA,NA,NA,NA
"1972",1.629,1.016,0.646,0.549,0.353,1.422,1.136,1.722,0.233,0.302,0.296,0.419,0.924,1.562,1.48,0.909,0.742,0.583,0.402,0.486,0.889,1.885,0.904,1.111,1.548,1.373,0.247,0.419,2.12,3.334,2.032,3.253,2.514,1.268,1.223,1.714,1.713,1.698,1.985,1.504,2.197,2.167,3.461,1.812,0.343,0.492,1.461,2.723,1.876,0.401,0.679,0.57,2.327,1.797,1.171,1.961,2.822,1.423,NA,NA,NA,NA
