"","WSPRU-AA-8-A","WSPRU-AA-8-B","WSPRU-AA-3-A","WSPRU-AA-4-A","WSPRU-AA-4-B","WSPRU-AA-5-B","WSPRU-AA-5-A","WSPRU-AA-6-B","WSPRU-AA-6-A","WSPRU-AA-7-A","WSPRU-AA-7-B","WSPRU-AA-9-B","WSPRU-AA-9-A","WSPRU-G-5-B","WSPRU-G-5-A","WSPRU-AA-3-B","WSPRU-AA-10-B","WSPRU-AA-10-A","WSPRU-G-1-A","WSPRU-G-1-B","WSPRU-AA-2-B","WSPRU-AA-2-A","WSPRU-ZZ-8-B","WSPRU-ZZ-8-A","WSPRU-AA-1-A","WSPRU-AA-1-B","WSPRU-ZZ-4-B","WSPRU-ZZ-4-A","WSPRU-ZZ-9-A","WSPRU-ZZ-1-A","WSPRU-ZZ-1-B","WSPRU-ZZ-2-A","WSPRU-ZZ-2-B","WSPRU-ZZ-10-B","WSPRU-ZZ-10-A","WSPRU-G-3-A","WSPRU-G-3-B","WSPRU-ZZ-7-A","WSPRU-ZZ-7-B","WSPRU-ZZ-9-B","WSPRU-G-2-A","WSPRU-G-2-B","WSPRU-G-9-B","WSPRU-G-12-A","WSPRU-ZZ-3-B","WSPRU-ZZ-3-A","WSPRU-ZZ-6-A","WSPRU-ZZ-6-B","WSPRU-G-12-B","WSPRU-ZZ-5-A","WSPRU-ZZ-5-B","WSPRU-G-11-B","WSPRU-G-7-B","WSPRU-G-11-A","WSPRU-G-8-B","WSPRU-G-7-A","WSPRU-G-9-A","WSPRU-G-10-A","WSPRU-G-10-B","WSPRU-G-8-A","WSPRU-G-6-B","WSPRU-G-6-A"
"1995",0.691,1.03,0.166,0.37,0.33,0.557,0.402,1.312,0.628,0.072,0.069,0.112,0.191,1.174,0.95,0.58,0.213,0.334,1.142,1.077,0.062,0.031,0.586,1.159,1.24,1.099,0.388,0.218,1.671,0.145,0.136,1.084,0.114,0.973,1.515,1.134,1.592,1.318,0.53,1.485,1.425,1.249,2.02,1.101,0.859,0.635,0.19,0.186,0.952,0.075,0.113,0.908,1.827,1.686,2.646,2.055,1.643,2.754,1.775,2.054,0.381,0.521
"1996",0.883,1.703,0.934,0.664,0.279,1.065,0.32,0.319,1.25,0.092,0.298,0.106,0.5,1.705,2.218,0.779,0.306,0.361,1.337,1.377,0.077,1.304,0.74,1.309,1.604,1.821,0.537,0.367,1.963,1.192,0.114,0.294,0.133,1.218,1.612,2.252,2.624,1.486,2.173,1.617,1.639,1.608,1.776,0.989,0.661,0.776,0.288,1.838,1.272,0.789,0.22,2.038,3.409,1.391,4.355,4.008,2.715,3.78,3.267,4.043,0.787,0.876
"1997",0.872,0.145,0.108,0.399,0.306,1.158,0.144,2.016,0.177,0.262,0.223,0.17,0.315,1.957,1.97,1.247,0.87,0.75,0.795,0.826,0.114,1.212,0.729,1.375,1.842,1.579,0.637,0.297,1.945,1.776,0.169,0.393,1.108,1.2,1.962,3.203,2.435,0.7,2.197,1.578,1.985,1.988,2.554,1.101,0.906,0.875,1.233,1.771,1.105,0.698,0.771,2.294,3.481,1.664,3.799,3.619,3.004,3.677,3.172,3.898,0.647,0.521
"1998",0.636,0.133,0.578,0.509,0.251,0.873,1.312,1.576,1.231,0.321,0.31,0.081,0.292,1.416,1.319,0.816,0.8,0.424,0.337,0.416,0.064,0.051,0.686,1.207,1.277,1.168,0.451,0.373,1.536,1.092,1.016,0.355,0.267,0.985,1.286,2.977,2.893,0.6,2.356,1.8,1.731,1.544,1.658,1.137,0.811,0.483,0.095,1.717,1.306,0.508,0.643,2.72,3.083,1.14,2.927,2.14,2.544,3.71,3.202,2.816,0.673,0.343
"1999",1.278,1.099,0.121,0.336,0.249,0.828,0.105,1.003,0.777,0.197,0.168,0.59,0.188,0.723,0.773,0.705,0.179,0.289,0.624,0.777,0.732,0.037,0.48,0.917,1.105,0.987,0.296,0.209,0.97,0.903,0.096,1.273,0.324,0.878,0.797,1.846,1.834,1.329,0.33,1.308,1.642,1.455,0.501,0.822,0.808,0.347,0.105,0.116,0.873,0.413,0.431,1.753,1.671,1.323,1.91,1.695,2.015,2.309,2.412,1.651,0.508,0.406
"2000",0.459,1.383,0.141,0.577,0.257,1.124,1.514,1.282,0.097,0.208,0.179,0.081,0.061,0.991,0.925,0.914,0.342,0.624,1.059,1.301,0.054,0.071,0.558,0.902,1.702,1.434,0.289,0.128,1.16,0.131,1.268,1.847,1.133,0.683,1.11,2.15,3.278,1.467,1.449,1.36,1.921,1.351,1.059,0.643,0.823,0.684,1.532,0.185,1.032,0.436,0.515,2.54,2.618,1.189,3.556,3.29,2.61,3.166,3.664,3.118,0.584,0.317
"2001",0.313,0.213,0.806,0.319,0.26,0.921,0.066,0.297,0.714,0.156,0.217,0.102,0.336,0.758,1.08,0.699,0.165,0.437,0.895,1.007,0.554,0.04,0.361,1.06,1.343,1.056,0.179,0.221,1.523,0.078,0.065,1.3,0.223,0.554,1.557,2.125,2.776,0.394,1.229,1.903,1.583,1.162,2.041,0.521,0.66,0.254,1.828,1.522,0.61,0.429,0.288,2.253,3.763,1.073,3.347,2.954,2.148,3.335,2.974,2.877,0.697,0.851
"2002",0.197,1.134,0.972,0.344,0.312,0.664,1.02,0.22,0.752,0.128,0.107,0.064,0.229,0.233,0.211,0.611,0.562,0.302,0.2,0.307,0.034,0.046,0.329,0.877,1.314,0.726,0.124,0.103,1.091,0.104,0.065,0.135,0.134,0.489,0.886,0.622,0.668,1.181,1.017,1.672,0.708,0.444,2.116,0.243,0.239,0.223,0.154,1.046,0.256,0.32,0.144,0.783,1.103,1.102,0.939,2.647,0.69,1.112,1.085,0.888,0.379,0.356
"2003",1.38,0.172,1.194,0.271,0.353,0.735,1.014,1.778,0.057,0.214,0.199,0.061,0.103,1.043,0.758,0.74,0.59,0.207,1.286,1.39,0.553,0.845,0.638,1.072,2.009,1.013,0.299,0.09,1.853,1.139,0.045,1.048,1.013,1.009,1.517,1.838,1.959,1.72,0.259,2.482,1.951,1.393,2.047,0.465,0.828,0.608,1.904,0.126,0.542,0.485,0.26,1.686,2.299,1.438,2.078,3.797,1.284,2.255,2.833,1.807,0.846,1.027
"2004",1.586,1.411,1.119,0.545,0.356,1.206,0.058,1.404,1.03,0.131,0.177,0.776,0.382,1.314,0.899,1.087,0.503,0.154,0.779,0.836,0.49,1.28,0.476,0.941,1.708,0.86,0.346,0.112,1.422,0.916,0.093,0.153,0.935,0.936,1.656,1.707,2.072,0.36,0.195,1.974,1.343,1.034,1.516,0.669,0.773,0.509,1.65,0.116,0.344,0.568,0.327,2.081,2.556,1.066,3.725,3.378,2.205,2.212,1.831,2.771,0.959,0.761
"2005",0.08,1.546,1.244,0.749,0.427,0.605,0.052,1.374,0.05,0.279,0.203,0.116,0.48,1.723,1.189,1.232,0.355,0.389,1.129,1.169,0.047,0.026,0.487,1.033,2.213,0.895,0.526,0.344,1.746,0.092,1.546,1.508,0.188,0.78,1.629,2.368,2.87,0.548,0.329,2.025,1.617,1.309,1.635,0.685,0.082,0.653,2.092,2.443,0.435,0.804,0.459,2.336,2.821,1.165,4.061,2.82,2.342,2.916,2.445,3.484,1.336,1.175
"2006",1.496,1.371,1.581,0.279,0.616,0.796,0.118,0.101,1.073,0.314,0.201,0.855,0.53,1.58,0.892,0.872,0.562,0.489,0.919,0.96,0.471,1.444,0.536,1.198,2.198,1.194,0.378,0.325,1.672,1.82,0.073,0.215,1.538,1.048,1.423,2.014,2.941,0.343,2.28,1.883,1.198,1.283,1.029,0.436,1.05,0.1,1.54,2.202,0.355,0.925,0.512,1.918,2.334,1.443,2.885,2.263,2.161,2.362,1.988,2.77,1.076,1.088
"2007",1.375,1.285,1.421,0.743,0.356,0.934,0.057,0.073,0.053,0.395,0.317,0.929,0.11,1.211,0.608,1.02,0.565,0.222,0.911,0.652,0.692,1.257,0.63,1.251,2.318,1.304,0.47,0.363,1.55,0.068,0.062,1.729,0.467,1.444,1.46,1.687,2.577,0.277,2.422,1.865,1.488,1.309,0.467,0.561,1.07,1.01,1.875,2.844,0.408,1.069,0.718,1.532,1.988,1.283,1.991,3.333,1.782,3.226,2.217,1.858,1.841,1.315
"2008",1.531,1.651,0.077,0.212,0.416,0.974,0.966,1.776,1.2,0.346,0.152,0.841,0.569,NA,NA,1.235,0.649,0.418,NA,NA,0.024,1.322,0.439,0.874,2.428,1.169,0.296,0.274,1.505,1.617,1.387,0.071,0.199,1.094,1.184,NA,NA,2.497,2.128,1.575,NA,NA,0.706,0.563,0.883,0.93,1.486,2.132,0.321,0.813,0.561,1.609,2.018,1.19,2.507,2.582,2.73,2.561,2.113,2.103,NA,NA
"2009",1.431,1.385,0.926,0.335,0.495,1.082,0.815,0.054,0.919,0.631,0.31,0.662,0.44,NA,NA,1.006,1.007,0.326,NA,NA,0.032,1.078,0.408,0.858,1.96,1.245,0.358,0.342,1.178,0.02,1.366,0.053,1.758,0.902,1.065,NA,NA,2.082,1.868,1.592,NA,NA,0.42,0.884,0.759,0.944,1.499,1.773,0.264,0.653,0.566,1.015,1.658,NA,1.878,2.654,1.34,1.556,1.426,1.811,NA,NA
"2010",0.994,0.899,0.035,0.34,0.401,0.969,0.872,0.036,0.461,0.523,0.246,0.888,0.315,NA,NA,1.018,0.224,0.276,NA,NA,0.677,0.433,0.432,0.691,1.832,1.085,0.444,0.443,1.436,1.274,1.551,1.983,1.724,0.727,1.347,NA,NA,2.155,2.696,1.905,NA,NA,0.93,NA,0.63,0.861,1.294,1.807,0.272,0.713,0.577,1.271,1.613,NA,2.059,NA,2.2,1.982,1.972,1.781,NA,NA
