"","ASPEN-BB-15-B","ASPEN-BB-9-B","ASPEN-BB-18-B","ASPEN-BB-14-B","ASPEN-BB-13-B","ASPEN-BB-10-A","ASPEN-BB-15-A","ASPEN-BB-17-A","ASPEN-BB-17-B","ASPEN-BB-18-A","ASPEN-BB-9-A","ASPEN-BB-11-A","ASPEN-BB-16-B","ASPEN-BB-11-B","ASPEN-BB-12-A","ASPEN-BB-12-B","ASPEN-BB-14-A","ASPEN-BB-10-B","ASPEN-BB-13-A","ASPEN-FF-3-B","ASPEN-FF-14-B","ASPEN-FF-2-A","ASPEN-FF-8-B","ASPEN-FF-4-A","ASPEN-FF-4-B","ASPEN-FF-13-A","ASPEN-FF-14-A","ASPEN-FF-20-A","ASPEN-FF-2-B","ASPEN-FF-3-A","ASPEN-FF-8-A","ASPEN-FF-5-B","ASPEN-FF-1-A","ASPEN-FF-1-B","ASPEN-FF-13-B","ASPEN-FF-16-A","ASPEN-FF-17-A","ASPEN-FF-6-A","ASPEN-FF-6-B","ASPEN-FF-19-A","ASPEN-FF-7-A","ASPEN-FF-7-B","ASPEN-FF-15-B","ASPEN-FF-18-B","ASPEN-FF-5-A","ASPEN-FF-17-B","ASPEN-FF-19-B","ASPEN-FF-20-B","ASPEN-FF-18-A","ASPEN-FF-15-A","ASPEN-FF-12-A","ASPEN-FF-12-B","ASPEN-FF-16-B","ASPEN-FF-11-A","ASPEN-FF-11-B"
"1945",2.474,1.743,1.265,2.221,1.973,1.893,2.299,2.957,2.994,1.28,1.123,2.59,2.192,3.446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",2.404,1.497,1.675,2.037,2.104,1.608,2.504,2.83,3.158,1.329,1.699,2.553,2.45,3.632,2.28,1.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",2.668,1.772,1.805,2.426,2.211,1.777,2.523,3.357,2.764,1.635,1.315,2.967,2.55,3.795,2.29,1.908,2.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",2.716,1.601,2.105,2.735,2.735,1.599,2.983,3.276,2.423,1.822,1.524,3.948,2.563,3.735,2.212,1.884,2.829,2.249,1.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",2.194,1.587,2.061,2.154,2.047,2.244,2.268,2.627,2.513,1.265,1.444,1.995,2.572,2.413,1.938,1.397,2.291,2.323,1.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",2.539,1.612,2.612,2.496,2.385,1.897,2.917,3.382,2.529,1.644,1.397,2.717,2.608,3.13,2.326,2.13,2.792,1.859,2.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",2.086,2.195,1.954,2.351,2.252,2.123,1.86,2.555,2.237,1.385,1.561,2.423,2.246,2.597,2.361,1.763,2.733,2.07,2.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",3.52,2.627,3.52,3.126,2.736,2.341,3.023,3.421,3.791,2.444,1.733,3.001,2.957,3.736,3.5,3.114,3.556,2.838,2.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",2.887,1.744,2.4,2.545,2.362,2.056,3.031,3.233,3.151,2.804,2.691,2.098,2.866,3.381,2.826,2.237,3.078,2.07,3.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",2.88,1.807,2.617,2.692,2.857,1.682,3.393,3.558,3.259,2.838,1.938,2.408,3.271,3.136,3.495,2.322,3.491,2.416,2.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",2.637,2.028,2.259,2.596,2.312,2.179,3.366,2.773,3.138,2.801,1.642,2.437,2.361,3.356,3.352,2.277,3.085,2.666,2.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",2.351,1.587,2.853,2.793,2.481,2.187,3.626,2.66,2.76,2.395,2.177,2.727,2.841,3.16,3.606,2.168,3.395,2.545,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",2.16,1.802,3.174,2.55,2.025,2.388,3.157,2.803,2.714,2.946,1.717,2.479,2.552,3.213,3.372,2.689,3.353,2.368,4.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",2.007,1.416,2.816,1.983,2.038,1.653,2.457,2.285,2.364,2.12,1.861,2.761,1.608,2.291,3.581,1.91,2.953,1.705,1.827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",1.249,1.251,2.011,1.825,1.865,1.508,1.708,1.909,2.018,1.457,1.491,2.205,1.648,2.192,3.221,1.728,2.758,1.686,1.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
