"","ASPEN-BB-15-B","ASPEN-BB-9-B","ASPEN-BB-18-B","ASPEN-BB-14-B","ASPEN-BB-13-B","ASPEN-BB-10-A","ASPEN-BB-15-A","ASPEN-BB-17-A","ASPEN-BB-17-B","ASPEN-BB-18-A","ASPEN-BB-9-A","ASPEN-BB-11-A","ASPEN-BB-16-B","ASPEN-BB-11-B","ASPEN-BB-12-A","ASPEN-BB-12-B","ASPEN-BB-14-A","ASPEN-BB-10-B","ASPEN-BB-13-A","ASPEN-FF-3-B","ASPEN-FF-14-B","ASPEN-FF-2-A","ASPEN-FF-8-B","ASPEN-FF-4-A","ASPEN-FF-4-B","ASPEN-FF-13-A","ASPEN-FF-14-A","ASPEN-FF-20-A","ASPEN-FF-2-B","ASPEN-FF-3-A","ASPEN-FF-8-A","ASPEN-FF-5-B","ASPEN-FF-1-A","ASPEN-FF-1-B","ASPEN-FF-13-B","ASPEN-FF-16-A","ASPEN-FF-17-A","ASPEN-FF-6-A","ASPEN-FF-6-B","ASPEN-FF-19-A","ASPEN-FF-7-A","ASPEN-FF-7-B","ASPEN-FF-15-B","ASPEN-FF-18-B","ASPEN-FF-5-A","ASPEN-FF-17-B","ASPEN-FF-19-B","ASPEN-FF-20-B","ASPEN-FF-18-A","ASPEN-FF-15-A","ASPEN-FF-12-A","ASPEN-FF-12-B","ASPEN-FF-16-B","ASPEN-FF-11-A","ASPEN-FF-11-B"
"1987",1.11,1.838,1.701,1.712,0.975,3.096,0.825,1.111,0.91,2.354,2.513,1.281,0.918,2.255,1.446,2.345,1.688,1.418,1.174,1.093,2.696,1.692,2.173,0.824,0.591,0.843,2.729,3.403,1.479,0.819,2.803,0.812,1.447,1.814,0.715,3.24,1.995,1.261,1.067,2.174,1.631,1.232,1.439,1.889,0.901,1.825,1.726,2.819,1.636,1.387,2.858,2.547,2.953,2.216,NA
"1988",1.283,2.2,2.261,2.278,2.06,2.322,1.303,2.066,1.717,2.05,2.418,1.998,1.796,2.163,1.916,1.639,2.502,2.628,2.198,2.088,4.693,2.141,4.241,1.093,0.722,1.986,4.279,4.54,1.892,1.202,4.155,1.099,2.188,2.183,1.812,5.265,3.764,3.43,2.527,4.213,2.153,1.586,1.966,3.331,1.628,1.752,4.215,5.42,3.265,2.217,2.638,4.037,4.527,2.653,NA
"1989",0.998,1.702,1.136,1.903,0.922,1.789,1.24,1.7,1.072,1.671,2.146,1.451,0.97,1.36,2.839,2.616,2.205,1.735,1.82,1.51,3.436,1.372,2.586,1.051,0.608,1.845,3.131,3.328,1.677,0.676,3.65,0.843,1.777,1.509,1.524,3.57,2.725,1.665,1.331,3.112,1.912,1.289,1.525,2.529,1.251,1.628,3.49,3.844,2.037,2.022,3.867,3.074,3.168,2.496,NA
"1990",1.298,1.332,1.836,1.453,1.243,1.843,1.226,1.21,1.231,1.755,2.023,1.605,0.896,1.585,1.867,1.836,2.388,1.551,2.145,1.916,2.897,1.81,2.679,1.186,0.684,2.463,3.632,3.699,2.166,0.8,3.693,1.32,1.862,1.981,2.334,4.015,2.249,1.494,1.567,2.582,2.384,2.013,1.857,2.44,1.521,3.306,3.357,3.486,1.949,1.863,2.66,3.089,2.364,2.829,NA
"1991",1.797,1.826,1.682,1.659,1.338,1.205,1.389,1.163,1.067,1.153,1.172,1.63,1.505,1.289,2.078,2.001,2.332,2.073,2.352,2.617,3.611,1.612,2.904,1.503,0.674,2.06,3.735,3.794,1.883,1.438,4.006,1.36,1.757,1.947,2.266,3.135,2.408,1.981,1.533,2.39,2.153,1.697,1.713,1.804,1.38,1.592,3.378,3.263,2.129,1.737,3.293,2.991,1.771,2.982,NA
"1992",0.935,1.219,1.261,1.009,0.746,1.578,0.754,0.708,0.694,1.104,1.249,0.916,1.425,1.381,1.332,2.528,2.301,1.24,1.467,0.766,2.376,0.365,1.026,1.317,0.646,0.44,1.662,3.129,1.05,0.469,2.641,0.461,1.368,1.055,0.469,3.141,1.642,0.404,0.827,1.784,0.49,0.422,0.418,0.342,0.788,2.533,1.775,2.516,0.917,1.036,3.679,0.27,1.781,0.736,3.416
"1993",1.215,1.549,1.202,1.61,1.428,1.412,1.346,1.262,0.74,1.217,1.217,1.462,1.594,1.126,1.63,1.303,2.016,1.268,1.663,2.076,3.897,1.12,2.079,1.828,1.272,2.89,4.006,3.14,1.673,1.331,3.382,0.873,1.455,1.659,2.382,3.143,2.754,1.441,2.046,2.763,1.4,0.91,1.791,2.182,1.177,1.761,3.278,3.05,2.166,2.521,0.902,3.32,3.324,3.219,3.035
"1994",0.958,1.792,0.535,1.202,0.75,1.204,0.687,0.705,0.838,0.742,1.149,1.28,1.288,0.869,2.187,1.653,1.77,0.971,1.655,1.102,4.866,1.704,2.635,2.416,1.523,2.604,4.425,4.374,1.937,0.69,3.955,1.591,1.518,1.681,1.803,3.548,3.077,1.128,1.676,3.1,2.288,1.097,1.859,1.975,2.004,0.641,3.266,3.848,2.901,2.313,3.811,3.28,3.791,2.328,1.303
"1995",0.548,0.963,0.855,0.807,0.7,1.896,0.868,0.796,0.547,1.463,1.437,0.835,0.926,0.791,1.499,1.107,1.564,1.056,0.838,1.318,2.199,0.578,1.248,0.958,0.644,0.959,2.679,2.401,0.658,0.704,1.958,1.145,0.567,0.613,1.052,2.062,0.933,0.853,1.038,1.588,1.174,0.513,0.917,0.914,1.078,2.198,2.207,1.794,0.86,1.301,5.059,2.136,1.359,1.39,2.478
"1996",0.838,1.113,1.301,0.975,0.571,2.48,0.713,0.63,0.559,2.183,1.636,0.989,1.677,1.39,1.443,0.987,1.905,1.315,1.201,0.918,2.497,0.247,1.057,1.969,1.372,1.653,2.682,2.524,0.97,0.458,1.966,0.869,0.274,0.726,1.029,2.733,2.316,1.219,0.848,1.936,0.968,1.006,0.687,1.265,1.141,2.149,3.164,2.032,1.594,1.24,2.126,3.286,2.413,1.662,3.369
"1997",1.3,1.703,1.683,1.725,0.6,2.178,0.939,1.083,1.171,1.189,2.58,1.31,1.713,1.787,2.046,1.536,1.638,2.21,0.851,1.024,4.279,1.009,3.059,2.604,1.327,3.451,4.599,4.582,1.825,0.335,3.87,1.762,1.909,2.112,2.683,4.61,2.399,1.938,2.168,3.57,1.855,1.793,2.062,1.545,1.799,0.959,4.328,3.717,2.337,3.021,3.135,4.094,5.027,2.512,2.474
"1998",1.138,2.456,2.232,1.497,1.007,1.202,0.997,1.524,1.22,1.358,1.203,1.85,1.46,0.605,1.695,2.255,1.359,3.136,1.62,1.137,3.467,1.064,2.497,1.302,0.709,2.098,3.963,4.197,1.172,0.744,3.326,2.129,1.366,2.052,1.955,3.735,2.479,1.492,1.458,3.558,2.098,1.514,1.922,2.273,2.217,1.032,3.643,3.817,2.376,2.432,5.377,2.975,3.363,2.276,0.672
"1999",0.605,1.067,0.901,0.611,0.398,1.81,0.672,0.62,0.559,1.266,2.323,0.924,0.809,0.801,1.18,2.17,0.688,1.232,0.645,0.571,1.326,0.475,0.871,0.659,0.585,0.415,1.772,1.775,0.659,0.281,0.882,1.37,0.404,0.695,0.583,1.356,0.686,0.406,0.749,1.595,1.427,0.632,0.701,0.798,0.585,1.838,1.9,1.381,1.008,1.136,2.975,1.494,1.733,0.903,2.352
"2000",0.459,1.207,0.918,0.475,0.706,1.65,0.739,1.081,0.994,0.748,0.99,0.564,0.697,0.767,1.287,0.704,0.831,1.561,0.959,1.11,2.328,0.922,1.428,1.761,0.471,1.177,2.477,1.333,1.142,0.572,2.173,1.606,0.257,1.404,0.611,1.534,1.206,0.9,1.244,2.263,1.613,1.208,1.712,0.635,1.327,3.308,2.91,2.039,0.983,1.823,1.604,2.709,2.416,2.018,3.572
"2001",0.606,1.214,1.099,0.498,0.49,0.951,0.71,0.769,0.598,0.7,0.99,1.159,0.753,0.641,1.74,0.917,0.854,1.251,1.1,1.507,3.915,1.816,4.225,2.129,0.608,2.587,4.138,2.096,2.326,0.906,4.857,2.407,1.063,2.988,1.355,3.554,2.209,1.761,1.882,2.862,1.731,2.391,1.61,1.574,2.691,2.166,1.564,2.84,2.45,3.821,2.643,3.288,4.373,2.659,1.806
"2002",0.401,0.659,0.722,0.522,0.56,1.107,0.48,0.828,0.562,0.824,0.982,1.193,0.535,0.413,0.902,1.18,0.68,1.042,0.752,0.583,2.453,0.332,1.683,0.559,0.284,0.812,1.961,1.595,0.692,0.353,2.196,1.394,0.503,0.726,0.521,2.427,0.974,0.382,0.554,1.024,0.608,0.88,1.346,0.72,1.235,1.379,1.557,1.649,0.678,1.542,3.657,1.353,1.591,1.25,2.162
"2003",0.666,0.66,0.386,0.517,0.34,0.578,0.396,0.766,0.345,0.68,1.236,0.741,0.359,0.623,0.931,0.941,0.57,0.763,0.332,1.143,4.546,0.713,3.535,1.248,0.73,3.128,5.327,3.328,2.038,0.942,4.863,2.514,1.281,1.842,1.722,5.206,2.706,1.382,0.804,3.042,2.496,1.742,2.743,1.21,2.623,2.447,3.215,2.837,1.478,3.914,5.564,3.923,4.408,1.801,1.001
"2004",0.623,0.581,0.785,0.518,0.461,0.705,0.637,0.712,0.385,1.038,1.009,0.822,0.473,0.7,0.844,0.418,0.724,1.048,0.716,0.522,3.838,0.815,2.292,0.961,0.696,1.678,4.226,3.504,1.373,0.32,3.769,2.218,0.69,1.233,0.987,4.75,2.676,0.704,0.899,2.641,1.698,1.633,2.131,1.785,2.693,1.907,2.545,2.489,1.313,3.427,3.586,2.822,3.357,2.723,2.555
"2005",0.682,0.748,0.718,0.648,0.592,1.381,0.649,1.153,0.359,0.545,2.09,1.261,0.492,0.972,0.849,0.842,0.68,1.031,0.718,0.755,3.355,0.556,3.198,1.198,0.556,2.086,3.313,3.574,1.437,0.583,4.944,1.613,0.725,1.727,0.894,4.574,2.103,0.703,0.434,3.439,2.795,2.219,1.926,1.18,1.617,2.057,3.063,2.354,1.637,2.952,3.744,2.826,3.138,3.102,2.766
"2006",1.159,1.06,1.231,1.294,0.539,0.844,1.288,1.708,0.997,1.729,2.102,1.346,0.862,0.959,1.894,0.844,1.088,1.861,1.58,0.587,3.812,0.603,3.306,1.977,0.829,2.529,2.74,4.849,1.795,0.552,5.398,1.206,0.864,2.492,0.802,4.12,3.269,1.85,0.919,2.58,3.454,2.93,1.929,1.311,1.382,3.166,3.707,2.455,1.81,3.285,4.093,3.373,4.299,3.066,2.88
"2007",1.06,0.753,0.731,0.874,0.564,1.325,1.727,1.444,0.861,0.52,1.384,0.898,0.574,0.593,1.188,2.08,1.231,1.335,1.368,0.473,4.069,0.341,3.367,1.402,0.236,1.551,2.803,5.235,0.745,0.586,4.159,1.236,0.513,1.355,0.878,4.256,3.369,0.981,0.629,3.448,2.183,2.002,1.642,1.652,1.601,2.034,4.303,3.597,1.666,3.862,4.205,4.133,3.502,2.67,3.174
"2008",0.935,0.845,0.909,1.074,0.856,0.886,1.311,0.929,0.828,0.881,0.667,0.774,0.812,0.865,1.132,1.524,1.815,1.984,0.818,1.294,4.149,0.589,3.037,1.908,1.044,2.118,3.269,4.671,1.115,0.877,5.432,2.425,0.723,1.393,1.466,4.274,3.474,1.324,0.347,3.195,3.029,2.569,2.573,2.582,3.035,2.863,4.715,3.294,2.542,4.694,4.392,4.933,3.829,4.03,3.638
"2009",0.827,0.806,0.878,0.794,0.409,0.928,0.874,1.324,0.675,1.232,NA,0.712,0.578,0.917,0.923,1.603,1.424,1.915,0.91,0.363,3.386,0.705,1.976,1.074,0.86,1.362,3.038,3.751,1.222,0.687,3.994,2.05,0.899,1.879,1.144,3.19,2.721,0.52,0.716,2.568,2.666,2.173,2.055,2.299,1.89,2.289,3.689,2.658,2.575,3.547,3.601,3.853,3.134,3.31,2.86
"2010",0.736,0.764,0.875,0.63,0.573,NA,0.616,0.922,0.561,1.104,NA,NA,0.621,NA,0.757,1.537,0.992,1.249,0.571,0.563,2.708,0.288,1.48,0.501,0.348,0.671,2.405,1.966,0.479,0.277,2.569,1.578,0.352,0.611,0.59,2.071,1.935,0.385,0.711,1.349,1.686,1.323,0.934,0.87,1.252,1.059,2.071,1.649,1.082,2.134,1.946,1.711,1.601,1.192,1.69
"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
