"","ASPEN-E-1-A","ASPEN-E-1-B","ASPEN-E-2-A","ASPEN-E-4-B","ASPEN-E-3-A","ASPEN-E-3-B","ASPEN-E-7-A","ASPEN-E-8-B","ASPEN-E-4-A","ASPEN-E-6-A","ASPEN-E-7-B","ASPEN-E-5-A","ASPEN-E-5-B","ASPEN-E-2-B","ASPEN-E-8-A","ASPEN-C-7-B","ASPEN-C-8-B","ASPEN-C-7-A","ASPEN-C-1-B","ASPEN-C-3-A","ASPEN-C-5-A","ASPEN-C-4-A","ASPEN-C-5-B","ASPEN-C-6-A","ASPEN-C-1-A","ASPEN-C-4-B","ASPEN-C-6-B","ASPEN-C-2-B","ASPEN-C-3-B","ASPEN-C-2-A","ASPEN-C-8-A"
"1973",1.445,2.018,1.701,1.897,2.087,1.962,1.92,2.043,1.726,1.948,1.809,1.688,1.547,1.706,2.206,1.412,1.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1974",1.559,1.583,1.717,2.253,1.938,2.124,2.223,2.323,1.818,1.562,1.831,1.731,1.363,1.811,2.363,1.717,1.606,1.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1975",1.424,1.451,1.959,2.168,2.518,2.5,2.212,2.322,2.279,1.601,1.981,1.879,2.256,1.923,2.824,1.375,2.314,1.29,1.319,2.549,1.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1976",1.424,1.808,1.642,1.894,1.987,1.921,2.176,2.299,2.087,1.702,2.007,1.799,2.313,1.449,2.847,1.144,0.484,0.869,4.019,2.467,1.547,2.171,1.273,2.54,NA,NA,NA,NA,NA,NA,NA
"1977",0.914,1.735,1.987,1.713,2.124,2.281,2.037,2.6,2.24,1.983,2.003,2.153,2.125,1.561,2.785,0.244,1.381,0.651,3.55,2.19,1.482,2.315,1.416,0.259,3.361,2.054,NA,NA,NA,NA,NA
"1978",1.063,1.754,1.62,1.878,1.971,1.891,1.422,1.768,0.596,1.409,1.703,1.604,1.215,1.846,2.157,0.323,3.387,0.246,3.94,1.879,1.045,1.704,1.056,0.215,3.731,1.597,2.056,NA,NA,NA,NA
"1979",1.008,1.704,1.257,0.539,0.73,0.546,0.512,0.982,0.116,0.435,1.434,0.641,0.498,1.04,1.024,0.462,1.686,0.507,2.209,1.254,0.998,1.632,0.763,1.358,2.354,1.326,1.722,2.376,1.823,NA,NA
"1980",0.813,1.395,1.292,0.115,0.573,0.134,0.111,0.447,0.148,0.111,0.704,0.215,0.101,1.208,0.531,0.962,0.686,0.915,3.245,3.13,1.916,1.638,2.293,2.115,2.963,1.351,1.988,2.915,2.751,NA,NA
"1981",1.25,1.434,1.728,0.567,0.902,0.675,1.984,1.201,0.722,1.023,2.35,0.902,0.193,1.292,0.674,0.37,0.551,0.725,1.553,1.441,2,2.691,2.134,1.247,1.494,1.971,1.158,1.983,1.772,3.194,3.746
"1982",0.786,1.562,1.291,0.609,1.391,1.195,1.277,1.25,0.786,0.689,1.42,0.657,0.158,1.151,0.289,1.443,2.246,2.005,1.501,1.591,1.987,1.833,1.722,2.558,2.048,1.865,2.164,2.057,1.659,2.923,2.924
"1983",0.901,1.863,2.295,1.495,0.437,0.247,2.082,0.966,1.372,1.323,1.706,1.898,0.698,1.638,1.16,2.072,4.625,1.225,2.945,3.423,3.679,1.192,3.372,2.515,3.124,1.392,1.822,3.655,3.257,4.747,4.782
"1984",1.768,1.747,2,1.198,1.176,1.205,2.323,1.058,0.957,0.875,1.598,1.944,0.158,1.946,1.344,3.181,4.323,2.845,3.232,2.643,2.89,2.925,2.306,3.275,2.935,3.685,2.421,2.788,2.992,3.568,4.398
"1985",1.437,1.545,1.961,1.333,1.475,1.313,1.594,1.7,1.368,1.04,1.422,2.262,0.81,1.865,1.441,4.145,4.973,3.999,3.044,3.894,4.308,3.296,3.594,3.187,2.932,2.983,2.934,3.616,3.655,4.214,5.192
"1986",1.687,2.13,2.13,1.833,2.426,2.951,1.487,0.727,1.144,2.935,1.737,0.622,1.039,2.345,1.053,3.939,5.794,3.957,3.06,4.364,4.094,3.729,3.196,1.982,3.081,3.513,2.269,2.984,3.495,4.381,6.119
"1987",1.908,2.204,1.197,1.905,1.865,0.835,0.879,0.764,1.33,0.691,1.007,0.079,1.481,1.894,1.037,0.927,5.176,1.308,1.045,4.35,3.474,3.032,3.019,0.387,1.095,3.643,0.701,0.845,2.874,1.138,4.259
"1988",1.584,1.364,0.145,0.323,1.05,0.273,0.215,0.424,0.45,0.239,0.205,0.75,2.065,0.375,0.276,0.795,0.98,0.84,0.072,0.642,1.518,2.297,0.924,0.266,0.351,3.058,0.25,0.499,0.19,0.472,1.336
"1989",0.33,0.225,1.399,1.358,0.868,0.49,0.929,1.691,1.335,0.832,0.997,1.426,0.599,1.582,0.932,4.369,6.331,4.492,2.193,3.982,5.05,4.984,4.498,2.671,2.266,6.107,2.93,4.494,3.536,4.557,5.86
"1990",1.984,1.235,1.985,1.627,2.129,1.774,2.777,1.826,2.228,1.849,1.896,1.556,1.108,2.339,1.381,4.033,7.448,4.532,3.678,5.184,5.539,3.762,4.464,3.621,4.207,5.02,4.078,4.699,4.31,4.827,6.4
"1991",1.972,1.791,1.995,2.173,2.278,2.534,1.799,1.937,2.094,1.939,1.748,1.648,1.168,1.849,1.461,4.451,7.587,4.114,3.066,4.971,5.33,3.322,4.075,3.212,3.781,5.128,3.534,2.946,3.749,3.931,7.02
"1992",1.887,1.88,1.612,0.966,0.927,1.407,1.412,1.659,1.662,1.325,1.663,1.792,1.208,1.47,1.373,3.458,5.456,3.721,3.356,4.767,4.572,3.052,3.778,2.819,3.385,4.117,2.827,2.453,3.599,3.68,5.056
"1993",1.421,1.429,1.701,0.992,0.909,1.332,1.546,1.244,1.898,1.426,1.856,1.139,1.136,1.431,1.365,3.805,4.679,3.943,3.033,4.59,5.801,3.547,4.47,2.923,2.986,4.615,2.941,2.962,4.116,3.808,5.271
"1994",1.566,2.208,2.379,1.877,1.361,1.429,1.875,1.598,2.857,1.526,2.109,1.243,1.281,1.83,1.659,3.804,4.432,3.66,3.259,4.527,5.016,3.63,3.171,2.879,3.785,4.491,2.941,2.361,3.707,3.638,5.098
"1995",0.94,2.025,1.735,2.621,1.526,1.369,1.54,1.881,2.624,1.488,1.53,1.729,1.895,1.397,1.571,3.124,4.441,3.345,3.072,4.132,4.767,3.685,3.315,3.197,3.397,3.83,3.327,2.894,3.63,3.416,4.586
"1996",1.008,1.218,0.976,2.266,0.998,1.106,1.199,0.87,1.561,0.854,0.986,2.171,1.491,1.041,0.864,2.192,4.44,2.423,2.421,3.181,2.857,2.318,2.949,2.718,3.114,3.68,3.476,2.446,3.115,3.497,4.009
"1997",0.66,0.638,1.053,1.551,1.887,1.105,1.206,1.095,1.281,0.649,1.056,1.501,1.283,1.255,0.733,1.88,3.2,2.31,2.596,3.512,4.544,3.039,3.735,2.307,2.892,4.082,3.023,1.92,3.605,2.939,3.46
"1998",0.659,0.669,1.472,2.054,2.62,2.945,1.461,1.944,1.821,1.337,1.662,1.11,1.269,1.531,1.289,2.361,4.192,2.747,2.759,4.116,4.333,2.947,3.522,2.91,3.656,3.918,3.176,2.594,4.17,3.314,3.937
"1999",1.371,1.122,0.677,1.299,1.333,2.158,1.221,1.435,0.866,1.193,1.219,1.093,1.721,0.835,1.433,2.856,3.918,2.67,1.439,2.339,2.921,1.969,2.252,2.704,1.824,2.456,2.679,2.027,1.784,1.643,3.783
"2000",0.648,0.588,1.124,1.667,1.774,1.727,1.169,1.372,1.152,0.949,1.387,1.877,0.71,1.028,1.297,3.243,4.422,3.037,2.882,3.44,4.008,3.062,3.639,1.857,2.529,3.997,2.6,2.415,2.89,2.642,5.07
"2001",0.71,0.733,1.986,1.786,1.718,1.043,1.947,1.539,1.417,1.572,1.922,0.962,1.036,1.411,1.516,4.223,4.985,3.902,3.086,3.889,4.467,3.531,3.994,4.006,3.097,3.738,3.634,2.799,3.935,3.241,4.919
"2002",0.891,1.183,1.838,1.634,2.637,2.506,1.173,0.789,1.549,1.056,1.225,1.798,2.093,1.917,0.878,3.663,3.915,3.626,1.807,1.955,2.445,1.939,2.855,4.121,1.814,2.421,3.424,1.377,2.08,1.898,3.769
"2003",0.862,1.141,1.794,1.524,1.025,1.013,2.177,0.973,1.525,1.81,2.291,1.022,1.37,2.05,1.01,4.968,5.083,5.392,2.506,3.071,4.071,3.393,3.16,5.444,2.306,3.721,4.048,1.996,3.833,3.353,5.045
"2004",1.331,1.364,1.651,1.176,1.208,1.347,1.626,0.781,1.257,1.957,1.863,1.13,1.849,1.557,0.691,3.128,3.486,4.247,2.226,3.009,2.928,2.683,2.528,4.046,2.123,3.065,3.02,2.019,3.636,2.149,3.661
"2005",1.251,1.254,1.714,1.445,1.614,1.133,2.004,1.185,1.698,0.867,1.119,1.716,1.956,1.34,1.479,1.875,3.117,3.941,2.781,3.024,3.313,2.231,2.498,2.487,3.074,2.882,2.706,2.103,3.485,3.144,2.742
"2006",1.123,1.107,0.741,0.971,0.951,0.686,2.094,1.011,1.107,0.416,0.894,0.846,0.808,0.767,1.195,2.801,3.376,5.245,2.112,2.645,2.398,1.801,1.743,4.154,2.684,2.8,3.691,1.922,2.541,2.6,2.504
"2007",0.766,0.706,1.063,1.192,0.694,0.461,0.763,0.752,1.192,0.435,0.698,1.286,1.149,0.666,0.657,3.218,2.619,5.919,2.403,2.516,2.686,0.822,1.591,3.923,2.697,1.675,3.506,2.051,2.766,2.319,2.367
"2008",0.525,0.99,0.27,0.484,0.51,0.438,0.465,0.6,0.839,0.57,0.613,1.214,0.903,0.286,0.609,3.043,2.764,6.07,2.674,2.806,2.507,1.449,2.304,3.889,2.99,2.529,3.924,2.29,2.576,3.215,3.021
"2009",1.293,1.209,1.122,1.314,0.763,0.744,0.76,0.992,1.091,0.413,1.141,1.198,2.007,0.966,0.813,2.874,3.404,5.036,2.368,2.339,3.132,0.905,2.986,3.817,1.816,2.259,3.454,1.588,2.691,2.274,3.003
"2010",0.84,1.016,1.401,1.612,0.949,1.019,0.678,1.08,1.46,0.3,1.349,0.845,1.186,0.939,0.854,2.261,2.907,3.722,2.298,2.158,1.802,0.894,2.325,3.455,1.723,1.374,2.675,1.678,1.972,1.771,2.473
