"","ASPEN-V-10-A","ASPEN-TAT-3-A","ASPEN-TAT-3-B","ASPEN-TAT-9-A","ASPEN-V-4-A","ASPEN-V-7-B","ASPEN-TAT-9-B","ASPEN-TAT-7-A","ASPEN-TAT-7-B","ASPEN-TAT-1-A","ASPEN-TAT-13-A","ASPEN-V-17-B","ASPEN-TAT-10-A","ASPEN-TAT-10-B","ASPEN-TAT-5-A","ASPEN-TAT-1-B","ASPEN-TAT-17-B","ASPEN-V-3-A","ASPEN-V-3-B","ASPEN-V-15-A","ASPEN-V-16-A","ASPEN-V-16-B","ASPEN-TAT-6-B","ASPEN-TAT-12-B","ASPEN-TAT-16-A","ASPEN-TAT-17-A","ASPEN-V-2-A","ASPEN-V-5-A","ASPEN-V-5-B","ASPEN-V-9-A","ASPEN-V-1-A","ASPEN-V-12-B","ASPEN-V-15-B","ASPEN-TAT-5-B","ASPEN-V-6-A","ASPEN-V-6-B","ASPEN-V-7-A","ASPEN-V-8-B","ASPEN-V-13-B","ASPEN-TAT-4-A","ASPEN-TAT-4-B","ASPEN-TAT-6-A","ASPEN-TAT-12-A","ASPEN-TAT-16-B","ASPEN-V-10-B","ASPEN-V-13-A","ASPEN-V-14-A","ASPEN-TAT-13-B","ASPEN-TAT-18-A","ASPEN-TAT-18-B","ASPEN-V-8-A","ASPEN-TAT-2-A","ASPEN-TAT-11-B","ASPEN-V-11-B","ASPEN-V-11-A","ASPEN-V-12-A","ASPEN-V-17-A","ASPEN-V-18-B","ASPEN-V-18-A","ASPEN-TAT-8-B","ASPEN-V-1-B","ASPEN-V-14-B","ASPEN-TAT-2-B","ASPEN-TAT-11-A","ASPEN-TAT-15-B","ASPEN-TAT-15-A","ASPEN-TAT-14-A","ASPEN-TAT-8-A","ASPEN-TAT-14-B"
"1955",1.169,1.875,1.674,1.201,0.459,1.548,1.063,1.857,1.903,1.325,1.94,1.492,1.37,0.794,0.252,1.512,0.866,0.45,0.512,1.28,1.642,1.368,0.568,3.14,0.802,0.55,1.181,1.087,0.988,0.337,0.809,1.034,1.473,0.529,0.253,0.361,1.388,1.71,0.911,2.196,0.376,0.657,2.898,0.215,1.192,0.625,1.202,2.321,0.933,0.831,1.646,1.849,1.735,1.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",2.122,1.701,1.481,0.818,0.51,2.095,0.782,0.279,0.193,1.726,3.159,1.49,1.492,1.193,0.233,1.266,0.403,0.94,0.784,1.555,1.823,1.505,0.813,2.406,0.685,0.339,1.147,1.157,1.355,1.107,0.712,2.012,1.598,0.462,0.495,0.618,1.569,1.606,0.465,1.702,1.983,0.837,1.993,0.674,2.328,1.471,1.651,2.722,0.804,0.851,1.365,1.839,1.529,1.502,2.299,1.861,1.771,2.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",1.512,1.383,1.82,0.995,0.826,2.138,0.654,0.481,0.405,1.008,1.961,1.035,1.09,1.278,0.17,1.392,0.501,1.058,0.783,1.884,2.154,2.311,0.63,1.97,0.795,0.389,1.239,0.73,0.662,0.992,0.998,2.135,1.792,0.65,0.621,0.744,1.624,1.363,1.173,1.358,1.891,0.666,1.396,0.637,1.488,1.767,2.233,2.343,1.11,1.129,1.41,1.658,1.716,1.626,2.057,2.207,1.471,2.11,2.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.905,0.928,0.895,0.827,0.424,1.262,0.637,0.591,0.526,1.588,1.701,0.774,0.898,1.073,0.381,1.363,0.146,1.157,0.719,0.282,1,1.229,0.165,2.073,0.4,0.291,1.383,1.02,0.683,0.612,0.514,1.843,0.317,0.291,0.416,0.543,1.374,0.887,0.336,1.558,1.976,0.137,1.527,0.736,0.941,0.346,0.833,2.1,0.9,1.129,0.773,1.208,1.765,1.238,0.849,2.14,0.735,1.505,1.733,0.783,0.623,1.031,NA,NA,NA,NA,NA,NA,NA
"1959",1.24,1.295,1.406,0.494,0.364,1.352,0.606,0.555,0.599,1.489,2.422,0.7,0.896,0.851,0.369,1.625,0.154,1.16,1.115,0.686,1.208,1.07,1.002,1.7,0.783,0.207,1.396,1.538,1.534,1.1,0.843,1.519,0.489,0.172,0.671,1.011,1.625,0.966,1.032,2.071,2.153,1.098,1.998,0.214,1.147,0.784,1.445,2.529,0.913,0.945,1.08,1.335,1.75,1.354,1.665,1.332,1.299,1.62,1.64,1.047,0.857,1.142,2.01,NA,NA,NA,NA,NA,NA
"1960",1.513,1.009,0.74,0.149,0.604,1.705,0.408,0.35,0.4,1.387,2.466,1.643,0.24,0.619,0.314,1.534,0.784,1.503,1.248,0.891,1.427,1.464,1.65,0.902,1.693,0.824,1.739,1.247,1.254,1.604,1.458,2.025,1.013,0.162,0.802,1.053,1.748,1.064,1.286,2.02,2.279,1.481,1.835,0.545,1.118,1.067,1.762,2.663,1.179,1.65,1.124,1.412,1.883,2.043,1.681,2.064,2.078,2.186,2.073,0.247,0.917,1.976,2.271,1.65,2.082,NA,NA,NA,NA
"1961",1.66,1.501,1.623,0.703,0.803,1.784,1.112,1.083,1.045,1.783,3.11,1.761,0.859,0.148,0.957,1.549,1.365,0.933,0.84,2.161,2.133,1.732,2.722,1.498,2.508,1.144,1.579,1.161,0.959,0.693,1.253,2.451,1.578,0.327,0.605,0.703,0.941,1.376,0.636,2.501,3.1,2.765,2.461,1.352,1.606,0.587,1.686,1.464,2.003,2.157,1.236,1.752,2.71,2.004,2.114,2.459,2.093,2.974,2.264,0.588,1.033,2.366,2.687,1.563,5.817,NA,NA,NA,NA
"1962",1.435,1.657,1.416,1.14,0.462,1.166,1.18,1.373,1.538,0.691,1.631,1.347,1.152,0.688,1.686,1.524,0.711,1.174,1.088,2.293,1.59,1.372,2.107,1.256,2.077,0.925,1.051,1.063,1.218,1.087,0.752,1.185,1.974,0.859,0.659,0.649,1.08,0.877,1.135,1.809,2.019,2,0.992,1.937,1.169,1.367,1.28,1.451,1.596,1.611,0.865,2.359,1.474,2.017,1.699,1.01,1.428,1.201,1.321,1.164,1.093,1.322,1.481,0.885,3.661,2.964,NA,NA,NA
"1963",1.273,0.456,0.357,1.177,0.335,0.223,1.187,1.848,1.234,0.251,0.365,0.713,1.084,1.029,1.278,0.828,0.547,1.103,0.769,2.007,1.001,0.833,0.539,0.693,0.669,0.383,1.212,1.924,1.226,1.166,0.99,1.704,1.942,1.382,0.846,1.022,1.247,0.893,1.285,0.458,0.487,0.431,0.362,1.714,1.209,1.654,1.473,0.258,0.353,0.676,0.888,1.411,0.238,1.398,1.316,1.291,0.74,0.614,0.329,2.038,0.937,1.345,0.352,0.575,1.313,0.997,NA,NA,NA
"1964",1.79,0.097,0.168,1.169,0.686,0.829,1.408,0.871,0.82,0.107,0.167,1.748,0.945,1.18,0.673,0.27,0.342,1.451,1.089,1.63,1.908,1.473,0.168,0.34,0.316,0.202,1.674,1.372,1.364,1.187,1.666,2.131,1.059,1.137,0.809,0.977,1.739,1.481,1.487,0.14,0.111,0.167,0.089,0.495,1.9,1.765,2.161,0.14,0.147,0.169,1.452,0.301,0.087,2.086,2.078,2.083,1.468,1.738,1.677,1.358,1.43,2.26,0.118,1.632,0.637,0.35,0.57,NA,NA
"1965",1.435,0.063,0.121,0.649,0.883,1.333,0.334,0.847,0.434,0.095,0.105,1.649,0.351,0.858,0.653,0.086,0.097,0.89,0.65,2.458,1.421,0.867,0.227,0.31,0.08,0.072,0.872,1.007,0.786,0.704,1.404,2.308,2.164,0.392,0.493,0.638,0.953,1.559,0.64,0.161,0.742,0.044,0.188,0.24,1.537,0.735,2.246,0.071,0.191,0.247,1.682,0.122,0.328,1.458,0.973,2.31,1.919,1.695,1.641,0.839,1.373,2.341,0.06,1.677,0.054,0.07,0.44,NA,NA
"1966",1.232,0.086,0.064,0.105,0.526,1.021,0.091,0.244,0.082,0.435,0.444,1.14,0.139,0.358,0.505,0.252,0.142,0.976,0.705,2.256,1.487,1.003,0.111,0.34,0.201,0.272,0.908,1.419,0.728,0.958,1.12,1.624,1.919,0.391,0.504,0.704,0.124,0.759,0.971,1.081,1.151,0.151,0.75,0.114,1.206,1.048,1.529,0.429,0.174,0.204,1.019,0.422,1.037,2.217,1.571,1.761,1.616,1.019,0.892,0.254,0.978,1.327,0.381,1.486,0.066,0.328,0.897,NA,NA
"1967",1.245,0.276,0.258,0.41,0.444,0.958,0.31,0.183,0.136,0.44,0.791,1.453,0.159,0.103,0.804,0.594,0.125,1.561,1.523,0.921,1.383,0.832,0.067,0.527,0.066,0.142,1.461,1.665,1.459,1.189,0.619,1.304,0.874,1.376,0.921,1.373,0.517,0.923,2.051,1.175,0.566,0.067,0.738,0.079,1.097,2.356,1.628,1.192,0.127,0.109,1.267,0.866,1.598,1.303,1.389,1.505,2.03,1.97,1.893,0.069,0.594,1.397,0.626,1.838,0.384,0.587,0.25,NA,NA
"1968",1.548,0.427,0.382,0.764,0.745,1.28,0.686,0.193,0.26,0.195,0.257,1.551,0.271,0.061,1.23,0.087,0.116,1.38,1.158,1.924,1.88,1.372,0.07,0.134,0.053,0.111,1.461,1.2,1.506,0.913,1.282,1.471,1.532,0.921,1.107,1.27,0.785,1.487,1.583,0.213,0.211,0.071,0.141,0.031,1.289,1.682,2.267,0.259,0.463,0.558,1.286,0.136,0.367,0.879,0.97,2.145,1.895,2.334,2.172,0.113,0.924,2.089,0.126,1.933,0.472,0.218,0.754,0.714,1.93
"1969",0.958,0.074,0.07,0.133,0.616,0.786,0.063,0.125,0.12,0.679,0.764,1.17,0.088,0.357,0.808,0.762,0.312,0.784,0.664,1.758,1.41,1.067,0.307,0.626,0.341,0.516,1.152,0.77,0.673,0.774,0.629,0.884,1.964,0.616,0.453,0.65,0.82,1.286,0.823,1.244,1.506,0.246,0.813,0.339,1.27,1.409,2.092,1.562,0.757,0.806,0.876,0.792,1.738,1.364,1.294,1.649,1.537,1.938,1.754,0.08,0.75,1.975,0.947,1.345,1.035,0.794,0.839,1.115,1.444
"1970",1.19,0.599,0.439,0.83,0.587,1.041,0.994,0.244,0.233,0.632,0.704,1.447,0.526,0.535,1.102,0.53,0.722,0.766,0.525,1.563,1.331,1.149,0.3,0.299,0.373,0.743,0.963,1.111,0.58,0.84,0.812,1.037,1.176,0.968,0.698,0.727,0.948,1.273,1.199,0.873,0.994,0.192,0.57,0.169,1.256,1.4,2.074,0.897,0.575,0.64,1.113,0.48,1.296,1.154,1.108,1.54,1.933,1.615,1.689,0.076,0.842,1.971,0.551,0.393,0.898,0.77,1.073,0.24,1.519
"1971",0.663,0.434,0.21,0.77,0.629,0.744,0.908,0.325,0.205,0.886,1.069,1.086,0.467,0.616,1.241,0.596,0.791,1.004,0.794,1.915,1.132,0.989,0.718,0.597,1.042,1.046,1.438,0.907,1.095,0.712,0.746,1.134,1.729,1.081,1.033,0.78,0.826,0.801,1.461,0.839,1.003,0.565,0.955,0.799,1.067,1.983,1.384,1.232,0.815,1.038,0.907,0.734,1.564,1.234,0.848,1.309,1.349,1.727,1.392,0.066,0.652,1.41,0.998,0.741,1.768,1.525,1.507,0.64,2.006
"1972",0.697,0.569,0.393,0.76,1.093,0.933,1.075,0.593,0.618,1.029,1.792,1.192,0.523,0.489,1.921,0.963,1.393,0.726,0.275,1.132,1.102,1.275,2.602,0.67,2.595,2.046,0.748,1.045,0.776,0.669,0.902,1.459,1.054,1.63,0.606,0.49,0.563,1.234,1.403,1.617,1.823,2.234,1.646,1.824,1.032,1.399,1.283,1.821,0.906,0.991,0.976,1.243,2.053,0.996,1.07,1.18,1.369,1.352,1.745,0.073,0.737,1.1,1.823,0.421,1.995,2.207,1.423,1.112,3.1
"1973",1.43,0.704,0.459,1.373,1.345,1.42,1.503,1.017,1.133,1.251,2.219,1.949,0.798,1.08,1.928,1.543,1.478,0.663,0.483,1.299,1.802,1.753,2.161,1.07,2.047,2.419,0.746,1.177,0.764,0.513,1.12,1.904,1.496,2.202,0.637,0.565,0.478,1.123,1.246,2.213,2.944,1.966,2.276,1.976,1.79,2.271,1.585,2.761,1.729,1.483,1.321,1.721,3.079,1.249,1.272,1.28,1.999,1.89,2.423,0.053,0.917,2.202,1.994,0.844,1.687,2.036,2.123,1.965,3.075
"1974",2.019,1.102,0.876,2.059,1.021,1.218,2.637,1.328,1.972,1.193,2.226,1.683,1.505,1.909,2.198,1.411,2.775,0.71,0.293,2.076,1.748,1.364,2.036,1.274,2.243,2.811,0.978,1.313,0.876,0.465,0.93,1.335,1.692,2.514,0.591,0.532,0.652,1.392,0.899,2.201,2.316,1.801,1.829,2.1,2.214,1.231,1.719,2.631,2.672,2.028,1.035,1.679,2.572,1.472,1.396,1.601,2.049,1.759,2.22,0.156,1.05,2.095,1.631,0.239,2.343,2.628,2.301,1.346,2.638
"1975",1.711,1.185,1.017,2.297,0.996,1.019,2.706,2.074,2.443,1.186,1.833,1.854,1.532,1.775,2.204,1.503,3.529,0.978,0.799,1.649,1.615,1.407,1.897,1.381,2.826,2.703,0.871,1.384,0.995,0.817,1.164,1.807,1.41,2.317,0.596,0.511,0.649,1.871,0.955,2.073,2.17,1.435,1.953,2.438,1.774,1.546,2.005,2.54,2.228,2.132,1.332,1.694,2.273,1.42,1.371,1.705,2.044,2.127,1.988,0.376,1.173,1.67,1.801,1.449,2.775,3.098,3.173,0.547,3.719
"1976",1.028,1.242,0.831,2.088,0.703,0.981,2.457,2.383,2.261,1.597,2.328,1.94,1.387,1.538,2.473,1.621,3.595,1.053,0.553,1.784,1.433,1.236,2.799,1.693,4.034,3.332,1.108,1.301,1.171,0.802,0.812,1.171,1.367,2.543,0.772,0.64,1.357,1.46,1.187,2.775,2.246,2.063,2.117,3.001,1.606,1.686,1.891,2.374,1.993,1.927,1.147,1.807,2.116,1.818,1.546,1.446,2.073,2.313,2.201,0.432,0.843,2.073,1.557,0.924,4.826,4.409,3.287,0.901,4.46
"1977",1.281,1.72,1.253,2.173,0.789,1.385,3.847,2.536,2.363,1.91,3.349,1.991,1.816,2.243,2.249,2.248,3.674,1.043,0.612,1.798,1.909,1.637,2.319,2.133,3.72,3.255,1.168,1.681,1.181,0.624,1.042,1.952,1.977,2.766,0.714,0.566,1.097,1.267,1.287,3.735,3.199,2.289,2.434,2.855,1.259,1.794,2.205,2.888,3.194,3.044,1.12,1.751,2.473,1.442,1.509,1.653,2.351,2.195,1.934,1.094,1.085,2.049,2.111,1.168,4.928,4.284,3.359,1.013,4.198
"1978",1.119,1.502,1.557,2.22,0.741,0.888,3.536,2.758,2.777,1.153,2.113,1.469,2.24,2.117,2.461,1.315,2.297,0.95,0.749,1.884,1.686,1.506,1.785,1.365,2.249,2.058,1.265,1.23,1.002,0.663,0.817,1.336,1.449,2.65,0.527,0.264,0.99,1.3,1.669,1.953,1.892,1.773,1.712,2.214,1.253,1.718,1.88,1.926,3.654,3.328,1.046,1.192,1.719,2.049,1.698,1.359,1.961,2.011,1.929,1.55,0.995,2.037,1.163,1.684,2.866,2.637,2.228,1.444,3.025
