"","WSPRU-II-5-A","WSPRU-II-5-B","WSPRU-II-3-A","WSPRU-II-3-B","WSPRU-II-10-B","WSPRU-II-4-B","WSPRU-II-6-A","WSPRU-II-4-A","WSPRU-II-6-B","WSPRU-II-8-B","WSPRU-II-8-A","WSPRU-II-9-B","WSPRU-II-10-A","WSPRU-II-9-A","WSPRU-QQ-11-B","WSPRU-QQ-11-A","WSPRU-II-7-B","WSPRU-II-7-A","WSPRU-QQ-12-B","WSPRU-QQ-12-A","WSPRU-II-2-A","WSPRU-II-2-B","WSPRU-QQ-6-B","WSPRU-QQ-6-A","WSPRU-QQ-2-B","WSPRU-QQ-2-A","WSPRU-QQ-3-B","WSPRU-QQ-3-A","WSPRU-QQ-5-A","WSPRU-QQ-5-B","WSPRU-QQ-7-A","WSPRU-QQ-7-B","WSPRU-QQ-9-A","WSPRU-QQ-8-A","WSPRU-QQ-8-B","WSPRU-QQ-9-B","WSPRU-QQ-4-A","WSPRU-QQ-4-B","WSPRU-QQ-10-A","WSPRU-QQ-10-B","WSPRU-II-1-A","WSPRU-II-1-B","WSPRU-QQ-1-B","WSPRU-QQ-1-A"
"1995",0.537,0.637,0.79,0.863,0.375,0.699,0.279,1.174,0.369,0.798,1.382,0.586,0.833,0.341,1.766,1.784,0.561,0.631,0.443,0.463,0.256,0.147,1.224,1.155,1.146,1.957,0.879,1.174,1.062,1.584,1.23,1.289,1.109,1.98,2.118,1.832,1.589,1.212,0.615,0.346,0.939,1.192,0.41,0.272
"1996",0.762,0.747,0.718,0.906,0.607,0.889,0.388,1.563,0.403,0.909,2.055,1.079,0.772,0.585,1.562,1.09,0.615,0.696,0.317,0.198,0.158,0.21,1.147,0.991,1.011,1.252,0.653,0.942,0.853,1.36,1.253,1.101,0.957,1.508,1.615,1.397,1.005,1.159,0.438,0.298,0.851,0.644,0.45,0.29
"1997",0.667,0.718,1.014,0.833,0.441,0.952,0.292,1.69,0.387,1.159,2.149,1.049,0.594,0.662,1.717,1.423,0.819,0.774,0.506,0.289,0.299,0.267,1.172,0.858,0.925,1.289,0.829,1.304,1.255,1.56,1.393,1.307,1.113,1.304,1.879,1.499,1.071,1.123,0.351,0.338,1.324,1.143,0.263,0.324
"1998",0.399,0.515,0.83,1.247,0.502,1.056,0.236,1.969,0.294,1.4,2.408,1.07,0.654,0.928,1.741,1.696,1.137,1.107,0.405,0.23,0.427,0.277,1.168,0.871,1.172,1.179,0.735,1.176,0.893,1.82,1.231,1.167,1.272,1.553,1.567,1.959,1.283,1.088,0.269,0.367,1.477,1.336,0.483,0.524
"1999",0.582,0.749,0.845,1.31,0.439,1.26,0.349,2.315,0.384,1.074,2.101,0.829,0.823,0.681,1.277,1.298,0.613,0.767,0.224,0.223,0.51,0.378,0.926,0.857,1.071,1.396,0.616,1.074,1.067,1.657,1.154,1.157,0.956,1.359,1.225,1.549,1.237,1.229,0.25,0.377,1.128,1.383,0.467,0.399
"2000",0.559,0.66,1.012,1.134,0.611,1.397,0.447,2.391,0.366,1.058,1.859,0.984,0.751,0.715,1.41,1.597,0.765,0.832,0.225,0.177,0.527,0.445,1.078,1.082,1.526,1.746,0.843,1.178,1.285,1.611,1.159,1.272,1.076,1.089,1.201,1.692,1.664,1.702,0.218,0.442,1.154,1.277,0.633,0.744
"2001",1.027,0.892,1.185,1.476,0.627,1.499,0.306,2.424,0.399,1.111,2.24,1.13,1.222,0.551,1.595,1.587,0.707,1.057,0.348,0.233,0.78,0.656,1.151,1.281,1.189,2.241,0.996,1.518,1.226,1.783,1.246,1.52,1.349,1.232,1.106,1.881,2.157,1.606,0.285,0.807,1.089,1.18,0.725,0.785
"2002",0.427,0.431,1.013,1.374,0.452,1.768,0.528,2.351,0.549,0.898,1.831,0.789,0.585,0.516,1.264,1.208,0.616,0.937,0.15,0.166,0.364,0.439,0.947,1.13,0.941,1.807,0.68,1.259,0.939,1.297,0.953,1.209,1.215,1.161,1.293,1.439,1.748,1.483,0.408,0.487,1.389,1.498,0.6,0.603
"2003",0.429,0.395,1.142,1.673,0.449,2.457,0.547,2.957,0.671,0.868,1.645,0.875,0.727,0.566,1.463,1.323,0.535,0.729,0.127,0.176,0.519,0.485,1.145,1.19,0.997,1.814,0.77,1.08,0.916,1.607,0.939,1.145,0.982,1.015,1.035,1.165,1.634,1.332,0.503,0.418,1.139,1.37,0.687,0.807
"2004",0.363,0.286,0.845,1.271,0.495,1.779,0.232,2.166,0.23,0.926,1.554,0.622,0.458,0.345,1.826,1.917,0.363,0.64,0.198,0.198,0.795,0.641,1.309,1.476,1.359,2.593,1.127,1.587,1.055,1.868,1.268,1.327,1.373,1.27,1.382,1.385,1.765,2.196,0.458,0.574,0.906,1.066,0.902,0.781
"2005",0.687,0.628,1.682,2.133,0.455,2.971,0.332,4.589,0.457,1.354,2.339,0.949,0.636,0.389,1.042,1.097,0.501,0.971,0.367,0.255,1.08,0.974,0.758,1.051,0.74,1.418,0.791,1.142,0.71,1.178,1.104,0.959,1.007,1.061,1.111,0.944,1.465,1.366,0.45,0.3,1.011,1.53,0.345,0.446
"2006",0.739,0.757,1.492,2.329,0.338,2.883,0.298,4.085,0.553,1.402,2.594,1.054,0.346,0.547,1.436,1.64,0.686,0.869,0.243,0.281,0.721,0.766,0.931,1.157,1.003,1.693,0.982,1.106,1.151,1.359,1.576,1.458,0.941,1.875,1.766,1.128,2.049,1.578,0.53,0.424,1.255,2.185,0.417,0.473
"2007",0.614,0.84,1.209,1.275,0.409,2.623,0.33,3.964,0.446,1.526,2.478,1.117,0.575,0.652,1.133,1.467,0.713,0.979,0.39,0.268,0.58,0.539,1.296,1.393,1.378,1.879,1.043,1.148,1.219,1.425,1.568,1.186,1.144,1.536,1.777,1.366,2.044,1.601,0.623,0.518,1.178,1.528,0.673,1.006
"2008",0.946,0.84,1.782,2.165,0.393,3.517,0.346,4.986,0.359,1.698,3.434,1.927,0.695,0.684,0.979,1.045,0.744,1.167,0.144,0.281,0.534,0.638,1.149,1.145,0.994,2.961,0.973,1.155,1.323,1.555,1.422,0.914,0.796,1.62,1.925,1.149,2.386,2.09,0.693,0.408,1.144,2.4,0.633,0.698
"2009",0.897,1.114,1.96,1.987,0.463,2.981,0.369,4.238,0.379,1.566,3.142,1.722,0.693,0.866,0.972,1.459,0.94,1.259,0.418,0.195,0.483,0.582,1.173,1.724,0.936,3.695,1.089,1.219,1.462,1.529,1.733,1.519,1.176,1.657,2,1.285,2.46,2.234,0.735,0.529,1.183,2.302,1.008,0.801
"2010",0.833,1.022,1.979,1.947,0.333,2.694,0.41,3.809,0.418,1.401,2.311,1.387,0.574,0.678,0.802,1.206,0.478,0.655,0.188,0.167,0.476,0.563,0.841,1.125,1.394,3.609,0.772,1.04,1.225,1.408,1.371,1.321,0.919,1.712,1.268,1.21,2.409,2.026,0.67,0.512,1.106,1.967,0.903,0.635
