"","WSPRU-II-5-A","WSPRU-II-5-B","WSPRU-II-3-A","WSPRU-II-3-B","WSPRU-II-10-B","WSPRU-II-4-B","WSPRU-II-6-A","WSPRU-II-4-A","WSPRU-II-6-B","WSPRU-II-8-B","WSPRU-II-8-A","WSPRU-II-9-B","WSPRU-II-10-A","WSPRU-II-9-A","WSPRU-QQ-11-B","WSPRU-QQ-11-A","WSPRU-II-7-B","WSPRU-II-7-A","WSPRU-QQ-12-B","WSPRU-QQ-12-A","WSPRU-II-2-A","WSPRU-II-2-B","WSPRU-QQ-6-B","WSPRU-QQ-6-A","WSPRU-QQ-2-B","WSPRU-QQ-2-A","WSPRU-QQ-3-B","WSPRU-QQ-3-A","WSPRU-QQ-5-A","WSPRU-QQ-5-B","WSPRU-QQ-7-A","WSPRU-QQ-7-B","WSPRU-QQ-9-A","WSPRU-QQ-8-A","WSPRU-QQ-8-B","WSPRU-QQ-9-B","WSPRU-QQ-4-A","WSPRU-QQ-4-B","WSPRU-QQ-10-A","WSPRU-QQ-10-B","WSPRU-II-1-A","WSPRU-II-1-B","WSPRU-QQ-1-B","WSPRU-QQ-1-A"
"1955",0.372,0.543,0.587,0.577,0.227,0.239,0.142,0.248,0.211,0.137,0.269,0.236,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",0.172,0.47,0.834,0.532,0.305,0.137,0.155,0.157,0.159,0.266,0.297,0.505,0.265,0.242,0.449,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",0.271,0.498,0.525,0.434,0.192,0.229,0.182,0.195,0.165,0.491,0.504,0.395,0.134,0.408,0.464,0.437,0.178,0.197,0.337,0.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",0.691,0.617,0.167,0.707,0.152,0.325,0.114,0.386,0.178,0.444,0.384,0.201,0.164,0.276,0.787,0.646,0.1,0.188,0.267,0.374,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",0.484,0.58,0.265,0.398,0.162,0.606,0.165,0.572,0.146,0.654,0.579,0.288,0.255,0.274,0.658,0.685,0.118,0.389,0.363,0.413,0.303,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1960",0.537,0.5,1.052,0.184,0.146,0.099,0.147,0.11,0.281,0.639,0.408,0.211,0.233,0.28,0.44,0.476,0.287,0.268,0.241,0.291,0.161,0.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1961",0.217,0.281,0.944,0.158,0.06,0.192,0.156,0.233,0.29,0.412,0.411,0.235,0.227,0.124,0.324,0.335,0.151,0.239,0.32,0.427,0.297,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962",0.191,0.212,0.135,0.548,0.046,0.196,0.196,0.195,0.251,0.534,0.504,0.247,0.155,0.319,0.425,0.107,0.238,0.208,0.079,0.116,0.349,0.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963",0.171,0.183,0.053,0.789,0.056,0.167,0.106,0.163,0.33,0.643,0.395,0.141,0.119,0.39,0.183,0.221,0.227,0.064,0.077,0.168,0.244,0.327,0.447,0.476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1964",0.142,0.197,0.114,0.175,0.082,0.516,0.06,0.498,0.19,0.229,0.138,0.064,0.092,0.107,0.298,0.242,0.06,0.062,0.352,0.34,0.276,0.384,0.793,0.659,0.475,0.495,0.577,0.568,0.834,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
