"","ASPEN-R-7-A","ASPEN-R-4-A","ASPEN-R-2-B","ASPEN-R-6-B","ASPEN-R-3-A","ASPEN-R-6-A","ASPEN-R-2-A","ASPEN-R-4-B","ASPEN-R-5-A","ASPEN-R-7-B","ASPEN-R-3-B","ASPEN-R-5-B","ASPEN-R-1-A","ASPEN-R-8-B","ASPEN-R-8-A","ASPEN-R-1-B","ASPEN-U-13-B","ASPEN-U-14-B","ASPEN-U-17-A","ASPEN-R-13-A","ASPEN-U-10-A","ASPEN-U-12-B","ASPEN-U-14-A","ASPEN-U-15-A","ASPEN-U-15-B","ASPEN-U-18-A","ASPEN-R-9-B","ASPEN-R-18-B","ASPEN-U-9-B","ASPEN-U-16-A","ASPEN-U-17-B","ASPEN-R-13-B","ASPEN-R-18-A","ASPEN-U-8-B","ASPEN-U-10-B","ASPEN-U-11-B","ASPEN-U-16-B","ASPEN-U-18-B","ASPEN-R-14-B","ASPEN-R-9-A","ASPEN-R-16-B","ASPEN-U-6-A","ASPEN-U-6-B","ASPEN-U-11-A","ASPEN-U-13-A","ASPEN-R-14-A","ASPEN-R-17-A","ASPEN-R-11-A","ASPEN-R-11-B","ASPEN-R-10-B","ASPEN-R-17-B","ASPEN-R-12-B","ASPEN-R-15-A","ASPEN-U-8-A","ASPEN-R-10-A","ASPEN-R-12-A","ASPEN-R-15-B","ASPEN-U-9-A"
"1930",0.725,0.851,0.942,1.791,0.563,1.757,0.854,0.907,0.318,1.069,0.602,0.261,0.792,1.129,1.253,1.024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1931",0.37,0.706,0.787,1.862,0.386,1.242,0.783,0.489,0.435,0.923,0.522,0.328,0.892,0.759,0.879,1.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1932",0.961,0.75,0.876,2.243,0.59,1.646,0.648,1.122,0.591,1.01,0.592,0.338,1.172,1.49,1.634,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1933",0.577,0.676,0.653,1.342,0.469,0.826,0.649,0.937,0.529,0.763,0.532,0.349,0.751,1.008,1.023,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1934",0.601,0.571,0.567,1.531,0.388,1.005,0.635,0.789,0.308,0.403,0.485,0.408,0.737,1.093,1.069,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1935",0.753,0.842,0.612,2.265,0.632,1.388,0.612,1.212,0.378,1.214,0.721,0.304,1.267,1.712,1.675,1.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1936",0.942,0.84,1.1,2.221,0.887,1.506,0.758,1.31,0.371,1.765,1.075,0.381,1.501,1.283,1.68,1.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1937",0.982,1.351,1.193,2.608,1.294,1.755,0.981,1.297,0.905,1.189,1.233,0.573,1.399,1.957,1.628,1.471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1938",0.913,1.003,0.586,1.901,0.672,1.551,0.656,1.096,0.763,1.1,0.787,0.395,1.172,1.343,1.512,1.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1939",1.035,0.984,0.848,1.292,0.677,1.36,0.842,0.872,0.844,1.2,0.785,0.438,1.2,1.399,1.444,1.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1940",1.322,0.36,0.72,1.493,0.669,1.515,0.81,0.44,0.628,1.144,0.671,0.341,1.185,1.298,1.184,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1941",0.9,0.912,0.939,2.493,0.535,2.102,0.981,0.807,0.516,1.835,0.682,0.272,1.569,1.71,1.815,1.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1942",0.786,0.454,0.527,1.84,0.396,1.657,0.803,0.534,0.373,1.298,0.517,0.466,1.387,1.247,1.22,1.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1943",0.427,0.522,0.494,1.24,0.44,1.405,0.72,0.628,0.342,0.974,0.641,0.372,1.553,0.883,1.034,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1944",0.478,0.268,0.437,1.074,0.276,1.182,0.701,0.865,0.247,0.427,0.464,0.27,1.256,0.782,0.856,1.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1945",0.23,0.108,0.457,0.788,0.232,0.89,0.498,0.684,0.149,0.385,0.316,0.073,0.896,0.324,0.356,0.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1946",0.477,0.211,0.359,0.373,0.299,0.195,0.764,0.801,0.182,1.044,0.341,0.131,1.246,1.25,1.226,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1947",0.427,0.487,0.396,0.596,0.192,0.566,0.45,0.6,0.048,1.046,0.149,0.189,0.704,1.589,1.34,0.809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1948",0.189,0.467,0.195,0.243,0.239,0.201,0.392,0.509,0.168,1.497,0.226,0.554,1.154,1.65,1.693,1.443,1.933,1.571,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1949",0.341,0.814,0.915,1.028,0.519,0.966,1.093,1.096,1.558,1.288,0.568,0.747,1.68,2.103,1.788,1.505,1.699,2.109,2.08,2.648,1.986,1.363,1.125,1.475,1.825,1.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1950",0.352,0.735,1.14,1.579,0.667,1.377,1.426,1.071,2.216,1.705,0.836,0.797,2.238,3.151,2.719,1.468,1.21,1.74,2.228,2.255,1.798,1.848,1.009,1.224,2.234,1.591,1.451,2.427,1.714,2.144,2.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951",0.683,1.048,1.386,2.133,1.004,1.401,1.848,1.415,2.721,2.08,1.504,2.529,2.662,2.775,2.63,2.106,1.317,1.405,1.954,2.953,1.804,1.901,1.079,1.759,1.446,1.836,1.766,0.071,0.573,1.739,1.813,3.014,0.301,1.484,1.841,1.588,1.631,1.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1952",0.647,1.018,0.873,1.949,0.964,1.357,1.24,1.125,1.791,2.162,1.198,0.954,2.461,3.232,3.171,2.327,1.254,0.985,2.086,1.749,1.93,2.081,1.429,2.18,2.157,2.085,1.764,0.39,1.031,2.287,1.73,2.29,0.404,0.855,2.054,1.654,2.565,1.692,2.353,1.526,1.9,1.244,1.07,1.881,1.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1953",1.018,0.819,0.854,2.194,1.038,1.191,0.978,1.567,2.12,2.176,1.432,1.506,2.021,3.451,3.254,1.583,1.503,1.906,1.871,2.488,2.042,2.654,1.363,1.901,2.121,2.185,2.012,0.884,1.707,2.383,1.889,2.774,0.467,0.969,2.215,2.071,2.746,2.229,2.078,1.7,1.065,1.372,1.7,2.029,1.666,3.223,0.826,2.186,1.109,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1954",1.083,1.168,0.708,1.856,1.375,1.259,1.218,1.357,1.373,1.96,1.463,1.134,1.507,2.696,2.672,2.03,1.432,1.33,1.344,2.718,1.725,2.234,1.068,1.702,1.742,2.094,0.882,0.507,1.51,1.94,1.532,2.986,0.725,1.506,1.652,1.875,2.659,2.264,2.083,0.932,0.876,1.267,1.62,1.772,1.563,2.686,1.562,1.523,1.286,1.411,1.031,0.969,2.897,2.354,NA,NA,NA,NA
"1955",1.326,1.988,1.065,2.342,1.49,2.044,1.857,2.034,1.906,2.736,1.539,1.757,1.965,3.25,2.866,2.459,1.021,1.212,0.706,2.339,1.392,1.578,1.234,1.419,1.633,1.196,1.037,1.203,1.434,1.537,1.04,2.763,1.045,1.512,1.554,1.502,2.247,1.334,2.007,1.202,1.649,0.988,1.378,1.613,1.324,3.404,1.748,2.631,1.071,2.046,1.397,1.707,3.527,1.977,2.169,1.74,2.491,1.159
"1956",1.233,1.62,1.626,1.248,1.889,0.894,1.974,1.808,1.543,2.427,1.617,1.602,2.196,3.335,2.983,2.84,1.437,1.258,1.164,2.223,1.554,1.961,1.584,1.574,2.07,1.967,1.713,1.353,1.507,1.809,1.561,2.692,1.122,1.665,1.854,2.453,2.071,1.729,1.895,1.819,1.341,0.981,1.098,1.739,1.521,3.245,0.904,2.627,2.056,2.264,1.199,1.694,3.183,1.727,2.543,1.98,2.453,1.526
"1957",1.12,1.744,2.01,2.459,2.332,1.686,2.495,2.18,1.215,1.955,2.095,1.162,1.703,3.318,2.849,1.858,1.005,1.132,1.063,2.194,1.403,1.505,1.429,1.297,1.932,1.436,1.39,0.739,1.106,1.058,1.449,2.01,0.709,2.049,1.531,1.634,2.049,1.318,2.127,1.448,1.388,0.969,1.055,1.601,1.233,3.345,1.003,1.572,1.44,1.079,0.845,1.352,2.464,1.984,1.21,1.413,2.098,1.388
"1958",0.596,1.096,2.164,1.459,1.631,1.707,1.994,1.666,1.379,2.044,1.604,1.392,1.936,2.281,1.945,2.186,1.295,1.264,1.016,1.986,1.654,1.976,1.411,1.625,2.022,0.952,1.208,1.552,1.483,1.457,1.154,1.845,1.323,1.259,1.671,1.515,1.753,1.313,1.711,1.142,1.015,1.113,1.241,1.258,1.308,2.771,0.936,1.39,0.866,1.605,1.46,0.972,2.37,1.597,2.026,1.094,1.761,1.655
"1959",1.198,1.397,1.767,1.408,1.553,1.661,1.662,1.496,1.525,2.894,1.571,1.612,1.471,2.54,2.883,1.939,1.324,1.099,0.826,2.312,1.357,1.718,1.444,0.987,1.89,1.212,1.486,1.471,1.357,1.03,1.034,2.593,1.206,1.422,1.234,0.98,1.45,0.96,2.129,1.36,1.096,0.957,1.276,1.035,1.442,2.899,0.619,1.94,0.885,1.816,1.575,0.844,2.731,1.401,1.784,0.832,2.982,1.454
"1960",1.532,1.77,1.567,2.049,1.456,1.263,2.047,1.705,1.891,2.212,1.753,1.821,1.759,2.506,2.702,2.088,1.438,1.215,0.87,2.585,1.534,1.672,1.247,1.548,1.998,1.243,1.805,1.813,1.491,1.349,0.843,2.201,1.698,1.159,1.452,1.507,1.56,1.169,2.557,1.668,0.941,0.826,1.099,1.468,1.354,3.48,0.652,1.734,1.133,1.782,0.974,0.978,2.933,1.321,1.776,0.986,3.048,1.532
"1961",2.174,1.762,1.103,2.54,1.319,1.484,1.644,2.057,2.045,1.734,1.89,2.065,1.66,2.34,2.442,1.986,1.939,2.011,1.377,2.944,2.011,2.073,2.123,1.826,2.52,1.798,1.58,1.905,1.862,1.714,1.505,2.949,1.618,1.303,1.794,1.631,2.323,1.85,2.749,1.887,1.762,1.129,1.252,1.576,2.098,3.846,0.854,2.252,1.124,2.019,1.308,1.213,2.898,1.565,2.162,1.374,2.73,1.925
"1962",1.842,1.65,1.355,1.299,1.494,0.965,1.201,1.974,2.349,2.077,2.05,2.357,1.658,2.82,2.729,2.513,1.19,1.047,0.738,2.56,1.132,1.25,1.157,0.954,1.246,1.185,1.927,1.727,0.981,1.142,1.121,2.786,1.766,0.978,0.942,0.835,1.22,1.151,3.242,1.783,1.322,0.476,0.707,0.72,1.736,4.065,1.011,1.663,1.376,2.257,0.961,1.088,3.59,0.895,1.831,1.076,3.731,1.079
"1963",1.159,0.963,1.131,1.505,1.122,1.274,0.765,1.768,2.217,1.423,1.655,1.682,1.004,3.179,3.304,1.558,1.607,1.143,1.042,2.804,1.233,1.593,1.214,1.268,1.458,1.1,1.931,1.477,1.667,1.295,1.251,2.687,2.079,1.406,1.327,1.234,1.391,0.914,2.787,1.642,1.178,0.962,0.918,1.5,0.652,3.112,1.08,1.658,1.24,2.291,0.845,1.148,2.875,1.554,2.074,1.124,1.107,1.43
"1964",1.244,1.369,1.211,1.192,1.413,1.155,1.16,3.22,2.318,1.751,1.734,2.094,1.873,2.714,2.639,2.063,2.348,1.798,1.646,3.16,2.148,2.148,1.948,1.494,1.956,1.801,2.141,2.304,2.259,2.041,1.934,2.465,2.045,1.891,1.772,2.069,2.087,1.943,3.475,1.782,1.159,1.484,1.719,2.123,2.573,3.122,0.997,2.085,1.157,2.243,0.892,1.503,3.664,2.188,2.114,1.39,2.96,2.36
"1965",0.93,1.373,1.443,0.934,1.596,1.522,1.231,2.437,1.985,2.563,1.838,1.838,1.721,2.359,2.206,1.879,2.045,1.488,1.546,3.509,2.253,1.953,2.165,1.667,2.141,1.603,2.53,2.191,1.866,1.641,1.69,3.73,2.232,1.602,1.831,2.391,2.308,1.837,3.731,2.245,1.511,1.476,1.461,2.313,2.248,3.067,1.479,2.621,1.432,3.032,0.751,1.478,2.975,2.013,2.74,1.211,2.613,2.006
"1966",1.726,1.877,2.018,2.14,1.884,2.109,1.814,2.686,2.934,2.826,1.988,2.496,1.883,2.438,2.389,2.036,1.678,1.446,1.039,3.473,1.701,1.22,1.825,1.208,1.735,1.113,2.463,1.927,1.409,1.405,1.294,3.318,2.547,1.303,1.289,1.297,1.488,1.365,3.94,2.107,1.745,0.847,0.851,1.639,1.771,2.801,1.534,2.655,2.204,1.96,0.906,1.739,2.92,1.929,2.319,1.577,2.566,1.504
"1967",1.984,1.091,0.975,1.599,1.499,1.582,1.28,1.46,1.647,1.92,1.726,1.414,1.36,2.055,2.02,1.536,1.541,1.212,0.794,2.47,1.548,1.797,1.706,1.172,1.379,1.034,1.664,1.444,1.462,1.141,0.953,2.303,1.406,1.22,1.261,1.311,1.565,0.951,4.629,1.441,1.182,0.9,0.832,1.637,1.691,3.771,1.502,1.857,1.914,1.749,1.38,2.88,1.834,1.544,1.389,2.518,1.991,1.47
"1968",1.925,1.203,1.253,1.51,1.353,1.214,1.586,1.195,1.905,1.408,1.385,1.477,1.235,2.121,2.147,0.851,1.613,1.364,0.905,2.2,1.836,1.411,1.82,1.22,1.498,1.62,1.455,1.127,1.475,1.103,1.391,2.344,0.957,1.008,1.394,1.434,1.388,1.734,3.022,1.577,1.039,0.91,1.152,1.784,1.915,2.296,1.017,1.81,1.446,1.562,1.024,2.669,1.857,1.271,1.57,2.27,1.721,1.629
"1969",1.421,1.18,1.076,2.174,1.604,1.473,1.48,1.371,2.254,1.197,1.896,1.693,1.255,2.506,2.271,1.037,1.277,1.02,0.43,2.467,1.68,1.45,1.11,1.26,1.278,1.274,2.097,1.48,1.227,1.313,0.905,2.521,1.818,0.711,1.111,1.264,1.391,1.414,2.603,1.633,1.238,0.384,0.613,1.424,0.995,2.035,1.252,1.915,1.373,2.206,1.468,1.969,1.998,0.765,2.161,1.622,1.927,1.109
"1970",1.213,0.92,0.746,1.033,1.541,0.782,1.092,0.869,1.4,0.638,1.638,1.337,1.071,1.816,1.789,0.887,1.054,0.809,0.5,1.71,1.207,1.439,0.839,0.621,1.08,1.689,1.799,1.116,0.933,0.915,0.656,1.564,1.386,0.553,0.89,0.658,0.98,1.229,3.037,1.462,0.877,0.619,0.441,0.896,1.105,2.362,1.595,1.282,1.83,1.478,1.617,1.582,1.834,0.74,1.649,1.319,1.315,1.215
"1971",0.933,0.773,1.005,1.543,1.513,0.857,1.528,1.404,1.624,0.581,1.74,1.5,1.002,1.832,1.699,0.699,0.976,0.986,0.585,1.74,1.231,1.339,1.411,0.743,0.925,1.294,1.233,1.532,0.888,0.89,0.903,1.544,1.266,0.273,1.05,0.844,1.334,0.952,2.177,1.227,1.094,0.426,0.419,0.967,1.34,1.687,1.174,1.616,1.362,1.293,1.593,1.495,2.067,0.589,1.461,1.324,1.417,1.083
"1972",0.888,0.895,0.674,1.291,1.203,0.938,1.073,1.241,1.511,0.914,1.6,1.285,0.963,1.914,2.017,0.633,1.079,0.792,0.847,1.43,1.028,1.482,0.842,0.775,0.985,1.352,1.353,1.167,0.943,1.163,1.388,1.637,1.236,0.579,1.163,0.934,1.374,1.302,2.171,1.156,0.924,0.955,0.74,0.809,1.155,1.705,0.955,1.25,1.281,0.858,0.893,0.978,2.187,0.857,1.227,0.8,2.06,1.235
"1973",0.889,0.746,0.677,1.543,1.244,1.457,0.924,0.957,1.704,1.277,1.466,1.606,1.164,1.109,1.1,0.9,1.753,1.312,0.838,2.058,1.877,2.056,1.444,0.663,1.037,1.694,1.766,1.638,1.412,1.243,1.375,1.919,1.376,0.964,1.67,1.58,1.663,1.596,1.85,1.652,1.119,1.04,1.03,1.405,1.85,1.151,0.932,1.628,1.13,1.275,1.945,1.209,1.788,1.401,1.506,1.17,1.46,1.833
"1974",1.038,0.747,0.599,1.143,1.457,1.17,0.85,0.728,1.94,1.543,1.766,1.687,1.183,1.284,1.334,0.849,1.925,1.118,1.157,1.947,1.817,1.635,1.434,0.882,1.301,1.777,1.444,2.051,1.588,1.167,1.245,1.873,1.366,1.148,1.577,1.244,1.336,1.853,1.77,1.499,1.352,1.005,0.995,1.278,1.777,1.396,1.081,1.883,1.299,1.773,1.451,1.099,1.559,1.231,1.773,1.149,1.563,1.818
"1975",0.825,0.704,0.837,1.048,1.476,1.178,1.191,0.78,2.156,1.622,1.856,2.232,1.421,1.24,1.176,0.782,2.024,1.821,1.314,2.02,2.663,2.455,1.68,1.539,1.849,2.458,1.633,1.522,1.976,1.968,1.465,2.14,1.472,1.657,1.954,1.831,2.203,1.921,1.681,1.564,1.19,1.436,1.453,1.898,2.089,1.379,1.1,1.723,1.526,1.446,1.264,1.479,1.684,1.852,1.607,1.406,1.254,2.367
"1976",1.448,0.899,1.526,1.26,2.528,1.185,1.83,1.16,1.855,1.815,2.075,1.863,1.757,1.991,1.93,1.278,1.497,1.33,0.67,2.57,1.609,1.311,1.048,0.83,1.3,1.351,1.681,1.651,0.936,1.227,1.017,2.477,1.713,0.444,1.155,0.888,1.51,1.166,1.841,1.565,1.311,0.459,0.543,0.837,1.589,1.799,0.824,1.974,1.478,1.517,1.48,1.565,2.242,0.957,1.637,1.427,1.711,1.239
"1977",1.827,0.599,1.358,1.238,2.344,1.108,1.52,1.124,1.837,1.785,1.683,1.609,1.171,2.158,2.226,0.711,1.151,0.928,0.684,1.986,1.419,1.171,1.059,0.618,1.043,1.777,1.352,0.907,1.056,0.748,0.879,1.487,1.059,0.966,1.297,0.974,1.073,1.311,1.955,1.688,1.157,0.727,0.691,0.835,1.222,2.183,1.193,1.514,1.831,1.65,1.843,1.55,1.744,0.861,1.39,1.59,1.991,1.121
"1978",1.543,0.42,1.023,0.947,2.051,0.656,1.119,0.66,1.637,1.299,0.967,0.96,1.355,1.486,1.545,0.764,1.11,0.865,0.32,1.346,1.4,1.089,0.791,0.451,0.557,1.47,1.229,1.368,0.918,0.454,0.447,1.12,0.818,0.942,1.04,0.734,0.399,1.002,1.452,1.339,0.485,0.607,0.515,0.885,0.975,1.147,0.659,0.918,1.389,1.198,0.503,1.821,1.889,1.165,0.972,0.939,2.046,1.241
"1979",0.835,0.262,0.473,0.287,0.623,0.192,0.475,0.378,0.421,0.439,0.617,0.323,0.642,0.655,0.552,0.529,0.373,0.219,0.162,0.423,0.395,0.543,0.281,0.252,0.278,0.747,0.385,0.357,0.219,0.201,0.264,0.643,0.313,0.183,0.405,0.131,0.197,0.482,0.643,0.551,0.232,0.151,0.149,0.098,0.307,0.387,0.273,0.423,0.777,0.437,0.202,0.829,0.545,0.269,0.385,0.7,0.636,0.273
"1980",0.678,0.271,0.355,0.395,0.416,0.114,0.351,0.186,0.727,0.396,0.69,0.485,0.688,0.772,0.852,0.448,0.581,0.4,0.529,0.312,0.563,0.596,0.314,0.453,0.647,1.137,0.174,0.088,0.356,0.558,0.496,0.257,0.222,0.551,0.492,0.294,0.59,0.729,0.198,0.13,0.091,0.243,0.297,0.193,0.304,0.093,0.224,0.138,0.351,0.17,0.159,0.414,0.59,0.534,0.168,0.658,0.55,0.452
"1981",0.605,0.031,0.151,0.188,0.415,0.094,0.429,0.042,0.583,0.539,0.617,0.287,0.699,0.557,0.613,0.287,0.953,0.674,0.212,0.517,1.006,0.621,0.807,0.151,0.291,1.332,0.38,0.496,0.629,0.248,0.315,0.859,0.44,0.665,0.858,0.571,0.391,1.014,0.146,0.237,0.154,0.118,0.115,0.74,0.614,0.034,0.137,0.315,0.065,0.472,0.074,0.222,0.715,0.975,0.291,0.33,0.71,0.647
"1982",0.307,0.362,0.153,0.285,0.359,0.075,0.159,0.249,0.798,0.308,0.632,0.738,0.471,0.497,0.34,0.482,0.337,0.3,0.054,0.65,0.518,0.523,0.307,0.063,0.147,0.793,0.313,0.493,0.252,0.107,0.104,0.815,0.457,0.143,0.456,0.281,0.115,0.629,0.069,0.294,0.228,0.194,0.139,0.196,0.198,0.131,0.139,0.391,0.102,0.462,0.131,0.047,0.389,0.179,0.273,0.159,0.48,0.386
"1983",0.17,0.2,0.083,0.213,0.103,NA,0.056,0.121,0.54,0.139,0.089,0.543,0.156,0.347,0.272,0.229,0.474,0.712,0.342,0.21,0.835,0.671,0.708,0.245,0.37,0.65,0.094,0.268,0.373,0.298,0.566,0.204,0.09,0.369,0.619,0.426,0.294,0.672,0.096,0.079,0.143,0.118,0.09,0.524,0.416,0.125,0.237,0.125,0.207,0.051,0.206,0.133,0.145,0.494,0.043,0.121,0.214,0.4
"1984",0.18,0.302,0.097,0.182,0.189,NA,0.075,0.206,0.951,0.256,0.505,1.014,0.469,0.343,0.361,0.529,0.718,0.944,0.897,0.428,0.975,0.466,0.788,0.869,0.802,1.258,0.212,0.643,0.227,0.808,0.765,0.456,0.25,0.514,0.708,0.547,0.677,1.099,0.074,0.096,0.09,0.072,0.137,0.373,0.429,0.128,0.113,0.161,0.065,0.246,0.079,0.031,0.26,0.51,0.085,0.087,0.416,0.528
"1985",0.302,0.316,0.08,0.237,0.252,NA,0.115,0.135,1.432,0.249,0.521,1.076,0.406,0.349,0.465,0.418,1.059,1.268,1.156,0.537,1.411,1.556,1.433,1.578,1.379,1.998,0.293,0.689,0.697,1.298,0.735,0.303,0.326,0.964,1.213,1.228,1.092,1.4,0.074,0.34,0.11,0.354,0.345,0.939,1.045,0.081,0.069,0.415,0.116,0.546,0.109,0.056,0.531,0.914,0.438,0.06,0.733,0.745
"1986",0.436,0.324,0.112,0.47,0.269,NA,0.173,0.108,1.632,0.277,0.779,1.771,0.652,0.411,0.588,0.524,1.3,1.342,1.558,1.019,1.601,1.249,1.679,1.751,1.843,1.596,0.567,0.86,0.688,1.304,1.331,0.591,0.603,1.036,1.173,1.363,1.848,1.322,0.133,0.624,0.664,0.594,0.725,1.152,1.487,0.121,0.097,0.978,0.254,0.508,0.185,0.072,0.699,1.32,0.505,0.064,1.113,1.191
"1987",0.403,0.307,0.182,0.422,0.458,NA,0.351,0.258,1.359,0.366,0.965,1.488,0.701,0.466,0.502,0.804,1.003,1.302,1.173,1.177,1.435,1.075,1.274,1.384,1.629,1.36,0.6,0.888,0.639,1.201,1.066,0.77,0.604,0.887,1.245,1.082,1.645,0.861,0.272,0.738,0.764,0.476,0.636,0.84,1.254,0.176,0.24,1.004,0.503,0.728,0.361,0.196,0.597,0.953,0.562,0.172,0.881,0.948
"1988",0.516,0.157,0.203,0.358,0.457,NA,0.548,0.149,1.197,0.36,0.804,1.113,0.473,0.391,0.542,0.467,1.407,2.005,2.2,0.976,1.932,1.348,1.692,2.068,1.138,1.765,0.671,0.97,0.936,1.662,1.739,0.561,0.578,1.554,1.595,1.593,1.95,1.602,0.129,0.735,0.421,1.003,0.988,1.528,1.492,0.108,0.236,0.877,0.313,0.54,0.333,0.112,0.569,1.36,0.543,0.08,0.996,1.26
"1989",0.741,0.174,0.37,0.402,0.494,NA,0.958,0.239,2.29,0.405,0.921,1.604,0.657,0.736,0.718,0.629,0.683,1.02,1.307,1.316,1.022,0.825,1.189,1.604,1.836,1.497,1.331,1.51,0.74,1.277,1.272,0.975,1.11,0.704,0.892,0.969,1.427,0.889,0.223,0.99,0.481,0.619,0.769,0.921,1.186,0.232,0.203,1.26,0.565,1.111,0.192,0.262,1.096,1.032,0.894,0.222,1.248,0.968
