"","ASPEN-GG-17-B","ASPEN-GG-17-A","ASPEN-HH-15-B","ASPEN-HH-7-B","ASPEN-HH-7-A","ASPEN-HH-3-B","ASPEN-HH-1-A","ASPEN-HH-9-B","ASPEN-HH-6-B","ASPEN-HH-3-A","ASPEN-HH-4-B","ASPEN-HH-2-A","ASPEN-HH-1-B","ASPEN-HH-9-A","ASPEN-HH-6-A","ASPEN-HH-2-B","ASPEN-HH-5-A","ASPEN-HH-18-B","ASPEN-HH-4-A","ASPEN-HH-14-B","ASPEN-HH-12-A","ASPEN-HH-20-B","ASPEN-HH-8-A","ASPEN-HH-5-B","ASPEN-HH-8-B","ASPEN-HH-14-A","ASPEN-HH-15-A","ASPEN-HH-17-A","ASPEN-HH-18-A","ASPEN-HH-17-B","ASPEN-HH-19-B","ASPEN-GG-10-A","ASPEN-GG-10-B","ASPEN-GG-9-A","ASPEN-GG-9-B","ASPEN-HH-11-A","ASPEN-GG-8-A","ASPEN-GG-8-B","ASPEN-GG-3-A","ASPEN-HH-12-B","ASPEN-HH-13-B","ASPEN-PP-3-A","ASPEN-PP-3-B","ASPEN-PP-4-A","ASPEN-PP-4-B","ASPEN-PP-5-A","ASPEN-PP-5-B","ASPEN-PP-6-A","ASPEN-PP-6-B","ASPEN-PP-7-A","ASPEN-PP-7-B","ASPEN-GG-1-A","ASPEN-GG-1-B","ASPEN-GG-6-A","ASPEN-HH-11-B","ASPEN-PP-2-A","ASPEN-PP-2-B","ASPEN-GG-2-A","ASPEN-GG-2-B","ASPEN-GG-6-B","ASPEN-HH-20-A","ASPEN-PP-1-A","ASPEN-PP-1-B","ASPEN-GG-3-B","ASPEN-GG-12-B","ASPEN-PP-14-A","ASPEN-GG-11-A","ASPEN-PP-11-A","ASPEN-PP-11-B","ASPEN-PP-16-B","ASPEN-GG-5-A","ASPEN-GG-18-B","ASPEN-GG-20-B","ASPEN-PP-14-B","ASPEN-PP-16-A","ASPEN-PP-18-B","ASPEN-GG-16-B","ASPEN-PP-10-A","ASPEN-PP-10-B","ASPEN-PP-15-A","ASPEN-GG-5-B","ASPEN-GG-11-B","ASPEN-PP-15-B","ASPEN-GG-18-A","ASPEN-PP-8-B","ASPEN-PP-17-A","ASPEN-PP-18-A","ASPEN-GG-13-A","ASPEN-GG-14-A","ASPEN-GG-13-B","ASPEN-GG-12-A","ASPEN-GG-14-B","ASPEN-GG-15-B","ASPEN-HH-19-A","ASPEN-PP-13-B","ASPEN-GG-4-A","ASPEN-GG-4-B","ASPEN-PP-9-A","ASPEN-PP-13-A","ASPEN-GG-16-A","ASPEN-GG-19-A","ASPEN-GG-15-A","ASPEN-PP-12-B","ASPEN-GG-19-B","ASPEN-PP-8-A"
"1994",0.606,0.451,1.692,0.993,0.896,0.838,0.995,0.735,0.905,0.733,1.435,0.893,0.904,0.714,1.115,0.887,0.744,0.645,1.348,0.781,1.299,1.448,0.35,0.486,0.184,1.028,0.907,1.001,1.578,0.62,0.947,1.102,1.667,0.453,0.565,1.017,1.723,2.09,1.386,1.09,1.138,0.833,0.415,0.991,0.51,0.726,0.132,0.165,0.245,1.186,0.597,1.661,1.397,0.689,1.22,0.477,0.582,1.187,1.193,0.489,1.211,0.698,0.67,2.1,1.754,1.194,1.372,0.743,0.773,1.376,1.167,1.71,0.888,1.119,1.33,1.431,0.706,0.62,0.711,1.374,0.862,1.572,1.538,2.414,0.761,0.833,1.096,1.238,2.296,1.539,2.146,1.894,1.713,0.631,0.826,0.137,0.223,1.174,1.2,0.426,0.55,2.195,0.631,0.531,1.085
"1995",0.272,0.595,0.882,0.773,0.501,0.371,1.32,0.573,0.375,0.294,0.78,0.378,0.366,0.638,0.454,0.484,0.334,0.572,0.629,0.824,0.622,1.117,0.293,0.265,0.156,0.467,0.49,0.916,1.232,0.592,1.295,0.957,1.408,0.829,0.907,0.35,1.196,0.931,0.685,0.82,0.861,0.947,0.271,0.54,0.276,0.82,0.226,0.186,0.245,1.161,1.12,1.022,0.686,0.173,1.333,0.222,0.475,0.547,0.721,0.252,1.417,0.71,0.791,1.095,0.889,0.281,0.729,1.131,1.089,1.281,0.573,0.954,1.053,0.402,1.457,1.488,0.993,0.594,0.726,1.715,0.522,0.764,1.737,2.398,0.696,1.679,0.607,1.849,0.915,1.482,0.811,0.997,1.493,1.296,1.056,0.118,0.174,1.266,0.946,1.15,0.949,1.54,0.963,1.92,1.907
"1996",0.466,0.3,1.574,1.245,0.813,0.669,0.497,0.848,0.883,0.776,1.193,0.779,0.798,0.836,0.96,0.762,0.72,0.795,1.111,1.027,0.86,1.042,0.184,0.636,0.06,0.937,1.048,1.183,1.452,0.558,0.939,1.045,1.031,0.537,0.429,0.829,0.495,1.026,0.442,0.971,1.406,0.287,0.312,0.343,0.098,0.844,0.395,0.236,0.187,0.465,0.943,1.115,0.662,0.183,1.012,0.214,0.285,0.475,0.57,0.199,1.838,0.682,0.361,1.019,1.035,0.276,0.842,0.553,0.633,0.381,0.567,1.1,1.174,0.858,0.4,0.803,1.442,0.109,0.067,0.29,0.68,0.96,0.728,2.003,0.914,0.978,0.55,0.877,1.697,1.007,1.165,1.766,0.674,1.189,0.226,0.153,0.11,1.304,0.27,1.649,0.303,0.878,0.516,0.539,1.186
"1997",0.362,0.437,1.509,1.364,0.616,0.52,0.925,0.635,0.794,0.527,1.088,0.489,0.671,0.661,0.714,0.297,0.578,0.568,1.33,1.214,1.086,0.778,0.283,0.393,0.146,0.983,1.104,1.022,1.363,0.488,0.994,1.132,1.236,0.617,0.715,0.889,1.36,1.46,0.78,1.274,1.01,0.529,0.362,0.428,0.353,1.236,0.71,0.306,0.213,0.366,0.696,1.516,0.847,0.08,1.045,0.216,0.395,0.683,0.55,0.147,1.672,1.241,0.481,1.268,1.042,0.77,0.991,0.585,0.578,0.847,0.628,1.454,0.804,0.73,0.568,0.773,1.675,0.406,0.192,0.678,0.814,1.11,1.017,1.246,1.036,1.312,0.62,0.917,2.124,1.073,1.202,1.966,1.199,0.913,0.523,0.181,0.239,1.625,0.569,1.174,0.699,0.826,0.52,0.998,1.379
"1998",0.523,0.548,1.895,1.18,0.71,0.884,0.611,0.954,1.119,0.788,1.129,0.454,0.565,0.644,1.183,0.572,0.69,0.966,1.556,0.587,1.013,0.76,0.064,0.396,0.075,1.068,1.234,0.485,1.255,1.155,0.843,1.623,1.694,0.824,1.089,0.824,1.694,2.059,1.293,1.186,0.963,0.729,0.346,1.343,0.708,0.804,0.512,0.248,0.146,0.501,0.376,2.157,1.078,0.117,1.44,0.409,0.32,1.433,0.907,0.341,0.891,1.045,0.72,2.179,0.946,0.579,1.046,0.635,0.638,0.843,1.47,1.685,0.636,0.644,0.788,0.935,1.39,0.321,0.506,0.764,1.444,1.465,1.183,2.155,1.289,0.894,1.007,1.083,2.818,1.109,1.001,2.68,1.116,1.273,0.787,0.127,0.417,1.495,0.766,1.263,1.239,1.026,0.624,1.005,1.419
"1999",0.349,0.403,1.261,1.178,0.562,0.099,0.663,0.991,1.024,0.522,0.79,0.49,0.227,1.028,0.948,0.399,0.528,1.372,0.935,0.694,0.812,0.929,0.135,0.638,0.101,0.739,1.085,1.793,1.112,1.062,0.404,0.517,0.541,0.276,0.189,0.824,0.915,0.934,0.974,0.816,0.163,1.082,0.294,1.221,0.645,0.73,0.257,0.212,0.133,1.185,0.479,1.78,1.361,0.206,1.022,0.181,0.156,1.38,0.663,0.106,1.024,0.92,1.254,1.742,1.526,0.535,1.034,0.521,0.518,1.354,0.93,1.416,1.286,0.269,1.538,1.079,1.71,0.369,0.859,1.138,0.962,1.044,1.19,1.321,0.907,0.901,0.749,1.531,1.282,1.626,1.383,1.135,1.271,1.006,0.841,0.08,0.171,1.258,0.744,0.969,1.126,0.548,0.459,0.789,1.48
"2000",0.404,0.45,1.556,1.058,0.63,0.746,0.483,0.729,0.776,1.081,0.918,0.249,0.221,0.704,0.633,0.48,0.129,0.613,0.824,1.414,1.052,1.34,0.108,0.192,0.075,0.747,1.003,0.887,1.065,0.557,0.806,0.619,0.144,0.598,0.465,1.059,1.685,1.206,1.037,1.065,0.771,0.823,0.255,0.759,0.408,0.153,0.202,0.087,0.145,0.91,1.452,1.88,1.414,0.157,0.912,0.101,0.145,1.394,0.531,0.073,1.388,0.368,0.654,1.931,1.289,0.349,0.944,0.515,0.468,1.36,1.048,1.857,2.057,0.406,1.218,0.7,1.738,0.311,0.626,0.685,1.316,1.391,0.964,2.281,1.13,0.507,0.898,1.176,1.032,1.568,1.678,0.684,0.763,1.021,0.596,0.071,0.162,1.411,0.676,0.581,1.364,0.932,0.474,0.709,1.495
"2001",0.445,0.519,0.718,0.226,0.206,0.663,0.726,0.068,0.12,1.053,0.379,0.184,0.417,0.086,0.225,0.361,0.114,0.947,0.371,0.973,1.019,1.013,NA,0.052,NA,0.619,0.809,0.679,1.142,0.381,0.697,0.701,0.64,0.373,0.43,0.844,1.168,0.96,1.078,0.991,0.679,0.53,0.146,0.545,0.225,0.145,0.101,0.059,0.125,0.779,0.647,2.144,1.155,0.152,1.531,0.072,0.136,1.286,0.721,0.198,2.382,0.419,0.481,1.47,1.806,0.211,1.277,0.426,0.441,0.806,1.034,2.229,0.731,0.317,0.878,0.69,1.137,0.737,0.537,0.396,0.975,1.48,0.872,1.844,1.59,0.768,0.693,1.153,1.666,1.577,2.094,1.615,1.216,1.39,0.455,0.075,0.191,1.599,0.775,0.985,0.532,1.146,0.448,0.567,1.162
"2002",0.427,0.571,0.321,0.188,0.208,0.326,0.475,0.1,0.209,0.475,0.76,0.076,0.257,0.057,0.148,0.205,0.077,1.029,0.335,0.655,0.708,0.844,NA,0.078,NA,0.673,0.498,0.494,1.029,0.208,1.519,0.581,0.29,0.093,0.137,0.34,0.271,0.317,0.951,0.502,0.78,0.196,0.103,0.696,0.464,0.432,0.188,0.044,0.059,0.303,0.368,1.497,1.284,0.125,0.805,0.055,0.117,0.669,0.459,0.087,1.335,1.338,0.352,1.853,1.18,0.2,1.099,0.53,0.509,0.547,0.924,2.253,0.846,0.516,0.447,0.637,0.861,0.308,0.258,0.344,0.852,1.343,0.82,1.253,1.546,1.036,0.575,1.597,1.59,1.641,1.452,1.347,1.019,1.043,0.257,0.035,0.112,1.292,0.666,1.094,0.318,0.607,0.637,0.313,1.973
"2003",0.352,0.534,0.31,0.221,0.09,0.326,0.188,0.112,0.098,0.299,0.459,0.108,0.218,0.062,0.091,0.098,0.24,0.709,0.342,0.763,0.689,0.506,NA,0.111,NA,0.538,0.495,0.553,0.687,0.53,0.733,0.142,0.082,0.104,0.123,0.299,0.196,0.229,0.513,0.603,0.584,0.255,0.217,1.912,0.798,0.143,0.243,0.041,NA,0.494,0.096,1.358,0.675,0.112,1.339,0.072,0.115,0.144,0.09,0.187,1.276,0.714,0.446,1.316,0.787,0.461,0.57,0.488,0.51,0.682,0.622,1.391,0.948,0.856,0.463,0.389,0.621,0.787,0.457,0.667,0.267,0.873,1,1.027,0.954,1.84,0.492,0.864,0.941,1.373,1.103,0.885,0.731,0.73,0.29,0.085,0.17,0.692,0.714,1.115,0.542,0.66,0.679,0.774,2.392
"2004",0.273,0.452,0.561,0.378,0.286,0.193,0.123,0.142,0.144,0.101,0.48,0.173,0.158,0.15,0.203,0.156,0.217,0.369,0.339,0.849,0.603,0.146,NA,0.191,NA,1.071,0.55,0.415,0.468,0.773,1.168,0.454,0.258,0.133,0.175,0.367,0.477,0.43,0.418,0.627,1.041,0.68,0.334,1.02,0.231,0.135,0.122,0.082,NA,1.227,0.156,1.03,0.629,0.07,1.513,0.055,0.06,0.362,0.147,0.083,1.498,0.388,0.801,0.911,0.687,0.62,0.542,0.346,0.315,0.898,0.463,1.053,0.46,0.41,0.479,0.522,1.321,0.925,0.396,1.045,0.508,0.701,1.338,1.216,0.775,1.177,0.276,0.964,0.834,1.147,0.842,0.362,0.586,1.051,0.571,0.087,0.109,0.754,0.787,1.191,0.572,0.333,0.405,0.993,1.795
"2005",0.311,0.235,0.538,0.557,0.434,0.541,0.093,0.211,0.371,0.281,0.622,0.109,0.253,0.234,0.596,0.074,NA,0.456,0.614,1.142,0.437,0.647,NA,NA,NA,1.022,0.949,0.552,0.663,0.785,0.406,0.436,0.307,0.131,0.287,1.031,0.822,0.473,0.442,0.438,0.872,0.635,0.231,0.283,0.147,0.124,0.139,NA,NA,0.588,1.046,1.21,0.61,NA,1.239,0.082,NA,0.424,0.125,0.076,1.089,0.096,0.449,0.936,0.536,0.299,0.541,0.228,0.273,0.546,0.615,1.982,0.83,0.35,0.321,0.304,0.675,0.424,0.183,0.581,0.574,0.764,0.754,1.592,0.408,0.511,0.208,0.875,1.26,1.008,0.799,0.87,0.594,0.525,0.227,0.07,0.147,0.756,0.522,0.525,0.471,0.575,0.311,0.951,0.882
"2006",0.097,0.489,0.296,0.333,0.308,0.07,0.397,0.317,0.1,0.619,0.354,0.206,0.184,0.323,0.094,NA,NA,0.932,0.123,0.475,0.173,0.807,NA,NA,NA,0.495,0.418,0.542,0.872,1.026,0.153,0.112,0.256,0.077,0.083,0.265,0.153,0.205,0.146,0.106,0.416,0.684,0.098,0.122,0.463,NA,0.142,NA,NA,0.15,1.074,0.734,0.708,NA,0.936,0.074,NA,0.361,0.079,0.079,0.965,0.218,0.376,0.554,0.539,0.299,0.473,0.159,0.148,0.604,0.144,1.469,0.362,0.152,0.411,0.307,0.649,0.269,0.211,0.421,0.193,0.94,0.673,1.335,0.609,0.473,0.149,0.587,0.312,0.776,0.98,0.406,0.526,1.164,0.172,0.061,0.067,0.913,0.503,0.846,0.569,0.257,0.222,0.745,1.069
"2007",0.305,0.204,0.484,0.755,0.772,0.266,0.112,0.297,0.277,0.289,0.855,0.149,0.356,0.422,0.337,NA,NA,0.605,0.699,0.506,0.349,0.671,NA,NA,NA,0.694,0.511,0.922,0.811,1.367,0.109,0.211,0.286,0.15,0.175,0.538,0.177,0.141,0.363,0.363,0.415,0.135,0.534,0.214,0.534,NA,0.099,NA,NA,0.113,1.047,1.46,1.08,NA,1.402,NA,NA,0.637,0.243,NA,1.29,0.815,0.099,1.31,0.866,0.062,0.68,0.064,0.102,0.238,0.511,2.305,0.944,0.17,0.134,0.066,2.624,0.095,0.149,0.207,0.598,1.145,0.209,1.417,1.12,0.121,0.209,0.854,0.802,1.165,1.07,0.761,0.349,1.065,0.076,0.077,0.078,0.542,0.186,0.906,0.673,0.719,0.224,1.021,0.492
"2008",0.478,0.327,1.276,1.005,0.845,0.928,0.437,NA,0.623,0.759,1.269,NA,0.313,NA,0.914,NA,NA,0.976,1.257,1.041,0.7,0.814,NA,NA,NA,1.262,0.992,1.316,0.837,1.322,0.132,0.704,0.421,0.15,0.118,1.032,0.324,0.393,0.824,0.655,0.722,0.107,0.663,0.919,0.362,NA,NA,NA,NA,0.533,NA,1.42,0.965,NA,1.281,NA,NA,1.088,0.188,NA,0.732,1.105,0.216,1.906,1.047,0.225,0.881,0.115,0.091,0.356,0.726,2.892,1.035,0.359,0.089,0.166,2.26,0.127,0.204,0.216,0.857,1.102,0.286,2.281,1.538,0.495,0.387,1.103,1.29,1.374,1.186,1.383,0.984,1.674,0.215,NA,0.109,0.233,0.236,1.109,0.399,0.805,0.339,0.841,0.716
"2009",0.45,0.516,1.175,0.644,0.583,1.604,0.659,NA,0.723,1.561,1.31,NA,0.666,NA,1.43,NA,NA,0.806,1.561,1.408,0.857,0.847,NA,NA,NA,1.543,0.615,3.494,1.224,0.916,0.16,0.546,0.359,0.102,0.088,0.792,0.433,0.566,0.733,0.593,0.925,0.721,0.641,1.322,NA,NA,NA,NA,NA,0.721,NA,1.477,1.255,NA,0.877,NA,NA,0.854,0.137,NA,1.332,0.787,0.593,1.944,0.99,0.292,0.849,0.331,0.253,0.766,0.896,2.561,0.884,0.498,0.251,0.4,1.57,0.556,0.141,0.463,1.222,1.126,0.505,1.874,0.333,0.709,0.377,1.069,1.425,1.413,1.039,1.547,0.973,0.927,0.19,NA,0.059,NA,0.646,1.031,0.465,0.815,0.281,0.617,1.225
"2010",0.387,0.42,2.085,NA,NA,1.21,0.599,NA,0.588,1.552,NA,NA,0.482,NA,1.321,NA,NA,1.219,1.294,1.108,0.96,0.757,NA,NA,NA,1.557,0.513,2.446,1.242,0.984,0.113,0.388,0.316,0.112,0.092,1.1,0.343,0.349,0.751,0.702,0.709,0.965,NA,1.005,NA,NA,NA,NA,NA,0.836,NA,1.099,1.334,NA,1.055,NA,NA,0.9,0.19,NA,1.461,NA,0.68,1.112,0.836,0.204,0.75,0.285,0.287,0.893,0.767,2.386,1.299,0.278,0.479,0.231,1.243,0.66,0.054,0.363,1.077,0.738,0.404,1.185,NA,0.859,0.244,0.924,1.143,1.24,0.912,0.851,0.891,0.836,0.117,NA,0.095,NA,0.791,0.906,0.445,0.529,0.131,0.523,1.26
"2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.369,NA,NA,0.244,NA,0.156,0.179,0.666,NA,NA,NA,NA,0.389,0.114,NA,0.445,NA,0.256,NA,NA,0.32,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348,NA,NA,NA,NA,NA,0.151
